"ID","itemRandomStatGroupId","weight","itemStatTypeEnum","itemStatData"
1,1,1,1,34
2,1,1,1,47
3,1,1,1,32
4,2,1,1,34
5,2,1,1,47
6,2,1,1,32
7,3,1,1,34
8,3,1,1,47
9,3,1,1,5
10,4,1,1,33
11,4,1,1,58
12,4,1,1,32
13,5,1,1,34
14,5,1,1,47
15,5,1,1,32
16,6,1,1,34
17,6,1,1,47
18,6,1,1,5
19,7,1,1,33
20,7,1,1,58
21,7,1,1,32
22,8,1,1,34
23,8,1,1,47
24,8,1,1,32
25,8,1,1,29
26,9,1,1,34
27,9,1,1,47
28,9,1,1,5
29,9,1,1,29
30,10,1,1,33
31,10,1,1,58
32,10,1,1,32
33,10,1,1,29
34,11,1,1,34
35,11,1,1,47
36,11,1,1,32
37,11,1,1,29
38,11,1,1,57
39,12,1,1,34
40,12,1,1,47
41,12,1,1,5
42,12,1,1,29
43,12,1,1,56
44,13,1,1,33
45,13,1,1,58
46,13,1,1,32
47,13,1,1,29
48,13,1,1,37
49,14,1,1,41
50,14,1,1,175
51,14,1,1,176
52,14,1,1,178
