"ID","localizedTextId","itemSetBonusId00","itemSetBonusId01","itemSetBonusId02","itemSetBonusId03","itemSetBonusId04","itemSetBonusId05","itemSetBonusId06","itemSetBonusId07","itemSetBonusId08","itemSetBonusId09","itemSetBonusId10","itemSetBonusId11"
1,253274,5,25,49,63,81,0,0,0,0,0,0,0
2,473341,7,27,47,65,83,0,0,0,0,0,0,0
3,493615,14,24,39,62,77,0,0,0,0,0,0,0
4,493626,14,20,43,58,81,0,0,0,0,0,0,0
5,493631,13,33,47,71,89,0,0,0,0,0,0,0
6,493634,1,31,40,69,77,0,0,0,0,0,0,0
7,493635,19,30,53,68,95,0,0,0,0,0,0,0
8,493638,17,33,47,71,93,0,0,0,0,0,0,0
9,493641,18,31,52,73,94,0,0,0,0,0,0,0
10,493642,11,20,40,58,78,0,0,0,0,0,0,0
11,493643,5,26,51,64,89,0,0,0,0,0,0,0
12,493646,5,35,44,73,81,0,0,0,0,0,0,0
13,493647,5,25,134,68,81,101,173,0,0,0,0,0
14,493650,13,33,135,74,90,108,174,0,0,0,0,0
15,493653,1,31,136,59,88,96,175,0,0,0,0,0
16,493654,19,30,137,76,87,114,176,0,0,0,0,0
17,493657,17,28,138,71,85,112,177,0,0,0,0,0
18,493658,1,21,139,68,77,97,178,0,0,0,0,0
19,493661,7,27,140,66,83,103,179,0,0,0,0,0
20,493665,1,21,141,68,77,97,180,0,0,0,0,0
21,493666,13,33,142,74,90,108,181,0,0,0,0,0
22,493671,5,25,143,68,81,101,182,0,0,0,0,0
23,493674,17,28,144,71,85,112,183,0,0,0,0,0
24,493675,19,30,145,76,87,114,184,0,0,0,0,0
25,493678,7,27,146,66,83,103,185,0,0,0,0,0
26,493679,5,25,147,68,81,101,186,0,0,0,0,0
27,493682,7,27,148,66,83,103,187,0,0,0,0,0
28,493685,19,30,149,76,87,114,188,0,0,0,0,0
29,493686,5,35,150,63,92,100,189,0,0,0,0,0
30,493689,5,25,151,68,81,101,190,0,0,0,0,0
31,493690,18,35,152,69,92,113,191,0,0,0,0,0
32,493693,5,25,153,68,81,101,192,0,0,0,0,0
33,493810,18,35,154,69,92,113,193,0,0,0,0,0
34,580068,19,30,155,76,87,114,194,0,0,0,0,0
35,580086,17,28,156,71,85,112,195,0,0,0,0,0
36,580176,1,21,157,68,77,97,196,0,0,0,0,0
37,580214,13,33,158,74,90,108,197,0,0,0,0,0
38,580363,1,21,159,68,77,97,198,0,0,0,0,0
39,580454,13,33,160,74,90,108,199,0,0,0,0,0
40,582821,19,30,161,76,87,114,200,0,0,0,0,0
41,631996,1,24,162,75,81,96,201,0,0,0,0,0
42,632357,5,20,163,68,77,100,202,0,0,0,0,0
43,632570,18,35,164,69,92,113,203,0,0,0,0,0
44,638161,1,21,165,68,77,97,204,0,0,0,0,0
45,638182,5,35,166,63,92,100,205,0,0,0,0,0
46,638209,1,21,167,68,77,97,206,0,0,0,0,0
47,681103,18,35,168,69,92,113,207,0,0,0,0,0
48,681104,19,30,169,76,87,114,208,0,0,0,0,0
49,681105,1,31,170,59,88,96,209,0,0,0,0,0
50,681106,1,21,171,68,77,97,210,0,0,0,0,0
51,681107,18,35,172,69,92,113,211,0,0,0,0,0
52,681108,212,213,214,0,0,0,0,0,0,0,0,0
53,682035,244,215,216,0,0,0,0,0,0,0,0,0
54,682036,243,217,218,0,0,0,0,0,0,0,0,0
55,682037,244,219,220,0,0,0,0,0,0,0,0,0
56,717579,243,221,222,0,0,0,0,0,0,0,0,0
57,717580,244,223,224,0,0,0,0,0,0,0,0,0
58,717581,243,225,226,0,0,0,0,0,0,0,0,0
59,717582,244,227,228,0,0,0,0,0,0,0,0,0
60,717583,239,229,230,0,0,0,0,0,0,0,0,0
61,717584,244,231,232,0,0,0,0,0,0,0,0,0
62,717585,239,233,234,0,0,0,0,0,0,0,0,0
63,717586,244,235,236,0,0,0,0,0,0,0,0,0
64,717587,239,237,238,0,0,0,0,0,0,0,0,0
65,717588,250,251,252,0,0,0,0,0,0,0,0,0
66,717589,250,253,254,0,0,0,0,0,0,0,0,0
67,760327,250,255,256,0,0,0,0,0,0,0,0,0
68,760328,250,257,258,0,0,0,0,0,0,0,0,0
69,760329,250,259,260,0,0,0,0,0,0,0,0,0
70,760330,250,251,261,0,0,0,0,0,0,0,0,0
71,760331,250,259,262,0,0,0,0,0,0,0,0,0
72,760332,250,263,264,0,0,0,0,0,0,0,0,0
73,760333,250,257,261,0,0,0,0,0,0,0,0,0
74,760334,250,267,268,0,0,0,0,0,0,0,0,0
75,760337,250,255,265,0,0,0,0,0,0,0,0,0
76,760338,250,259,266,0,0,0,0,0,0,0,0,0
77,770270,244,722,723,0,0,0,0,0,0,0,0,0
78,770271,243,724,725,0,0,0,0,0,0,0,0,0
79,770272,239,726,727,0,0,0,0,0,0,0,0,0
80,771126,244,728,729,0,0,0,0,0,0,0,0,0
81,771127,243,730,735,0,0,0,0,0,0,0,0,0
82,771128,244,732,733,0,0,0,0,0,0,0,0,0
83,771129,243,734,735,0,0,0,0,0,0,0,0,0
84,771130,244,736,737,0,0,0,0,0,0,0,0,0
85,771131,239,738,739,0,0,0,0,0,0,0,0,0
86,771132,244,740,741,0,0,0,0,0,0,0,0,0
87,771133,243,742,743,0,0,0,0,0,0,0,0,0
88,771134,244,744,745,0,0,0,0,0,0,0,0,0
89,771135,239,746,747,0,0,0,0,0,0,0,0,0
90,771136,244,748,749,0,0,0,0,0,0,0,0,0
91,771137,239,750,751,0,0,0,0,0,0,0,0,0
