"ID","liveEventId","item2Id","storeLinkId"
12,78,87940,0
13,21,86051,0
14,21,90078,0
15,21,90079,0
16,21,90080,0
17,78,87941,0
21,24,90563,0
22,24,90561,0
23,24,90013,0
24,22,90979,0
25,22,90980,0
26,22,86301,0
28,22,86301,0
29,22,86481,0
30,22,86482,0
31,23,86874,0
32,23,91387,0
34,23,91388,0
35,83,91341,0
36,84,89026,0
37,85,91142,0
38,8,49700,0
39,8,49482,0
40,8,49330,0
41,8,91336,0
42,14,85120,0
43,14,84815,0
44,14,85111,0
45,86,92158,0
46,87,92159,0
47,91,92507,0
48,92,92508,0
49,93,92509,0
50,94,92513,0
51,100,92776,0
52,101,92776,0
53,102,92776,0
54,103,92811,0
55,104,92819,0
56,105,92820,0
57,106,92821,0
