"ID","enumName","localizedTextId"
1,"Cancel",1
2,"Help",2
3,"OK",3
4,"CharNotFound",4
5,"NoLanguageTbl",6
6,"Console_CommandNotFound",22
7,"UnknownError",23
8,"Locale_English",51
9,"Locale_Korean",52
10,"Error",63
11,"Yes",64
12,"No",65
13,"AttributeStrength",66
14,"AttributeFocus",67
15,"AttributeAgi",68
16,"AttributeEndurance",69
17,"AttributeIntellect",70
18,"ClassVindicator",74
19,"ClassAssassin",75
20,"ClassScout",77
21,"LoadingAutoexecINI",85
22,"Dodge",86
23,"Console_FunctionFailed",87
24,"Console_CannotAssignFunction",88
25,"Male_Says",94
26,"Female_Says",95
27,"Unisex_Says",96
28,"Someone",97
29,"You_Male_Say",98
30,"You_Female_Say",99
31,"Command_Say",101
32,"You_Male_Emote",104
33,"You_Female_Emote",105
34,"You_Unisex_Emote",106
35,"Command_Logout",107
36,"Unknown_Unit",108
37,"Spell_Unknown",109
38,"Spell_UnknownTarget",110
39,"Spell_TargetDead",111
40,"Spell_OOM",112
41,"Spell_Cooldown",113
42,"Spell_OutOfRange",114
43,"Spell_NotFacing",115
44,"Spell_ErrorTitle",116
45,"Spell_NotWhileInCombat",117
46,"Spell_StackCount",128
47,"Tell_To",152
48,"Tell_From",153
49,"Tell_NotFound",154
50,"Tell_Self",155
51,"Social_NotFound",157
52,"ErrorBoxTitle",180
53,"Error_ConnectionClosedMessage",181
54,"LoadScreen_BeginConnect",182
55,"LoadScreen_CreatingCharacter",183
56,"WorldServerDown",199
57,"WorldServerNotFound",200
58,"CRB_Deflect",214
59,"AuthScreen_Error_BadAccount",215
60,"AuthScreen_Error_BadVersion",216
61,"AuthScreen_Status_Connecting",217
62,"AuthScreen_Status_LoggingIn",221
63,"AuthScreen_Status_RealmList",224
64,"Abort",226
65,"Retry",227
66,"CombatFloater_Critical",234
67,"CombatFloaterType_General",235
68,"CombatFloaterType_DodgeParry",236
69,"CombatFloaterType_Healing",237
70,"CombatFloaterType_Healing_HP",238
71,"CombatFloaterType_Healing_MP",239
72,"CombatFloaterType_Damage",240
73,"CombatFloaterType_Damage_HP",241
74,"CombatFloaterType_Damage_MP",242
75,"CombatFloaterType_Detrimental",243
76,"CombatFloaterType_Beneficial",244
77,"CombatFloaterType_Warning",245
78,"CombatFloaterType_Warning_LowHP",246
79,"CombatFloaterType_Warning_LowMP",247
80,"FontAlias_Thick",251
81,"FontAlias_Thin",252
82,"FontAlias_Fixed",253
83,"FontAlias_Default",254
84,"FontAlias_Decorative",255
85,"FontAlias_Tooltip",256
86,"FontAlias_Chat",257
87,"FontAlias_Console",258
88,"CombatFloaterMessage_Message",260
