"ID","lootSpellTypeEnum","lootSpellPickupEnumFlags","creature2Id","buttonIcon","localizedTextIdName","localizedTextIdDescription","visualEffectId","data","dataValue"
1,1,0,29916,"",255064,255065,14797,0,100
2,2,0,29917,"",255066,255067,14796,167,100
3,3,0,29918,"",255068,255069,14795,0,100
4,0,0,29916,"Icon_ItemArmorFeet_boot_0001",258761,258762,0,34162,0
5,1,0,29916,"",0,0,14797,0,36
6,1,0,29916,"",0,0,14797,0,48
7,1,0,29916,"",0,0,14797,0,60
8,1,0,29916,"",0,0,14797,0,96
9,1,0,29916,"",0,0,14797,0,120
10,1,0,29916,"",0,0,14797,0,144
11,1,0,29916,"",0,0,14797,0,180
12,1,0,29916,"",0,0,14797,0,222
13,1,0,29916,"",0,0,14797,0,300
14,1,0,29916,"",0,0,14797,0,300
15,1,0,29916,"",0,0,14797,0,420
16,1,0,29916,"",0,0,14797,0,480
17,1,0,29916,"",0,0,14797,0,600
18,1,0,29916,"",0,0,14797,0,720
19,1,0,29916,"",0,0,14797,0,780
20,1,0,29916,"",0,0,14797,0,960
21,1,0,29916,"",0,0,14797,0,1020
22,1,0,29916,"",0,0,14797,0,1140
23,1,0,29916,"",0,0,14797,0,1260
24,1,0,29916,"",0,0,14797,0,60
25,1,0,29916,"",0,0,14797,0,80
26,1,0,29916,"",0,0,14797,0,100
27,1,0,29916,"",0,0,14797,0,160
28,1,0,29916,"",0,0,14797,0,200
29,1,0,29916,"",0,0,14797,0,240
30,1,0,29916,"",0,0,14797,0,300
31,1,0,29916,"",0,0,14797,0,370
32,1,0,29916,"",0,0,14797,0,500
33,1,0,29916,"",0,0,14797,0,500
34,1,0,29916,"",0,0,14797,0,700
35,1,0,29916,"",0,0,14797,0,800
36,1,0,29916,"",0,0,14797,0,1000
37,1,0,29916,"",0,0,14797,0,1200
38,1,0,29916,"",0,0,14797,0,1300
39,1,0,29916,"",0,0,14797,0,1600
40,1,0,29916,"",0,0,14797,0,1700
41,1,0,29916,"",0,0,14797,0,1900
42,1,0,29916,"",0,0,14797,0,2100
43,1,0,29916,"",0,0,14797,0,90
44,1,0,29916,"",0,0,14797,0,120
45,1,0,29916,"",0,0,14797,0,150
46,1,0,29916,"",0,0,14797,0,240
47,1,0,29916,"",0,0,14797,0,300
48,1,0,29916,"",0,0,14797,0,360
49,1,0,29916,"",0,0,14797,0,450
50,1,0,29916,"",0,0,14797,0,555
51,1,0,29916,"",0,0,14797,0,750
52,1,0,29916,"",0,0,14797,0,750
53,1,0,29916,"",0,0,14797,0,1050
54,1,0,29916,"",0,0,14797,0,1200
55,1,0,29916,"",0,0,14797,0,1500
56,1,0,29916,"",0,0,14797,0,1800
57,1,0,29916,"",0,0,14797,0,1950
58,1,0,29916,"",0,0,14797,0,2400
59,1,0,29916,"",0,0,14797,0,2550
60,1,0,29916,"",0,0,14797,0,2850
61,1,0,29916,"",0,0,14797,0,3150
62,2,0,29917,"",0,0,14796,260,100
63,2,0,29917,"",0,0,14796,260,100
64,2,0,29917,"",0,0,14796,260,100
65,2,0,29917,"",0,0,14796,916,100
66,2,0,29917,"",0,0,14796,916,100
67,2,0,29917,"",0,0,14796,916,100
68,2,0,29917,"",0,0,14796,916,100
69,2,0,29917,"",0,0,14796,533,100
70,2,0,29917,"",0,0,14796,533,100
71,2,0,29917,"",0,0,14796,533,100
72,2,0,29917,"",0,0,14796,971,100
73,2,0,29917,"",0,0,14796,971,100
74,2,0,29917,"",0,0,14796,971,100
75,2,0,29917,"",0,0,14796,971,100
76,2,0,29917,"",0,0,14796,609,100
77,2,0,29917,"",0,0,14796,609,100
78,2,0,29917,"",0,0,14796,609,100
79,2,0,29917,"",0,0,14796,906,100
80,2,0,29917,"",0,0,14796,906,100
81,2,0,29917,"",0,0,14796,906,100
82,2,0,29917,"",0,0,14796,918,100
83,2,0,29917,"",0,0,14796,918,100
84,2,0,29917,"",0,0,14796,918,100
85,2,0,29917,"",0,0,14796,915,100
86,2,0,29917,"",0,0,14796,915,100
87,2,0,29917,"",0,0,14796,915,100
88,2,0,29917,"",0,0,14796,904,100
89,2,0,29917,"",0,0,14796,904,100
90,2,0,29917,"",0,0,14796,261,100
91,2,0,29917,"",0,0,14796,261,100
92,2,0,29917,"",0,0,14796,261,100
93,2,0,29917,"",0,0,14796,261,100
94,2,0,29917,"",0,0,14796,912,100
95,2,0,29917,"",0,0,14796,912,100
96,2,0,29917,"",0,0,14796,924,100
97,2,0,29917,"",0,0,14796,924,100
98,2,0,29917,"",0,0,14796,913,100
99,2,0,29917,"",0,0,14796,913,100
100,2,0,29917,"",0,0,14796,925,100
101,2,0,29917,"",0,0,14796,925,100
102,2,0,29917,"",0,0,14796,909,100
103,2,0,29917,"",0,0,14796,909,100
104,2,0,29917,"",0,0,14796,922,100
105,2,0,29917,"",0,0,14796,922,100
106,2,0,29917,"",0,0,14796,733,100
107,2,0,29917,"",0,0,14796,733,100
108,2,0,29917,"",0,0,14796,921,100
109,2,0,29917,"",0,0,14796,921,100
110,2,0,29917,"",0,0,14796,905,100
111,2,0,29917,"",0,0,14796,905,100
112,2,0,29917,"",0,0,14796,905,100
113,2,0,29917,"",0,0,14796,919,100
114,2,0,29917,"",0,0,14796,919,100
115,2,0,29917,"",0,0,14796,919,100
116,2,0,29917,"",0,0,14796,907,100
117,2,0,29917,"",0,0,14796,907,100
118,2,0,29917,"",0,0,14796,920,100
119,2,0,29917,"",0,0,14796,920,100
120,2,0,29917,"",0,0,14796,260,250
121,2,0,29917,"",0,0,14796,260,250
122,2,0,29917,"",0,0,14796,260,250
123,2,0,29917,"",0,0,14796,916,250
124,2,0,29917,"",0,0,14796,916,250
125,2,0,29917,"",0,0,14796,916,250
126,2,0,29917,"",0,0,14796,916,250
127,2,0,29917,"",0,0,14796,533,250
128,2,0,29917,"",0,0,14796,533,250
129,2,0,29917,"",0,0,14796,533,250
130,2,0,29917,"",0,0,14796,971,250
131,2,0,29917,"",0,0,14796,971,250
132,2,0,29917,"",0,0,14796,971,250
133,2,0,29917,"",0,0,14796,971,250
134,2,0,29917,"",0,0,14796,609,250
135,2,0,29917,"",0,0,14796,609,250
136,2,0,29917,"",0,0,14796,609,250
137,2,0,29917,"",0,0,14796,906,250
138,2,0,29917,"",0,0,14796,906,250
139,2,0,29917,"",0,0,14796,906,250
140,2,0,29917,"",0,0,14796,918,250
141,2,0,29917,"",0,0,14796,918,250
142,2,0,29917,"",0,0,14796,918,250
143,2,0,29917,"",0,0,14796,915,250
144,2,0,29917,"",0,0,14796,915,250
145,2,0,29917,"",0,0,14796,915,250
146,2,0,29917,"",0,0,14796,904,250
147,2,0,29917,"",0,0,14796,904,250
148,2,0,29917,"",0,0,14796,261,250
149,2,0,29917,"",0,0,14796,261,250
150,2,0,29917,"",0,0,14796,261,250
151,2,0,29917,"",0,0,14796,261,250
152,2,0,29917,"",0,0,14796,912,250
153,2,0,29917,"",0,0,14796,912,250
154,2,0,29917,"",0,0,14796,924,250
155,2,0,29917,"",0,0,14796,924,250
156,2,0,29917,"",0,0,14796,913,250
157,2,0,29917,"",0,0,14796,913,250
158,2,0,29917,"",0,0,14796,925,250
159,2,0,29917,"",0,0,14796,925,250
160,2,0,29917,"",0,0,14796,909,250
161,2,0,29917,"",0,0,14796,909,250
162,2,0,29917,"",0,0,14796,922,250
163,2,0,29917,"",0,0,14796,922,250
164,2,0,29917,"",0,0,14796,733,250
165,2,0,29917,"",0,0,14796,733,250
166,2,0,29917,"",0,0,14796,921,250
167,2,0,29917,"",0,0,14796,921,250
168,2,0,29917,"",0,0,14796,905,250
169,2,0,29917,"",0,0,14796,905,250
170,2,0,29917,"",0,0,14796,905,250
171,2,0,29917,"",0,0,14796,919,250
172,2,0,29917,"",0,0,14796,919,250
173,2,0,29917,"",0,0,14796,919,250
174,2,0,29917,"",0,0,14796,907,250
175,2,0,29917,"",0,0,14796,907,250
176,2,0,29917,"",0,0,14796,920,250
177,2,0,29917,"",0,0,14796,920,250
180,0,0,29167,"",287590,287595,0,35801,0
181,0,0,35068,"",287591,287594,0,35802,0
182,0,0,29162,"",287592,287593,0,35803,0
183,4,0,38055,"",286422,0,0,15,40
184,4,0,38055,"",286425,0,0,15,120
185,4,0,38055,"",286426,0,0,15,360
186,4,0,38055,"",286427,0,0,15,1080
187,4,0,38055,"",286444,0,0,15,3240
192,0,13,32616,"",289862,0,0,36024,0
193,0,13,32616,"",289863,0,0,36008,0
194,0,0,29162,"",306685,306686,0,38262,0
195,4,0,38055,"",307731,0,0,13,10
196,4,0,38055,"",307732,0,0,13,30
197,4,0,38055,"",307733,0,0,13,90
198,4,0,38055,"",307734,0,0,13,270
199,4,0,38055,"",307735,0,0,13,810
200,0,3,34883,"Icon_ItemMisc_UI_Item_Potion_001",311452,311453,11824,29648,0
201,0,3,34883,"Icon_ItemMisc_UI_Item_Potion_001",311598,311599,11824,29647,0
202,0,11,34883,"Icon_ItemMisc_UI_Item_Potion_001",311600,311601,11824,29646,0
203,0,11,35322,"Icon_ItemMisc_UI_Item_Potion_001",315637,315638,0,39114,0
204,0,11,35322,"Icon_ItemMisc_UI_Item_Potion_001",315661,315662,11824,39117,0
205,0,11,35322,"Icon_ItemMisc_UI_Item_Potion_001",315674,315675,17395,39119,0
207,0,0,29916,"",323269,323270,14797,39550,0
226,3,1,29918,"",323872,323873,14795,0,1226
227,3,1,29918,"",323874,323875,14795,0,1226
228,3,1,29918,"",323876,323877,14795,0,2096
229,3,1,29918,"",323879,323880,14795,0,2657
230,3,1,29918,"",323881,323882,14795,0,3658
231,3,1,29918,"",323883,323884,14795,0,4378
233,0,11,35322,"Icon_ItemMisc_UI_Item_Potion_001",324868,324869,0,39629,0
234,0,11,35322,"Icon_ItemMisc_UI_Item_Potion_001",324871,324872,11824,39630,0
235,0,11,35322,"Icon_ItemMisc_UI_Item_Potion_001",324874,324875,17395,39631,0
236,0,11,29162,"",328944,0,0,39827,0
