"ID","localizedTextIdName","assetPath","imagePath","imageWidth","imageHeight","imageOffsetX","imageOffsetY","hexMinX","hexMinY","hexLimX","hexLimY","flags"
6,259615,"Map\Eastern","EasternContinent",1000,1000,144,0,656,482,832,696,4
7,259619,"Map\NeighborhoodTest002NewSize","",0,0,0,0,0,0,0,0,2
8,259622,"Map\Western","WesternContinent",1000,1000,0,100,500,460,788,659,4
9,259625,"Map\HalonRingNew","HalonRingContinent",1000,1000,252,292,390,403,555,523,4
10,259627,"Map\Protopia","",0,0,0,0,0,0,0,0,0
11,259630,"Map\QuestTestIsland","",0,0,0,0,0,0,0,0,3
12,259636,"Map\InitiateIsland","",0,0,0,0,0,0,0,0,0
13,259638,"Map\EthnDunon","",0,0,0,0,0,0,0,0,2
14,259640,"Map\Skullcano","",0,0,0,0,0,0,0,0,2
15,259642,"Map\OsunDungeon","",76,55,0,0,680,588,705,604,2
16,259645,"Map\AdventureGaleras","",0,0,0,0,0,0,0,0,2
17,259647,"Map\AdventureMalgrave","",1000,1000,0,0,678,623,753,678,2
18,259649,"Map\ShiphandInfestation","",0,0,0,0,0,0,0,0,2
19,259653,"Map\Farsidesque","",346,572,0,0,716,453,813,522,0
20,262516,"Map\HousingAlgorocNeighborhood","",0,0,0,0,0,0,0,0,0
22,270468,"Map\ExileArkShipTutorial","",0,0,0,0,0,0,0,0,2
23,276797,"Map\AdventureNorthernWilds","",0,0,0,0,0,0,0,0,2
24,277901,"Map\AdventureHycrest","",0,0,0,0,0,0,0,0,2
25,277920,"Map\Eastern","",0,0,0,0,0,0,0,0,2
26,277925,"Map\AdventureWhitevale","",76,76,0,0,764,566,789,588,2
27,277936,"Map\AdventureAstrovoidPrison","",82,97,0,0,664,578,691,606,2
28,277951,"Map\Western","",0,0,0,0,0,0,0,0,2
30,293210,"Map\DominionArkShipTutorial","",0,0,0,0,0,0,0,0,0
31,296090,"Map\PublicEventIsland","PublicEventIslandContinent",1000,1000,331,350,652,532,772,625,4
32,306183,"Map\PocketCaps","",0,0,0,0,78,59,103,74,0
33,311871,"Map\NewCentral","Central",1000,1000,145,0,632,461,814,683,4
34,321689,"Map\PellicaneTestWorld","",0,0,0,0,1130293520,1,4294967295,0,0
36,324430,"Map\HousingAlgorocSky","",22,24,0,0,48,50,55,57,0
38,331246,"Map\ShiphandAsteroidMining","",28,31,0,0,882,679,891,688,0
