"ID","localizedTextIdName","mapContinentId","folder","hexMinX","hexMinY","hexLimX","hexLimY","version","mapZoneIdParent","worldZoneId","flags","prerequisiteIdVisibility","rewardTrackId"
1,259616,6,"NorthernWilds",760,482,785,501,17,0,35,0,0,0
2,259617,6,"Whitevale",700,565,827,624,15,0,137,0,0,0
4,259620,7,"HousingNeighborhood",670,573,709,601,14,0,0,0,0,0
5,259621,6,"Celestion",690,525,765,571,25,0,248,0,0,0
6,259623,8,"Auroria",622,543,679,593,18,0,36,0,0,0
7,259624,8,"Ellevar",602,506,667,550,18,0,37,0,0,0
8,259626,9,"halonring",384,474,449,525,16,0,871,0,0,0
10,259628,10,"Protopia",660,572,705,610,14,0,0,0,0,0
12,259629,8,"CrimsonIsle",500,563,543,596,16,0,622,0,0,0
13,259631,11,"QuestTestIsland",670,581,699,604,15,0,262,0,0,0
14,259632,6,"Thayd",750,541,781,565,20,0,122,1,0,0
15,259633,8,"Deradune",548,553,605,603,14,0,483,0,0,0
16,259634,6,"Galeras",770,517,831,566,16,0,29,0,0,0
17,259635,6,"Algoroc",728,496,789,535,14,0,13,0,0,0
18,259637,12,"InitiateIsland",672,580,709,610,14,0,0,0,0,0
19,259639,13,"StormtalonLair",674,588,689,599,14,0,0,0,0,0
20,259641,14,"SkullcanoIsland",652,569,697,589,15,0,1220,0,0,0
21,259643,15,"OsunDungeon",678,589,705,612,19,0,0,0,0,0
22,259644,8,"LevianBay",592,460,645,505,23,0,1304,0,0,0
23,259646,16,"GalerasAdventure",786,541,807,551,16,0,29,0,0,0
24,259648,17,"MalgraveAdventure",678,623,753,678,14,0,1711,0,0,0
25,259650,18,"X82CargoShip",678,590,685,595,15,0,0,0,0,0
26,259651,8,"Wilderrun",690,487,785,567,22,0,1402,0,0,0
27,259652,6,"EverstarGrove",656,517,701,555,19,0,1414,0,0,0
28,259654,19,"Farside",716,453,795,505,17,0,936,0,0,0
29,262518,20,"AlgorocNeighborhood",40,102,85,153,0,0,0,0,0,0
31,270469,22,"ExileArkShipTutorial",652,559,713,610,2,0,0,4,0,0
32,276798,23,"NorthernWildsAdventure",756,482,791,500,5,0,35,2,0,0
33,277902,24,"HycrestAdventure",622,552,643,573,4,0,36,0,0,0
34,277921,25,"AlgorocAdventure",750,517,797,536,4,0,0,0,0,0
35,277927,26,"WhitevaleAdventure",764,570,791,589,9,0,137,0,0,0
36,277937,27,"AstrovoidPrisonAdventure",662,578,695,612,8,0,1582,0,0,0
37,277952,28,"EllevarAdventure",608,508,667,546,3,0,0,0,0,0
39,293211,30,"DominionArkShipTutorial",652,559,713,610,1,0,0,4,0,0
40,296091,31,"EternityIslands",652,591,717,625,8,0,1664,0,0,0
41,306184,32,"PocketCapNorthernWilds",76,57,103,76,2,0,1784,0,0,0
42,311872,33,"Malgrave",678,617,755,683,4,0,377,0,0,0
46,321542,19,"FarsideDerilectSilo",776,363,823,403,2,28,1430,0,0,0
47,321690,34,"PellicaneTestWorld",562,581,587,610,3,0,0,0,0,0
48,321707,9,"HalonRingIsland2",424,429,505,489,1,0,2047,0,0,0
49,321712,9,"HalonRingIsland3",490,400,559,456,1,0,0,0,0,0
50,321734,19,"FarsideAsteroid",882,474,895,493,2,28,1473,2,0,0
53,321875,33,"Grimvault",688,543,757,619,9,0,2067,0,0,0
57,322380,8,"LevianBayStarComm1",622,478,631,487,2,22,1309,2,0,0
