"ID","mapZoneHexGroupId","hexX","hexY"
8,2,789,546
9,2,789,547
10,2,788,547
11,2,788,548
12,2,787,548
13,2,787,547
14,2,787,546
15,2,794,547
16,2,794,548
17,2,794,549
18,2,794,550
19,2,793,549
20,2,793,548
21,2,793,547
22,2,792,547
23,2,792,548
24,2,792,549
25,2,792,550
26,2,791,549
27,2,791,548
28,2,791,547
29,2,791,546
30,2,790,546
31,2,790,547
32,2,790,548
33,2,790,549
34,2,790,550
35,2,789,550
36,2,789,549
37,2,788,550
38,2,788,549
39,2,789,548
40,3,795,548
41,3,795,547
42,3,797,547
43,3,797,546
44,3,798,546
45,3,798,547
46,3,796,548
47,3,796,547
48,3,798,548
49,3,799,547
50,3,799,546
51,3,800,546
52,3,801,546
53,3,801,545
54,3,800,547
55,4,802,545
56,4,802,543
57,4,802,544
58,4,803,543
59,4,803,544
60,4,801,544
61,4,801,543
62,4,804,544
63,4,805,544
64,4,805,545
65,4,805,546
66,4,804,547
67,4,804,546
68,4,804,545
69,4,803,545
70,4,803,546
71,4,802,546
72,5,777,526
73,5,778,526
74,5,782,525
75,5,781,524
76,5,782,523
77,5,782,522
78,5,781,521
79,5,780,522
80,5,772,521
81,5,781,522
82,5,781,523
83,5,775,523
84,5,775,522
85,5,776,522
86,5,776,523
87,5,777,522
88,5,777,523
89,5,773,520
90,5,783,522
91,5,783,523
92,5,776,524
93,5,776,525
94,5,777,525
95,5,777,524
96,5,774,520
97,5,780,525
98,5,780,524
99,5,774,521
100,5,780,523
101,5,779,527
102,5,775,520
103,5,781,527
104,5,782,527
105,5,775,521
106,5,778,523
107,5,776,521
108,5,778,525
109,5,779,522
110,5,774,522
111,5,773,521
112,5,779,525
113,5,783,525
114,5,783,526
115,5,783,524
116,5,779,523
117,5,778,524
118,5,772,522
119,5,772,523
120,5,772,524
121,5,780,526
122,5,772,525
123,5,773,525
124,5,781,526
125,5,774,526
126,5,779,526
127,5,779,524
128,5,778,527
129,5,780,527
130,5,782,524
131,5,781,525
132,5,775,526
