"ID","mapZoneHexGroupId","localizedTextIdDescription","faction2Id"
1,23,360789,260
5,900,457807,260
6,901,458568,260
7,902,458595,260
9,903,458644,260
10,907,466370,907
11,907,466501,920
12,908,466506,907
13,908,466513,920
14,909,550215,909
15,909,550216,922
16,1319,550218,909
17,1319,550219,922
18,911,472674,260
19,928,475461,905
20,927,475423,919
21,926,475322,905
22,926,475321,919
23,913,472806,905
24,913,472807,919
25,912,472810,609
26,914,472828,609
27,915,472848,609
28,911,473939,916
29,916,473949,916
30,917,473982,916
33,920,473987,916
36,923,474513,533
37,924,474532,533
38,925,474534,533
39,929,492538,925
40,1301,516015,925
43,929,492537,913
44,1301,516017,913
47,1052,508617,904
48,1052,508618,917
49,1072,508635,904
50,1072,508636,917
51,1302,530741,261
52,1318,535659,261
53,1344,539236,261
54,1547,539347,261
55,1557,543682,915
56,1559,543699,915
57,1558,543702,915
58,1678,640288,912
59,1678,640289,924
