"ID","mapZoneId","pos0","pos1","pos2","localizedTextId","mapZoneSpriteId"
9,1,4146,0,4294961572,259662,76
10,1,4729,0,4294961608,259663,26
11,1,4099,0,4294962090,259664,78
12,1,3879,0,4294962046,259665,77
13,1,4347,0,4294961602,259666,67
14,1,4110,0,4294961403,259667,1
15,1,4458,0,4294962021,259668,41
24,2,3674,0,4294966988,259677,35
26,2,3854,0,4294966490,259679,1
50,4,0,4294966276,4294967291,259703,1
51,5,2799,0,4294964853,259704,67
52,5,3273,0,4294965395,259705,50
58,5,1218,0,4294964575,259711,1
59,5,1282,0,4294964116,259712,1
60,5,729,0,4294965159,259713,1
61,5,1667,0,4294965052,259714,28
62,5,1018,0,4294964230,259715,67
63,5,1064,0,4294965887,259716,13
64,5,2143,0,4294965372,259717,67
65,5,2597,0,4294965590,259718,67
66,5,2869,0,4294965471,259719,95
67,6,4294964899,0,4294965383,259720,71
68,6,4294964933,0,4294965644,259721,1
69,6,4294964932,0,4294965792,259722,71
72,6,4294965263,0,4294966324,259725,71
73,6,4294965682,0,4294966350,259726,14
74,6,4294965821,0,4294967087,259727,82
75,6,4294965491,0,4294965975,259728,59
76,6,4294966048,0,4294966105,259729,71
78,6,4294965865,0,4294965637,259731,84
79,6,4294965558,0,4294965583,259732,71
80,6,4294965226,0,4294965262,259733,71
81,6,4294966084,0,4294965068,259734,21
82,6,4294966278,0,4294964779,259735,27
84,7,4294964777,0,4294963786,259737,71
85,7,4294965300,0,4294963129,259738,55
86,7,4294966113,4294966681,4294963635,259739,54
87,7,4294965516,4294966664,4294963884,259740,1
88,7,4294964354,4294966531,4294964465,259741,71
89,7,4294964388,4294966476,4294963786,259742,71
90,7,4294964118,4294966482,4294963578,259743,71
91,15,4294961650,0,4294966634,259744,71
92,15,4294961414,0,4294966515,259745,1
94,15,4294961633,0,93,259747,72
95,15,4294961723,0,4294965830,259748,28
96,15,4294962212,0,4294966417,259749,73
97,15,4294962431,0,4294966598,259750,1
98,15,4294961832,0,4294966210,259751,71
107,15,4294961272,0,4294965798,259760,1
108,15,4294961007,0,4294965730,259761,1
109,15,4294962107,0,4294966832,259762,27
110,16,4585,0,4294964896,259763,67
111,16,5132,0,4294964940,259764,67
112,16,5143,0,4294965286,259765,67
113,16,4536,0,4294964443,259766,113
114,16,5091,0,4294964376,259767,67
115,16,5083,0,4294964071,259768,1
116,16,5139,0,4294963336,259769,51
117,16,4899,0,4294963994,259770,114
119,16,5592,0,4294965331,259772,111
120,16,5610,0,4294964826,259773,67
121,16,5611,0,4294964244,259774,1
122,16,5770,0,4294964737,259775,67
123,16,5870,0,4294965551,259776,81
124,16,5171,0,4294963734,259777,102
126,17,3827,0,4294962644,259779,67
127,17,3498,0,4294963193,259780,68
128,17,3166,0,4294962976,259781,69
129,17,4094,0,4294963296,259782,67
130,17,4107,0,4294962736,259783,20
131,17,4417,0,4294963917,259784,70
132,17,4422,0,4294963364,259785,67
133,17,4870,0,4294963066,259786,51
134,16,6284,0,4294964244,289053,75
135,5,1057,0,4294964871,311973,67
136,5,1414,0,4294965431,311976,1
137,5,1675,0,4294965319,311977,67
138,5,2132,0,4294965737,311979,1
139,5,3167,0,4294965099,311980,67
140,19,4294967217,0,222,330478,1
141,19,4294967202,0,121,330479,1
142,19,52,0,257,330481,1
145,24,3035,0,2821,332021,9
146,24,3083,0,2293,332024,10
147,24,2349,0,2236,332025,11
148,24,1789,0,2003,332026,12
149,24,948,0,2084,332027,13
150,24,264,0,3073,332028,13
151,24,540,0,4094,332029,7
152,24,2754,0,2552,332030,14
153,24,2333,0,2685,332031,15
154,24,1642,0,2872,332032,17
155,24,1361,0,3137,332041,27
156,24,820,0,3722,332043,26
157,24,2486,0,3114,332054,18
158,24,2250,0,3732,332056,19
159,24,1481,0,3500,332057,24
160,24,1372,0,4017,332061,23
161,24,1149,0,4048,332062,25
162,24,2696,0,3390,332063,46
163,24,2668,0,3888,332064,20
164,24,2382,0,4137,332065,21
165,24,1853,0,3771,332066,12
166,24,1590,0,4216,332068,22
167,17,3468,4294966367,4294963937,345070,1
168,17,3189,4294966470,4294962374,345074,16
169,17,2978,4294966323,4294963432,345078,1
171,20,4294966538,0,4294966844,371145,1
172,20,497,0,4294966920,371147,1
173,20,172,0,4294966772,371150,1
174,20,4294966642,0,4294966294,371151,1
175,6,4294965772,0,4294965250,374699,71
176,6,4294965598,0,4294964834,374705,1
177,6,4294964871,0,4294966298,374706,1
178,6,4294965793,0,4294965887,374707,1
179,6,4294966353,0,4294966568,374709,81
180,6,4294966521,0,4294966848,374710,1
181,6,4294965326,0,4294966848,374711,41
182,6,4294965203,0,4294966693,374712,49
183,21,4294967281,0,989,374742,1
184,21,44,0,72,374744,1
185,21,598,0,977,374745,1
186,21,189,0,218,374747,1
187,21,226,0,254,374748,1
188,69,577,0,4294967289,375130,1
189,69,575,0,260,375131,1
190,20,611,0,4294967153,375135,1
191,20,0,0,4294966850,375141,1
192,20,4294967093,0,4294966481,375144,1
193,15,4294962390,0,4294967119,375322,71
194,15,4294962082,0,167,375324,28
195,15,4294962545,0,408,375328,1
196,15,4294962402,0,335,375330,51
197,15,4294962980,0,149,375331,27
198,15,4294962869,0,4294966685,375332,1
199,15,4294962892,0,4294966373,375346,74
200,15,4294962625,0,4294966873,375349,71
201,15,4294962671,0,4294966230,375356,71
202,15,4294962600,0,4294965899,375361,1
203,15,4294962580,0,4294965753,375363,71
204,15,4294962851,0,4294965432,375368,75
205,15,4294962212,0,4294965776,375371,71
206,15,4294962125,0,4294965493,375377,71
207,15,4294962195,0,4294965314,375378,1
208,78,4294963746,0,4294966593,375625,38
209,78,4294964175,0,4294966573,375626,1
210,78,4294964451,0,4294966593,375627,64
211,78,4294964177,0,4294966190,375628,65
212,20,4294966058,0,4294966825,376243,1
213,12,4294959503,0,4294967071,376342,8
214,12,4294959040,0,4294967084,376365,92
215,12,4294959603,0,4294966601,376366,71
216,12,4294960238,0,4294966293,376367,51
217,12,4294960074,0,4294966493,376368,1
218,12,4294959805,0,4294966056,376369,1
219,12,4294959776,0,4294966501,376370,87
220,12,4294959289,0,4294965938,376379,85
222,12,4294959617,0,132,376746,89
223,2,4568,0,4294966482,376768,67
224,2,5224,0,4294967198,376769,67
225,2,3444,0,4294966824,376770,53
226,2,2035,0,4294966463,376771,71
227,2,1468,0,4294967284,376772,71
228,2,2251,0,4294966955,376773,79
229,2,2768,0,4294967289,376774,1
230,2,3200,0,321,376775,30
231,2,4228,0,369,376778,80
232,2,4000,0,1088,376779,54
233,2,2190,0,117,376780,71
234,2,2112,0,540,376781,59
235,2,2722,0,1189,376782,53
236,2,3046,0,726,376784,53
240,7,4294964658,4294966503,4294963513,388822,71
241,7,4294964523,4294966484,4294964020,388823,1
242,7,4294964779,4294966534,4294964343,388824,71
243,7,4294964366,4294966541,4294964797,388825,51
244,7,4294964641,4294966560,4294964573,388826,1
245,7,4294965037,4294966552,4294964056,388827,71
246,7,4294965594,4294966600,4294964122,388828,36
247,7,4294965501,4294966581,4294963345,388829,29
248,35,4607,0,4294966458,396992,31
249,35,4523,0,4294966489,396993,29
250,35,4653,0,4294966585,396994,20
251,35,4154,0,4294966521,396995,13
252,35,4370,0,4294966379,396996,33
253,35,4202,0,4294966433,396997,32
254,35,4669,0,4294967066,396998,34
255,35,5004,0,4294967079,396999,9
256,35,4759,0,4294966557,397000,17
257,35,4905,0,4294966333,397001,25
258,35,4824,0,4294966384,397002,36
259,35,4791,0,4294966702,397003,16
260,35,4528,0,4294966685,397004,36
261,35,4424,0,4294966723,397005,35
262,99,4294966163,4294966387,1099,410338,1
263,99,4294966160,4294966371,928,410339,1
264,99,4294966160,4294966386,780,410340,1
265,85,3547,0,4294963960,410537,1
266,85,4252,0,4294963185,410538,1
267,85,4227,0,4294964556,410539,1
268,85,4895,0,4294963976,410540,1
269,85,4219,0,4294963976,410541,1
270,28,4063,0,4294962079,410937,71
271,28,4422,4294966583,4294961629,410938,67
272,28,3691,0,4294961415,410939,1
273,28,3949,0,4294960786,410940,41
274,28,4740,0,4294960468,410941,1
275,28,4470,0,4294960082,410946,51
276,28,3429,0,4294962080,410948,99
278,25,0,0,60,413651,1
279,25,4294967238,0,25,413667,1
280,25,4294967183,0,139,413668,1
283,91,4294966877,0,119,415035,1
284,92,4294967136,0,119,415044,1
285,92,4294967242,0,32,415046,1
286,92,4294967288,0,4294967169,415047,1
287,92,4294967243,0,282,415052,1
288,74,1928,0,4294965842,416992,1
289,74,1491,0,4294966166,416993,96
290,74,1538,0,4294965375,416994,96
291,74,1129,0,4294965750,416995,26
