"ID","mapZoneId","worldId"
2,1,426
3,2,51
5,4,466
6,5,51
7,6,22
8,7,22
9,8,1068
10,10,790
11,12,870
12,13,625
13,14,51
14,15,22
15,16,51
16,17,51
17,18,1143
18,19,382
19,20,1263
20,21,1336
21,22,1387
22,23,1233
23,24,1181
24,25,1232
25,26,22
26,27,990
27,28,1421
28,29,1221
31,32,1393
32,33,1149
33,34,1265
34,35,1323
35,37,1496
36,36,1437
37,38,1538
39,40,1629
40,41,1658
41,42,1061
43,46,1421
44,47,1446
45,48,1068
46,49,1068
47,50,1421
50,53,1061
51,57,1387
52,58,1387
53,59,1387
54,60,1229
58,65,1319
59,64,1319
60,63,1319
61,66,1535
62,67,1319
63,68,1319
64,69,797
65,72,1263
66,73,1263
67,74,1421
68,75,1421
69,76,1421
70,77,1447
71,78,22
72,79,1898
73,80,1892
74,81,1896
75,82,1901
76,83,1895
78,70,1061
79,85,1271
80,86,1437
81,87,1421
82,88,1421
83,89,1605
84,84,1899
85,90,1606
86,91,1606
87,92,1606
88,93,1627
89,94,1627
90,95,1627
91,96,1627
92,97,1627
93,98,1333
94,99,821
95,100,1610
96,101,1940
97,102,921
99,104,1333
100,105,1333
101,106,1333
102,107,1333
103,108,1333
104,109,1333
105,110,1333
106,111,1333
107,112,1333
108,113,1333
109,114,1333
110,115,1333
111,116,1333
112,117,1333
113,118,1333
114,119,1333
115,120,1333
116,19,2147
117,121,2149
120,124,1629
121,127,2188
122,128,2188
123,129,2188
124,130,2188
126,133,2183
127,134,2183
128,132,2183
129,135,1437
130,136,1437
131,137,2173
132,141,2188
133,142,2188
134,143,2188
135,144,2188
137,148,1462
138,149,1462
140,151,1537
143,71,1061
144,153,2967
145,155,1061
146,156,1537
147,157,1537
148,158,1537
149,159,1537
150,184,1634
151,185,1634
152,186,1634
153,187,1634
154,188,1634
155,189,1149
157,191,2988
158,131,2997
159,192,2979
160,138,2189
161,139,2352
162,194,1437
163,195,1437
164,196,1437
165,197,1323
166,198,1323
167,199,1323
168,200,1323
169,201,1982
170,202,3010
171,203,1894
172,165,2980
173,160,2980
174,162,2980
175,173,2980
176,204,2980
177,163,2980
178,169,2980
179,181,2980
180,182,2980
181,177,2980
182,167,2980
183,164,2980
184,103,2166
185,207,3088
186,208,3088
189,214,3045
190,215,3045
191,216,3045
192,217,3045
193,218,426
194,219,426
195,220,1658
196,221,1658
197,222,1658
198,223,426
199,224,1068
200,225,1068
201,226,1068
202,227,1463
203,228,1463
207,232,1068
208,233,1068
209,234,1068
210,235,1068
211,236,1068
212,237,1068
213,238,1068
214,239,1068
215,240,1068
216,241,1068
217,242,1068
218,243,1068
219,244,1068
220,245,1068
221,246,1068
222,247,1068
223,248,1068
224,249,1068
225,250,1068
226,251,1068
227,252,3044
228,253,3044
229,254,1061
230,255,1061
231,256,1061
232,257,1061
233,258,1061
234,259,1061
235,260,1061
236,261,1061
237,262,1061
238,263,1061
239,264,1061
240,265,1061
241,266,1061
242,267,1061
243,268,1061
244,269,1061
245,270,1061
246,271,1061
248,273,1061
249,274,1061
250,275,1061
251,276,1061
252,277,3180
253,278,3180
254,279,3180
255,280,3180
256,281,1064
257,282,1061
258,283,1061
259,284,1061
260,285,1061
261,286,1061
262,287,2997
263,288,2997
264,289,2997
265,290,2997
266,291,1061
267,292,1061
268,293,1061
269,294,1061
270,295,1061
271,296,1061
273,298,1061
274,299,1061
275,300,1061
276,301,1061
277,302,1061
278,303,1061
279,304,1061
280,305,1061
281,306,1061
282,307,3176
285,309,1421
286,310,1421
287,311,1421
288,312,22
289,313,22
290,314,22
291,315,22
292,316,22
293,317,22
294,318,22
295,319,22
296,320,22
297,321,1061
298,322,1061
299,323,1061
300,324,1061
301,325,1061
302,326,1061
303,327,1833
304,328,1061
305,329,1061
306,330,870
307,331,870
308,332,870
309,333,870
310,334,1387
311,335,1387
312,336,22
313,337,22
314,338,22
315,339,22
316,340,22
317,341,22
318,342,22
319,343,22
320,344,22
321,345,22
322,346,22
325,349,3176
326,350,3176
327,351,3176
328,352,3176
329,353,1181
330,354,1393
331,355,1149
332,356,22
333,357,22
335,359,22
336,360,22
337,361,22
338,362,22
339,363,22
340,364,22
341,365,22
342,366,22
343,367,22
344,368,22
345,369,22
346,370,22
347,371,22
348,372,22
349,373,22
350,374,22
351,375,22
352,376,22
353,377,22
354,378,22
355,379,22
356,380,22
357,381,22
358,382,22
359,383,22
360,384,22
361,385,22
362,386,22
363,387,22
364,388,22
365,389,22
366,390,22
367,391,22
370,395,990
371,396,990
372,397,990
373,398,51
374,399,51
375,400,51
376,401,51
377,402,51
378,403,51
379,404,51
380,405,51
381,406,1138
382,407,51
383,408,51
384,409,51
385,410,51
386,411,51
387,412,51
388,413,51
389,414,51
390,415,51
391,416,51
392,417,51
393,418,51
394,419,51
395,420,51
396,421,51
397,422,51
398,423,51
399,424,51
400,425,51
401,426,51
402,427,51
403,428,51
404,429,51
405,430,51
406,431,51
407,432,51
408,433,51
409,434,51
410,435,51
411,436,51
412,437,51
413,438,51
414,439,51
415,440,51
416,441,51
417,442,51
418,443,51
419,444,51
420,445,51
421,446,51
422,447,51
423,448,51
424,449,51
425,450,51
426,451,51
427,452,51
428,453,51
429,454,51
430,455,51
431,456,22
432,457,22
433,458,22
434,459,22
435,460,22
436,461,22
437,462,51
439,464,1061
442,470,3173
443,471,3173
444,472,3173
445,473,3173
448,474,51
449,475,3040
450,476,3335
451,477,3365
452,478,3022
453,479,3174
454,480,1537
455,481,1634
456,482,1421
457,483,1421
458,484,1061
459,485,1061
460,486,1061
461,487,1061
462,488,1061
463,489,22
464,490,22
465,491,22
466,492,22
467,493,22
468,494,22
469,495,22
470,496,22
471,497,22
472,498,22
473,499,51
474,500,51
475,501,51
476,502,51
477,503,51
478,504,51
479,505,51
480,506,51
481,507,51
482,508,51
483,509,51
484,510,51
485,511,51
486,512,3009
487,513,3009
488,514,3009
489,515,3009
490,516,3009
491,517,3009
492,518,3009
497,525,3406
498,526,3406
499,527,3406
500,528,3406
501,529,3406
502,530,3391
503,531,3335
505,533,3094
506,534,3335
507,535,3335
508,536,3335
509,537,3335
510,538,3335
511,539,3335
512,540,3335
513,541,3335
514,542,3460
515,543,3009
517,99,3449
518,544,3460
519,545,3460
520,546,3460
521,547,3519
522,548,3032
523,549,3032
524,550,3032
525,551,3032
526,552,3032
527,553,3032
529,555,3032
530,556,3032
531,557,3032
532,558,3032
533,559,3032
534,560,3522
535,563,3404
536,564,3404
