"ID","matchingGameMapEnumFlags","localizedTextIdName","localizedTextIdDescription","matchingGameTypeId","worldId","recommendedItemLevel","achievementCategoryId","prerequisiteId"
1,1,291658,291659,1,1610,0,71,0
2,1,291765,291766,3,1535,0,153,0
3,0,293946,293947,2,3022,0,0,0
5,1,295968,295976,4,1535,0,154,0
6,1,298695,298696,5,1535,0,155,0
8,1,308450,308451,11,1263,35,66,0
9,1,308465,308466,8,1181,45,79,0
10,1,313556,313557,7,382,20,166,0
11,1,313569,313570,68,1336,25,172,0
12,1,313593,313594,69,1271,40,169,0
14,1,313624,313625,87,1263,70,66,0
15,1,313628,313629,87,382,70,166,0
16,1,313630,313631,87,1336,70,172,0
17,1,313632,313633,87,1271,70,169,0
19,2,314018,314019,0,821,0,150,0
20,1,314873,314874,13,2166,0,285,0
23,0,366704,366705,0,2166,0,285,0
25,1,397356,397357,18,1323,40,82,0
27,1,403823,403824,20,797,0,149,0
28,1,403825,403826,21,797,0,149,0
29,1,403827,403828,22,797,0,149,0
30,0,403829,403830,0,797,0,149,0
32,2,404459,404460,0,821,0,150,0
33,2,404461,404462,0,821,0,150,0
35,0,404468,404469,0,797,0,0,0
36,0,404470,404471,0,797,0,0,0
37,0,404472,404473,0,797,0,0,0
38,1,404474,404475,31,797,0,149,0
40,2,404478,404479,0,821,0,0,0
41,2,404480,404481,0,821,0,0,0
43,0,404486,404487,0,2166,0,0,0
44,1,413726,413727,43,2166,0,285,0
45,2,413730,413732,0,821,0,150,0
46,1,428561,428562,39,1535,0,153,0
47,1,428959,428960,40,1535,0,154,0
48,1,428961,428962,41,1535,0,155,0
50,1,443956,443957,44,1181,60,79,0
51,1,443958,443959,44,1323,60,82,0
52,1,444089,444090,45,1233,30,85,0
53,1,444093,444094,44,1233,60,85,0
55,1,488136,488137,47,1393,25,88,0
56,1,488139,488140,44,1393,60,88,0
57,1,488141,488142,48,1149,15,94,19
58,1,488145,488146,48,1437,15,91,18
61,1,568869,568870,49,1535,0,153,0
62,1,568871,568872,50,1535,0,154,0
63,1,568873,568874,51,1535,0,155,0
64,0,569486,569487,0,3022,0,153,0
65,1,569488,569489,50,3022,0,154,0
66,1,569490,569491,51,3022,0,155,0
70,1,648648,648650,57,3173,10,317,0
71,1,648662,648663,87,2980,70,316,0
72,1,652211,652212,58,3180,6,329,0
73,1,652213,652214,59,1319,12,274,0
74,1,652215,652216,60,1232,17,275,0
75,1,652217,652218,61,1627,26,276,0
76,1,652219,652220,62,2149,30,277,0
77,1,652221,652222,63,2188,31,278,0
78,1,652223,652224,64,2183,40,279,0
79,1,652225,652226,88,3180,55,329,0
80,1,652227,652228,88,1319,55,274,0
81,1,652230,652231,88,1232,0,275,0
82,1,652232,652233,88,1627,55,276,0
83,1,652234,652235,88,2149,55,277,0
84,1,652236,652237,88,2188,55,278,0
85,1,652238,652239,88,2183,55,279,0
86,1,678214,678215,44,3176,60,330,0
87,0,679151,679152,0,3022,0,153,0
88,1,679153,679154,40,3022,0,154,0
89,1,679155,679156,41,3022,0,155,0
90,0,679157,679158,0,3022,0,153,0
91,1,679159,679160,4,3022,0,154,0
92,1,679161,679162,5,3022,0,155,0
95,1,688037,688038,87,3173,70,317,0
97,1,740994,740995,70,3094,0,0,38855
98,1,741474,741475,71,3044,0,0,35911
99,1,742595,742596,72,3449,0,150,0
102,1,746473,746474,74,3045,55,175,0
103,1,746475,746476,75,3009,55,175,0
104,1,753468,753469,76,3449,0,150,0
105,1,753470,753471,77,3449,0,150,0
106,1,758266,758267,88,3404,55,360,0
107,1,758268,758269,78,3404,22,360,0
113,1,763575,763576,81,1336,80,172,0
115,1,763953,763954,82,3180,55,329,0
116,1,763955,763956,82,1319,55,274,0
117,1,763957,763958,82,1232,55,275,0
118,1,763959,763960,82,1627,55,276,0
119,1,763961,763962,82,2149,55,277,0
120,1,763963,763964,82,2188,55,278,0
121,1,763965,763966,82,2183,55,279,0
123,1,764197,764198,81,382,80,166,0
124,1,764199,764200,81,1263,80,66,0
125,1,764201,764202,81,1271,80,169,0
126,1,764203,764204,81,2980,80,316,0
127,1,764205,764206,81,3173,80,317,0
130,1,766983,766984,82,3404,55,360,0
131,1,767392,767393,81,3522,80,361,0
132,1,767575,767576,87,3522,70,361,0
