"ID","localizedTextIdName","localizedTextIdDescription","matchTypeEnum","matchingGameTypeEnumFlags","teamSize","minLevel","maxLevel","preparationTimeMS","matchTimeMS","matchingRulesEnum","matchingRulesData00","matchingRulesData01","targetItemLevel"
1,291656,291657,4,131,30,50,50,90000,0,0,15000,0,100
2,293955,293956,6,2,1,50,50,30000,1800000,2,5000,2,100
3,295440,295441,3,3,2,50,50,30000,1800000,2,5000,4,100
4,295981,295982,3,3,3,50,50,30000,1800000,2,5000,6,100
5,298697,298698,3,3,5,50,50,30000,1800000,2,5000,10,100
7,308469,308470,1,131,5,20,50,0,0,0,0,0,0
8,308471,308472,2,3,5,45,50,0,0,0,0,0,0
9,313609,313610,1,131,5,50,50,0,0,0,0,0,0
10,313616,313617,1,163,5,50,50,0,0,0,0,0,0
11,313619,313620,1,131,5,35,50,0,0,0,0,0,0
12,398082,398089,0,0,10,0,0,90000,0,1,20000,0,29
13,314871,314872,0,131,15,30,49,90000,2700000,1,30000,0,49
18,397358,397359,2,3,5,40,50,0,0,0,0,0,0
20,403833,403834,0,131,10,6,14,90000,1800000,1,30000,0,14
21,403835,403836,0,131,10,15,29,90000,1800000,1,30000,0,29
22,403837,403838,0,131,10,30,49,90000,1800000,1,30000,0,49
23,403839,403840,0,2,10,50,50,90000,1800000,1,30000,0,100
25,404437,404438,0,0,10,0,0,90000,0,1,20000,0,49
26,404439,404440,0,0,10,0,0,90000,0,1,20000,0,100
28,404443,404444,5,0,10,6,14,90000,1800000,1,30000,0,14
29,404445,404446,5,0,10,15,29,90000,1800000,1,30000,0,29
30,404447,404448,5,0,10,30,49,90000,1800000,1,30000,0,49
31,404449,404450,5,131,10,50,50,90000,1800000,1,30000,0,100
33,404453,404454,5,0,10,0,0,90000,0,1,20000,0,29
34,404455,404456,5,0,10,0,0,90000,0,1,20000,0,49
36,404484,404485,5,0,15,30,49,90000,2700000,1,30000,0,49
38,413724,413725,5,0,10,0,0,90000,0,1,20000,0,100
39,428559,428560,6,131,2,30,49,30000,1800000,2,5000,4,49
40,428954,428955,6,131,3,30,49,30000,1800000,2,5000,6,49
41,428956,428957,6,131,5,30,49,30000,1800000,2,5000,10,49
42,437031,437032,0,2,15,50,50,90000,2700000,1,30000,0,100
43,443678,443679,5,131,15,50,50,90000,2700000,1,30000,0,100
44,443952,443953,2,35,5,50,50,0,0,0,0,0,0
45,444095,444096,2,3,5,30,50,0,0,0,0,0,0
46,450358,450359,0,0,15,30,49,90000,2700000,1,30000,0,49
47,488126,488127,2,3,5,25,50,0,0,0,0,0,0
48,488128,488129,2,3,5,15,50,0,0,0,0,0,0
49,568863,568864,6,131,2,50,50,30000,1800000,2,5000,4,100
50,568865,568866,6,131,3,50,50,30000,1800000,2,5000,6,100
51,568867,568868,6,131,5,50,50,30000,1800000,2,5000,10,100
52,569492,569493,6,30,2,50,50,30000,1800000,2,5000,4,100
53,569494,569495,6,30,3,50,50,30000,1800000,2,5000,6,100
54,569496,569497,6,30,5,50,50,30000,1800000,2,5000,10,100
55,576677,576678,0,0,15,50,50,90000,2700000,1,30000,0,100
57,648642,648643,1,131,5,10,50,0,0,0,0,0,0
58,651834,651835,8,131,5,6,50,0,0,0,0,0,0
59,651836,651837,8,131,5,12,50,0,0,0,0,0,0
60,651838,651839,8,131,5,19,50,0,0,0,0,0,0
61,651840,651841,8,131,5,27,50,0,0,0,0,0,0
62,652042,652043,8,131,5,31,50,0,0,0,0,0,0
63,652084,652085,8,131,5,33,50,0,0,0,0,0,0
64,652086,652087,8,131,5,41,50,0,0,0,0,0,0
65,652088,652089,8,163,5,50,50,0,0,0,0,0,0
68,728313,728314,1,131,5,25,50,0,0,0,0,0,0
69,728315,728316,1,131,5,40,50,0,0,0,0,0,0
70,741023,741024,8,131,5,10,50,0,0,0,0,0,0
71,741469,741470,8,131,5,10,50,0,0,0,0,0,0
72,742597,742598,0,131,10,15,29,60000,600000,1,20000,0,100
74,746471,749282,9,3,1,50,50,0,0,0,0,0,0
75,746472,749283,9,3,5,50,50,0,0,0,0,0,0
76,753472,753473,0,131,10,30,49,60000,600000,1,20000,0,100
77,753474,753475,5,131,10,50,50,60000,600000,1,20000,0,100
78,758270,758271,8,3,5,22,50,0,0,0,0,0,0
81,763573,763574,10,163,5,50,50,0,0,0,0,0,0
82,763577,763578,11,163,5,50,50,0,0,0,0,0,0
83,763579,763580,12,35,5,50,50,0,0,0,0,0,0
87,766840,766841,14,419,5,50,50,0,0,0,0,0,0
88,766842,766843,15,419,5,50,50,0,0,0,0,0,0
89,766844,766845,13,291,5,50,50,0,0,0,0,0,0
