"ID","matchTypeEnum","item2Id","itemCount","currencyTypeId","currencyValue","xpEarned","item2IdLevelScale","itemCountLevelScale","currencyTypeIdLevelScale","currencyValueLevelScale","xpEarnedLevelScale","worldDifficultyEnum"
1,0,92291,1,1,250000,75000,0,0,1,125000,37500,0
2,1,92289,1,1,250000,125000,0,0,1,125000,62500,0
3,2,71871,1,1,150000,100000,0,0,0,0,0,1
4,3,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,0,0,0,0,0,0,0,0,0
6,5,92291,1,1,250000,125000,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0,0,0,0,0
8,7,0,0,0,0,0,0,0,0,0,0,0
9,8,92287,1,1,150000,75000,0,0,1,75000,37500,0
10,10,92290,1,1,500000,250000,0,0,0,0,0,1
11,11,92288,1,1,300000,150000,0,0,0,0,0,1
12,12,40693,1,7,100,100,0,0,0,0,0,0
13,13,40693,1,7,100,100,0,0,0,0,0,0
14,14,92290,1,1,500000,250000,0,0,0,0,0,1
15,15,92288,1,1,300000,150000,0,0,0,0,0,1
