"ID","row","materialTypeId"
29211,9,9
29212,7,2
29213,2,11
29214,3,7
29215,6,11
29216,8,2
29217,5,0
29218,4,0
29219,10,11
29220,44,2
29221,12,2
29222,40,4
29223,15,8
29224,16,2
29225,17,2
29226,18,2
29227,19,2
29228,20,11
29229,59,9
29230,22,9
29231,23,2
29232,24,4
29233,25,4
29234,26,1
29235,27,1
29236,28,1
29237,31,4
29238,32,4
29239,34,1
29240,35,9
29241,36,1
29242,37,11
29243,38,1
29244,39,8
29245,41,0
29246,33,11
29247,14,4
29248,1,5
29249,0,7
29250,30,1
29251,13,1
29252,42,0
29253,43,11
29254,11,2
29255,45,4
29256,47,9
29257,48,5
29258,49,2
29259,50,2
29260,51,1
29261,52,7
29262,53,9
29263,54,1
29264,46,1
29265,55,0
29266,56,9
29267,57,9
29268,29,1
29269,58,2
29270,21,9
29271,60,0
29272,61,9
29273,62,9
29274,63,6
29275,64,9
29276,65,9
29277,66,9
29278,67,9
29279,68,2
