"ID","luaName"
1,"PvpRedFlag"
2,"PvpBlueFlag"
3,"IronNode"
4,"TitaniumNode"
5,"ZephyriteNode"
6,"PlatinumNode"
7,"HydrogemNode"
8,"XenociteNode"
9,"ShadeslateNode"
10,"GalactiumNode"
11,"NovaciteNode"
12,"StandardRelicNode"
13,"AcceleratedRelicNode"
14,"AdvancedRelicNode"
15,"DynamicRelicNode"
16,"KineticRelicNode"
17,"SpirovineNode"
18,"BladeleafNode"
19,"YellowbellNode"
20,"PummelgranateNode"
21,"SerpentlilyNode"
22,"GoldleafNode"
23,"HoneywheatNode"
24,"CrowncornNode"
25,"CoralscaleNode"
26,"LogicleafNode"
27,"StoutrootNode"
28,"GlowmelonNode"
29,"FaerybloomNode"
30,"WitherwoodNode"
31,"FlamefrondNode"
32,"GrimgourdNode"
33,"MourningstarNode"
34,"BloodbriarNode"
35,"OctopodNode"
36,"HeartichokeNode"
37,"SmlGrowthshroomNode"
38,"MedGrowthshroomNode"
39,"LrgGrowthshroomNode"
40,"SmlHarvestshroomNode"
41,"MedHarvestshroomNode"
42,"LrgHarvestshroomNode"
43,"SmlRenewshroomNode"
44,"MedRenewshroomNode"
45,"LrgRenewshroomNode"
46,"AlgorocTreeNode"
47,"CelestionTreeNode"
48,"DeraduneTreeNode"
49,"EllevarTreeNode"
50,"GalerasTreeNode"
51,"AuroriaTreeNode"
52,"WhitevaleTreeNode"
53,"DreadmoorTreeNode"
54,"FarsideTreeNode"
55,"CoralusTreeNode"
56,"MurkmireTreeNode"
57,"WilderrunTreeNode"
58,"MalgraveTreeNode"
59,"HalonRingTreeNode"
60,"GrimvaultTreeNode"
61,"SchoolOfFishNode"
62,"PvPExileCarry"
63,"PvPDominionCarry"
64,"PvPNeutralCarry"
65,"PvPExileCap1"
66,"PvPDominionCap1"
67,"PvPNeutralCap1"
68,"PvPExileCap2"
69,"PvPDominionCap2"
70,"PvPNeutralCap2"
71,"PvPBattleAlert"
73,"VendorGeneral"
74,"VendorArmor"
75,"VendorConsumable"
76,"VendorElderGem"
77,"VendorFlight"
78,"VendorHousing"
79,"VendorMount"
80,"VendorRenown"
81,"VendorReputation"
82,"VendorResourceConversion"
83,"VendorTradeskill"
84,"VendorWeapon"
85,"VendorPvPArena"
86,"VendorPvPBattlegrounds"
87,"VendorPvPWarplots"
88,"CrimsonIsleTreeNode"
89,"NorthernWastesTreeNode"
90,"StarCommStationTreeNode"
91,"ContractBoard"
92,"PvPBlueCarry"
93,"PvPRedCarry"
94,"PvPRedCap"
95,"PvPBlueCap"
97,"VendorFortune"
