"ID","radius","speed","speedMultiplier","scaleMultiplier","modelAttachmentIdHeight"
1,1,0.04,1,1,1
2,1.5,0.03,1,1,1
3,2,0.02,1,1,1
4,2.5,0.01,1,1,1
6,1,0.04,1,1,86
7,1.5,0.03,1,1,86
8,2,0.02,1,1,86
9,2.5,0.01,1,1,86
10,1,0.04,1,1,87
11,1.5,0.03,1,1,87
12,2,0.02,1,1,87
13,5,0.25,1,1,46
14,2,1,1,1,9
15,0.75,-0.04,1,1,1
16,0.75,-0.04,1,1,86
17,0.75,-0.04,1,1,87
18,0.5,-0.02,1,1,1
19,0.5,-0.02,1,1,86
20,0.5,-0.02,1,1,87
21,0,-0.02,1,1,1
22,0,-0.02,1,1,86
23,0,-0.02,1,1,87
24,2,0.25,1,1,46
25,0,0.02,1,1,86
26,0,0.02,1,1,87
27,0,0,1,1,9
28,0,0.02,1,1,9
29,5,0.5,1,1,9
30,0,0,1,1,51
31,0,0.02,1,1,51
32,0,-0.02,1,1,51
33,2,1,1,1,9
35,1,0.25,1,1,87
36,2,1,1,1,86
37,2,1,1,1,87
38,9,0.2,1,1,87
39,1.2,0.12,1,1,21
40,1.5,0.33,1,1,87
41,2,0.5,1,1,87
43,1.5,0.1,1,1,1
44,1.5,0.1,1,1,86
45,1.5,0.1,1,1,87
46,1.5,0.2,1,1,1
47,1.5,0.2,1,1,86
48,1.5,0.2,1,1,87
49,10,0.4,1,1,46
50,2.5,0.1,1,1,88
51,2,0.1,1,1,87
52,2,0.2,1,1,1
53,2,0.2,1,1,86
54,2,0.2,1,1,87
55,1,0.115,1,1,1
56,1,0.115,1,1,86
57,1.5,0.03,1,1,46
58,3,1,1,1,1
59,1,0.2,1,1,86
60,1,0.2,1,1,87
61,0,-0.02,1,1,46
64,1,0.2,1,1,46
69,1.5,0.1,1,1,9
