"ID","EnumName"
1,"NAME"
2,"HAND_LF"
3,"HAND_RT"
4,"BACK"
5,"SHEATH_LF"
6,"SHEATH_RT"
7,"SHIELD_LF"
8,"CHEST"
9,"BASE"
10,"SPELL_HAND_LF"
11,"SPELL_HAND_RT"
12,"SPELL_MISC01"
13,"SHADOW"
14,"CHESTCTR_BB"
15,"HEAD"
16,"MUZZLE"
17,"PROP_MISC01"
18,"PROP_MISC02"
19,"PILOT"
20,"PASSENGER01"
21,"FX_MISC01"
22,"FX_MISC02"
23,"FX_MISC03"
24,"FX_MISC04"
25,"TEXT"
26,"MOUTH"
27,"WEAPONTRAIL_1"
28,"WEAPONTRAIL_2"
29,"WEAPONTRAIL_3"
30,"WEAPONTRAIL_4"
31,"WEAPONTRAIL_CENTER"
32,"SHEATH_SWORD_LF"
33,"SHEATH_SWORD_RT"
34,"SHEATH_PISTOL_LF"
35,"SHEATH_PISTOL_RT"
36,"BACK_SWORD"
37,"BACK_RIFLE"
38,"BACK_SHIELD"
39,"CAMERA_BASE"
40,"CAMERA_TARGET"
41,"BACK_STAFF"
42,"TAIL"
43,"WEAPON_TIP"
44,"WEAPON_MASS"
45,"BACK_SCYTHE"
46,"CHESTCTR"
47,"SIGIL_L"
48,"SIGIL_R"
49,"ANKLE_L"
50,"ANKLE_R"
51,"WEAPONTRAIL_GEO"
52,"BASE_BB"
53,"SNAP01"
54,"SNAP02"
55,"SNAP03"
56,"SNAP04"
57,"SNAP05"
58,"SNAP06"
59,"SNAP07"
60,"SNAP08"
61,"SNAP09"
62,"SNAP10"
63,"EYE_LF"
64,"EYE_RT"
65,"WEAPON_MASS_BB"
66,"MOUNT_PLAYER"
67,"MISSILE_ANCHOR"
68,"FX_MISC05"
69,"FX_MISC06"
70,"FX_MISC07"
71,"FX_MISC08"
72,"FX_MISC09"
73,"FX_MISC10"
74,"PROP_MISC03"
75,"PROP_MISC04"
76,"PROP_MISC05"
77,"PROP_MISC06"
78,"PROP_MISC07"
79,"PROP_MISC08"
80,"PROP_MISC09"
81,"PROP_MISC10"
84,"MUZZLE_LF"
85,"MUZZLE_RT"
86,"R_MISSILE_HI"
87,"R_MISSILE_LO"
88,"WAIST_BBY"
89,"BOARD"
90,"MOUNT_HANDLEBARS"
91,"BACKPACK_RT"
92,"BACKPACK_LF"
93,"ITEM"
96,"CAMERA"
97,"SPLINE01"
98,"BASE_FX"
99,"WAIST_BBXYZ"
100,"SPLINE02"
101,"SPLINE03"
102,"SPLINE04"
103,"SPLINE05"
104,"SPLINE06"
105,"SPLINE07"
106,"SPLINE08"
107,"SPLINE09"
108,"SPLINE10"
109,"SPLINE11"
110,"SPLINE12"
111,"SPLINE13"
112,"SPLINE14"
113,"SPLINE15"
114,"SPLINE16"
115,"SPLINE17"
116,"SPLINE18"
117,"SPLINE19"
118,"SPLINE20"
119,"FX_MISC11"
120,"FX_MISC12"
121,"FX_MISC13"
122,"FX_MISC14"
123,"FX_MISC15"
124,"FX_MISC16"
125,"FX_MISC17"
126,"FX_MISC18"
127,"FX_MISC19"
128,"FX_MISC20"
129,"PASSENGER02"
130,"PASSENGER03"
131,"PASSENGER04"
132,"PASSENGER05"
133,"PASSENGER06"
134,"PASSENGER07"
135,"PASSENGER08"
136,"PASSENGER09"
137,"PASSENGER10"
138,"ANKLE_BACK_L"
139,"ANKLE_BACK_R"
140,"SNAP11"
141,"SNAP12"
142,"SNAP13"
143,"SNAP14"
144,"SNAP15"
145,"SNAP16"
146,"SNAP17"
147,"SNAP18"
148,"SNAP19"
149,"SNAP20"
150,"SNAP21"
151,"SNAP22"
152,"SNAP23"
153,"SNAP24"
154,"SNAP25"
155,"SNAP26"
156,"SNAP27"
157,"SNAP28"
158,"SNAP29"
159,"SNAP30"
160,"ARM_CANNON_BASE"
161,"ARM_CANNON_MUZZLE"
162,"ALT_ROOT"
163,"LOOK_AIM"
164,"SHEATH_SHOCKPADDLE_LF"
165,"SHEATH_SHOCKPADDLE_RT"
166,"EYE_ORIGIN"
167,"EYE_INTEREST"
168,"ICON"
169,"CALLOUT"
170,"SNAP31"
171,"SNAP32"
172,"SNAP33"
173,"SNAP34"
174,"SNAP35"
175,"SNAP36"
176,"SNAP37"
177,"SNAP38"
178,"SNAP39"
179,"SNAP40"
180,"CENTER"
181,"HEADFLOAT"
182,"ARM_CANNON_01"
183,"ARM_CANNON_02"
184,"ARM_CANNON_03"
185,"STALKER_SPINE_01"
186,"STALKER_SPINE_02"
187,"MUZZLE_CTR"
188,"MOUNT_FRONT"
189,"MOUNT_BACK"
190,"MOUNT_LF"
191,"MOUNT_RT"
192,"GLIDER"
193,"SEAT"
194,"SEAT01"
195,"SEAT02"
196,"SEAT03"
197,"SEAT04"
198,"SEAT05"
199,"SEAT06"
200,"SEAT07"
201,"SEAT08"
202,"SEAT09"
203,"CLAW_LF"
204,"CLAW_RT"
205,"WEAPON_ORBIT"
206,"WAIST"
