"ID","XSIName"
1,"BIND_Spine01"
12,"BIND_Shoulder_Lf"
18,"BIND_Thumb01_Lf"
20,"BIND_Index01_Lf"
22,"BIND_Middle01_Lf"
24,"BIND_Ring01_Lf"
26,"BIND_Pinky01_Lf"
38,"BIND_Shoulder_Rt"
44,"BIND_Thumb01_Rt"
46,"BIND_Index01_Rt"
48,"BIND_Middle01_Rt"
50,"BIND_Ring01_Rt"
52,"BIND_Pinky01_Rt"
58,"ATT_HAND_LF"
59,"ATT_HAND_RT"
60,"EF_01"
61,"EF_02"
62,"BIND_Neck"
63,"EF_03"
64,"EF_04"
65,"EF_05"
66,"EF_06"
67,"EF_07"
68,"EF_08"
69,"EF_09"
70,"EF_10"
71,"BIND_Eye_Lf"
72,"BIND_Eye_Rt"
73,"BIND_Head"
74,"SET_Mouth"
75,"SET_EyelidL"
76,"SET_EyelidR"
77,"SET_BrowL"
78,"SET_BrowR"
79,"CUST_Mouth"
80,"CUST_Chin"
81,"CUST_EyeSocket_Lf"
82,"CUST_EyeSocket_Rt"
83,"CUST_EyeBrow_Lf"
84,"CUST_EyeBrow_Rt"
85,"CUST_EyeSquint_Lf"
86,"CUST_EyeSquint_Rt"
87,"CUST_Eye_Lf"
88,"CUST_Eye_Rt"
89,"CUST_Nose"
90,"BIND_Mouth_Side_Rt"
91,"BIND_Mouth_Side_Lf"
92,"BIND_Mouth_Top_Rt"
93,"BIND_Mouth_Top_Lf"
94,"BIND_Mouth_Bottom_Rt"
95,"BIND_Mouth_Bottom_Lf"
96,"BIND_Mouth_EyeBrow_Rt"
97,"BIND_Mouth_EyeBrow_Lf"
98,"BIND_Mouth_Eye_Rt"
99,"BIND_Mouth_Eye_Lf"
100,"BIND_Mouth"
104,"SET_Eyes"
124,"BIND_Hand_Lf"
125,"BIND_Hand_Rt"
126,"BIND_Foot_Lf"
127,"BIND_Foot_Rt"
128,"BIND_Root"
