"ID","BoneID","BoneSetID","Priority"
1,0,1,10
2,0,2,30
3,0,3,20
4,1,3,40
5,0,4,100
6,0,5,0
8,0,6,0
10,0,7,0
11,12,7,70
12,0,8,0
13,38,8,70
14,18,5,32
15,20,5,32
16,22,5,32
17,24,5,32
18,26,5,32
19,44,6,32
20,46,6,32
21,48,6,32
22,50,6,32
23,52,6,32
24,0,9,40
25,0,10,15
26,1,10,35
27,0,11,35
28,0,12,20
29,1,12,40
30,0,13,40
31,58,5,32
32,59,6,32
36,0,14,25
37,1,14,0
38,0,15,17
39,1,15,37
40,71,16,20
41,72,16,20
42,0,16,0
43,0,17,20
44,1,17,40
45,38,17,20
46,0,18,20
47,1,18,40
48,38,18,20
49,0,19,20
50,1,19,40
51,12,19,20
52,0,20,20
53,1,20,40
54,12,20,20
55,0,21,20
56,62,21,40
57,0,22,20
58,62,22,40
59,12,22,40
60,0,23,20
61,62,23,40
62,12,23,40
63,0,24,20
64,62,24,40
65,38,24,40
66,0,25,20
67,62,25,40
68,38,25,40
69,0,26,20
70,62,26,40
71,12,26,40
72,38,26,40
73,0,27,20
74,62,27,40
75,12,27,40
76,38,27,40
77,0,28,15
78,1,28,35
79,38,28,15
80,0,29,15
81,1,29,35
82,12,29,15
83,0,30,15
84,62,30,35
85,0,31,15
86,62,31,35
87,12,31,35
88,0,32,15
89,62,32,35
90,38,32,35
91,0,33,15
92,62,33,35
93,12,33,35
94,38,33,35
95,0,34,10
96,0,35,30
97,0,36,11
98,1,36,31
99,18,34,33
100,20,34,33
101,22,34,33
102,24,34,33
103,26,34,33
104,58,34,33
105,44,34,33
106,46,34,33
107,48,34,33
108,50,34,33
109,52,34,33
110,59,34,33
111,18,35,33
112,20,35,33
113,22,35,33
114,24,35,33
115,26,35,33
116,58,35,33
117,44,35,33
118,46,35,33
119,48,35,33
120,50,35,33
121,52,35,33
122,59,35,33
123,74,38,50
124,75,39,50
125,76,40,50
126,77,41,50
127,78,42,50
128,0,38,0
129,0,39,0
130,0,40,0
131,0,41,0
132,0,42,0
133,0,43,45
134,104,44,50
135,0,44,0
136,0,45,1000
137,12,3,40
138,38,3,40
139,62,3,40
140,12,18,40
141,62,18,40
142,38,20,40
143,62,20,40
144,12,17,40
145,62,17,40
146,38,19,40
147,62,19,40
148,12,12,40
149,38,12,40
150,62,12,40
151,12,10,35
152,38,10,35
153,62,10,35
154,12,28,35
155,62,28,35
156,38,29,35
157,62,29,35
158,0,46,50
159,73,46,0
160,124,46,0
161,125,46,0
162,126,46,0
163,127,46,0
