"ID","EnumName"
1,"Portrait"
2,"Target"
3,"Quest"
4,"Datachron"
5,"Paperdoll"
6,"Cinematic"
7,"Cinematic_01"
8,"Cinematic_02"
9,"Cinematic_03"
10,"Cinematic_04"
11,"Cinematic_05"
12,"Cinematic_06"
13,"Cinematic_07"
14,"Cinematic_08"
15,"Cinematic_09"
16,"Cinematic_10"
17,"Cinematic_11"
18,"Cinematic_12"
19,"Cinematic_13"
20,"Cinematic_14"
21,"Cinematic_15"
22,"Cinematic_16"
23,"Cinematic_17"
24,"Cinematic_18"
25,"Cinematic_19"
26,"Cinematic_20"
27,"FaceEditor"
28,"Cinematic_21"
29,"Cinematic_22"
30,"Cinematic_23"
31,"Cinematic_24"
32,"Cinematic_25"
33,"Cinematic_26"
34,"Cinematic_27"
35,"Cinematic_28"
36,"Cinematic_29"
37,"Cinematic_30"
38,"Cinematic_31"
39,"Cinematic_32"
40,"Cinematic_33"
41,"Cinematic_34"
42,"Cinematic_35"
43,"Cinematic_36"
44,"Cinematic_37"
45,"Cinematic_38"
46,"Cinematic_39"
47,"Cinematic_40"
48,"HoverboardTarget"
49,"Armor_Head"
50,"Armor_Shoulders"
51,"Armor_Boots"
52,"Armor_Chest"
53,"Armor_Gloves"
54,"Armor_Pants"
55,"Weapon_Sword2H"
56,"Weapon_Pistols1H"
57,"Weapon_Claws"
58,"Weapon_Psyblade"
59,"Weapon_Launcher"
60,"Weapon_Resonator"
