"ID","EnumName"
1,"Ankle_L"
2,"Ankle_R"
3,"Bicep_L"
4,"Bicep_R"
5,"Calf_Lower_L"
6,"Calf_Lower_R"
7,"Calf_Upper_L"
8,"Calf_Upper_R"
9,"Chest_Lower"
10,"Chest_Upper"
11,"Ear_L"
12,"Ear_R"
13,"Elbow_L"
14,"Elbow_R"
15,"Face"
16,"Fingers_L"
17,"Fingers_R"
18,"Foot_L"
19,"Foot_R"
20,"Forearm_L"
21,"Forearm_R"
22,"Hand_L"
23,"Hand_R"
24,"Knee_L"
25,"Knee_R"
26,"Neck"
27,"Pelvis"
28,"Scalp"
29,"Shoulder_L"
30,"Shoulder_R"
31,"Thigh_Lower_L"
32,"Thigh_Lower_R"
33,"Thigh_Upper_L"
34,"Thigh_Upper_R"
35,"Toes_L"
36,"Toes_R"
37,"Waist"
38,"Wrist_L"
39,"Wrist_R"
79,"Chest_Mid"
80,"ScalpEdge"
81,"Hair"
82,"Thigh_L"
83,"Thigh_R"
84,"Head"
85,"Chest_Front"
86,"Material_Eye_L"
87,"Material_Eye_R"
88,"Tail"
89,"Buckle_Hi"
90,"Buckle_Lo"
91,"Chest_Breast"
92,"Neck_Lower"
95,"Pants"
96,"Horns"
97,"MISC_01"
98,"Mount_Pedal"
99,"Mount_Handle"
100,"MISC_02"
101,"MISC_03"
102,"MISC_04"
