"ID","EnumName"
1,"Step"
2,"Hit"
3,"Dodge"
4,"Sound"
5,"Miss"
6,"Prehit"
7,"Sound_0"
8,"Sound_1"
9,"Sound_2"
10,"Sound_3"
11,"Sound_4"
12,"Sound_5"
13,"Sound_6"
14,"Sound_7"
15,"Sound_8"
16,"Sound_9"
17,"Sound_Lobody_0"
18,"Sound_Lobody_1"
19,"Sound_Lobody_2"
20,"Sound_Lobody_3"
21,"Sound_Lobody_4"
22,"Sound_Lobody_5"
23,"Sound_Lobody_6"
24,"Sound_Lobody_7"
25,"Sound_Lobody_8"
26,"Sound_Lobody_9"
27,"Jumpstart"
28,"land"
29,"Stepleft"
30,"Stepright"
31,"Special_Effect_Upper"
32,"Charge_Upper"
33,"Shoot_Gun_Upper"
34,"Reload_Gun_Upper"
35,"Wound"
36,"CastLeft"
37,"CastRight"
38,"Stepleft_2"
39,"Stepleft_3"
40,"Stepleft_4"
41,"Stepright_2"
42,"Stepright_3"
43,"Stepright_4"
54,"Cast"
55,"Sheath_Lf"
56,"Sheath_Rt"
57,"Sheath_Shield"
58,"SwimLeft"
59,"SwimLeft_Idle"
60,"SwimRight"
61,"SwimRight_Idle"
62,"Swim_Drown"
63,"FX_Death"
64,"Mount_Bump_Small"
65,"Mount_Bump_Medium"
66,"Mount_Bump_Large"
67,"LandRun"
68,"RunStart"
69,"ShuffleLeft"
70,"ShuffleRight"
71,"Stop"
72,"Hit_2"
73,"Hit_3"
74,"Hit_4"
75,"Hit_5"
76,"Hit_6"
77,"Hit_7"
78,"Hit_8"
79,"Hit_9"
80,"Hit_10"
81,"Miss_2"
82,"Miss_3"
83,"Miss_4"
84,"Miss_5"
85,"Miss_6"
86,"Miss_7"
87,"Miss_8"
88,"Miss_9"
89,"Miss_10"
90,"Early_Out"
91,"Loot"
