"ID","unitVisualTypeId","itemVisualTypeId","materialTypeId","modelEventId","visualEffectId","modelSequenceId","flags"
56,1,0,4,29,1,0,0
57,1,0,5,29,1,0,0
61,2,0,4,29,1,0,0
62,2,0,5,29,1,0,0
66,3,0,4,29,1,0,0
67,3,0,5,29,1,0,0
71,4,0,4,29,1,0,0
72,4,0,5,29,1,0,0
76,5,0,4,29,1,0,0
77,5,0,5,29,1,0,0
81,6,0,4,29,1,0,0
82,6,0,5,29,1,0,0
86,7,0,4,29,1,0,0
87,7,0,5,29,1,0,0
91,8,0,4,29,1,0,0
92,8,0,5,29,1,0,0
96,9,0,4,29,1,0,0
97,9,0,5,29,1,0,0
101,10,0,4,29,1,0,0
102,10,0,5,29,1,0,0
106,11,0,4,29,1,0,0
107,11,0,5,29,1,0,0
111,12,0,4,29,1,0,0
112,12,0,5,29,1,0,0
116,13,0,4,29,1,0,0
117,13,0,5,29,1,0,0
118,15,0,5,29,1,0,0
119,15,0,4,29,1,0,0
126,1,0,4,30,1,0,0
127,1,0,5,30,1,0,0
131,2,0,4,30,1,0,0
132,2,0,5,30,1,0,0
136,3,0,4,30,1,0,0
137,3,0,5,30,1,0,0
141,4,0,4,30,1,0,0
142,4,0,5,30,1,0,0
146,5,0,4,30,1,0,0
147,5,0,5,30,1,0,0
151,6,0,4,30,1,0,0
152,6,0,5,30,1,0,0
156,7,0,4,30,1,0,0
157,7,0,5,30,1,0,0
161,8,0,4,30,1,0,0
162,8,0,5,30,1,0,0
166,9,0,4,30,1,0,0
167,9,0,5,30,1,0,0
171,10,0,4,30,1,0,0
172,10,0,5,30,1,0,0
176,11,0,4,30,1,0,0
177,11,0,5,30,1,0,0
181,12,0,4,30,1,0,0
182,12,0,5,30,1,0,0
186,13,0,4,30,1,0,0
187,13,0,5,30,1,0,0
188,14,0,5,29,1,0,0
189,14,0,4,29,1,0,0
193,1,0,6,29,2,0,0
195,2,0,6,29,2,0,0
197,3,0,6,29,2,0,0
199,4,0,6,29,2,0,0
201,5,0,6,29,2,0,0
203,6,0,6,29,2,0,0
205,7,0,6,29,2,0,0
207,8,0,6,29,2,0,0
209,9,0,6,29,2,0,0
211,10,0,6,29,2,0,0
213,11,0,6,29,2,0,0
215,12,0,6,29,2,0,0
217,13,0,6,29,2,0,0
219,14,0,6,29,2,0,0
221,1,0,6,30,2,0,0
223,2,0,6,30,2,0,0
225,3,0,6,30,2,0,0
227,4,0,6,30,2,0,0
229,5,0,6,30,2,0,0
231,6,0,6,30,2,0,0
233,7,0,6,30,2,0,0
235,8,0,6,30,2,0,0
237,9,0,6,30,2,0,0
239,10,0,6,30,2,0,0
241,11,0,6,30,2,0,0
243,12,0,6,30,2,0,0
245,13,0,6,30,2,0,0
247,14,0,6,30,2,0,0
249,1,0,7,29,3,0,0
251,1,0,12,29,3,0,0
252,2,0,7,29,3,0,0
254,2,0,12,29,3,0,0
255,3,0,7,29,3,0,0
257,3,0,12,29,3,0,0
258,4,0,7,29,3,0,0
260,4,0,12,29,3,0,0
261,5,0,7,29,3,0,0
263,5,0,12,29,3,0,0
264,6,0,7,29,3,0,0
266,6,0,12,29,3,0,0
267,7,0,7,29,3,0,0
269,7,0,12,29,3,0,0
270,8,0,7,29,3,0,0
272,8,0,12,29,3,0,0
273,9,0,7,29,3,0,0
275,9,0,12,29,3,0,0
