"ID","sequenceId","description","modelPoseIdBase","modelPoseTypeEnum"
1,210,"Default",0,0
2,600,"Default_LookLeft",1,2
3,601,"Default_LookRight",1,2
4,602,"Default_LookUp",1,2
5,605,"Default_LookDown",1,2
6,603,"Default_LeanLeft",1,3
7,604,"Default_LeanRight",1,3
14,653,"Default_LeanForward",1,3
15,654,"Default_LeanBackward",1,3
16,702,"2HGun",0,0
17,703,"2HGun_AimUp",16,1
18,704,"2HGun_AimDown",16,1
19,705,"2HGun_AimRight",16,1
20,706,"2HGun_AimLeft",16,1
21,721,"2HGun_AimUpLeft",16,1
22,722,"2HGun_AimUpRight",16,1
23,723,"2HGun_AimDownLeft",16,1
24,724,"2HGun_AimDownRight",16,1
66,1059,"Pistols",0,0
67,1062,"Pistols_AimUp",66,1
68,1063,"Pistols_AimDown",66,1
69,1060,"Pistols_AimLeft",66,1
70,1061,"Pistols_AimRight",66,1
71,1066,"Pistols_AimUpLeft",66,1
72,1067,"Pistols_AimUpRight",66,1
73,1064,"Pistols_AimDownLeft",66,1
74,1065,"Pistols_AimDownRight",66,1
85,1258,"Face_EyelidL_Neutral_Default_N",0,4
86,1259,"Face_EyelidL_Neutral_Neutral_D",85,4
87,1260,"Face_EyelidL_Neutral_Neutral_U",85,4
88,1261,"Face_EyelidR_Neutral_Default_N",0,5
89,1284,"Face_EyelidR_Neutral_Neutral_D",88,5
90,1333,"Default_HandsPowerGlove",1,0
91,1389,"Esper",0,0
92,1386,"Esper_AimUp",91,1
93,1381,"Esper_AimDown",91,1
94,1384,"Esper_AimLeft",91,1
95,1385,"Esper_AimRight",91,1
96,1387,"Esper_AimUpLeft",91,1
97,1388,"Esper_AimUpRight",91,1
98,1382,"Esper_AimDownLeft",91,1
99,1383,"Esper_AimDownRight",91,1
100,1248,"Default_SwimForward",0,0
101,1250,"Default_SwimForwardLeft",100,3
102,1251,"Default_SwimForwardRight",100,3
103,1417,"Default_Start",1,3
104,1418,"Default_Stop",1,3
105,1569,"Claws_Sheath",1,0
106,1570,"Claws_Unsheath",1,0
107,1572,"Default_Mount",0,0
108,1588,"Default_Mount_LeanForward",107,3
109,1584,"Default_Mount_Bump_Small",107,0
110,1585,"Default_Mount_Bump_Medium",107,0
111,1586,"Default_Mount_Bump_Large",107,0
112,1612,"Default_Mount_LookLeft",107,2
113,1613,"Default_Mount_LookRight",107,2
114,1854,"Face_EyelidR_Neutral_Neutral_U",88,5
115,1855,"Face_BrowL_Angry_Neutral_N",116,6
