"ID","description","FallBackID","flag"
42,"Default_Sigh",0,1
45,"PLACEHOLDER1",0,0
46,"PLACEHOLDER2",0,0
47,"PLACEHOLDER3",0,0
48,"PLACEHOLDER4",0,0
49,"PLACEHOLDER5",0,0
50,"PLACEHOLDER6",0,0
51,"PLACEHOLDER7",0,0
68,"PLACEHOLDER8",0,0
69,"PLACEHOLDER9",0,0
70,"PLACEHOLDER10",0,0
80,"Special_Impale",94,0
86,"2H_Ready",151,0
94,"2H_Stand",150,0
97,"2H_Run",152,0
98,"2H_WalkBackwards",154,0
99,"2H_Run_Combat",97,0
101,"2H_JumpStart",166,0
105,"2H_JumpLoop",167,0
107,"2H_Attack",155,0
108,"2H_Block_Start",109,0
109,"2H_Block_Loop",94,0
110,"2H_Block_End",109,0
111,"2H_Block_Action",94,0
112,"Special_Enrage",94,0
117,"2H_Wound",1485,16
119,"2H_Walk",153,0
125,"1H_WalkBackwards",154,0
126,"1H_JumpLand",159,0
127,"1H_JumpLand_Combat",160,0
128,"1H_Dodge",156,0
129,"2H_Dodge",156,0
144,"Special_Execute",94,0
148,"Special_JuggernautRage",112,0
149,"Special_BerserkerFury",94,0
150,"Default_Stand",0,3
151,"Default_Ready",0,0
152,"Default_Run",0,1
153,"Default_Walk",152,1
154,"Default_WalkBackwards",0,1
155,"Default_Attack",0,1
156,"Default_Dodge",0,0
157,"Default_Wound",1475,17
159,"Default_JumpLand",0,1
160,"Default_JumpLand_Combat",159,0
161,"Default_Swim_Run",152,1
162,"Default_Swim_WalkBackwards",154,1
163,"Default_Swim_Stand",150,1
164,"Default_HandsClosed",0,1
165,"Default_Death",1547,8
166,"Default_JumpStart",0,0
167,"Default_JumpLoop",0,0
181,"Special_Powerstrike_Start",94,0
184,"Special_Bladestorm_Action",94,0
185,"Special_Bladestorm_Action_Running",94,0
188,"Special_Bladestorm_Charge_Loop",94,0
189,"Special_Bladestorm_Charge_Start",94,0
190,"Special_PowerStrike_Charge_Start",94,0
191,"Special_PowerStrike_Charge_Loop",94,0
192,"Special_PowerStrike_Action_Start",94,0
193,"Special_PowerStrike_Action_End",94,0
196,"2H_Parry",289,0
210,"Default_BasePose",0,1
213,"2H_JumpLand",159,0
214,"2H_JumpLand_Combat",160,0
226,"Special_BerserkerFury_Start",94,0
227,"Special_BerserkerFury_Action",94,0
228,"Special_Execute_Start",94,0
229,"Special_Execute_Action",94,0
230,"Special_Impale_Start",94,0
231,"Special_Impale_Action",94,0
252,"PLACEHOLDER11",0,0
253,"PLACEHOLDER12",0,0
254,"PLACEHOLDER13",0,0
255,"PLACEHOLDER14",0,0
256,"PLACEHOLDER15",0,0
257,"PLACEHOLDER16",0,0
258,"PLACEHOLDER17",0,0
259,"PLACEHOLDER18",0,0
260,"PLACEHOLDER19",0,0
263,"Special_JumpAttack_Action_Start",94,0
264,"Special_JumpAttack_Action_End",94,0
266,"Default_JumpLand_Run",152,0
267,"2H_JumpLand_Run",266,0
268,"1H_JumpStart",166,0
269,"1H_JumpLoop",167,0
275,"1H_JumpLand_Run",266,0
278,"Default_Talk",0,9
279,"1H_Talk",278,0
280,"2H_Sprint",97,0
281,"1H_Sprint",282,0
282,"Default_Sprint",152,1
289,"Default_Parry",0,0
325,"2H_Pierce",107,0
326,"Pistols_Ready",151,0
372,"Pistols_Walk",153,0
373,"Pistols_Walkbackwards",154,0
417,"Pistols_Reload",452,0
421,"Pistols_Reveal",452,0
424,"Special_Bladestorm_Action_Start",94,0
425,"Special_Bladestorm_Action_Loop",94,0
426,"Special_Bladestorm_Action_End",94,0
429,"Default_Stunned",151,0
430,"Default_Walk_Slowed",153,1
436,"Pistols_Wound",1493,16
442,"Default_LevelUp",0,1
443,"2H_LevelUp",442,0
444,"1H_LevelUp",442,0
448,"Pistols_Reload_Hip",417,0
452,"Pistols_Stand",150,0
454,"Pistols_Dodge",156,0
461,"Pistols_Parry",289,0
462,"Default_Special01_Charge_Start",0,1
463,"Default_Special01_Charge_Loop",0,1
465,"Default_Special01_Action",0,1
466,"Default_Special01_Action_End",0,1
467,"Default_Special02_Action_End",0,1
468,"Default_Special02_Action",0,1
469,"Default_Special02_Charge_Start",0,1
470,"Default_Special02_Charge_Loop",0,1
471,"Default_Loot_Start",475,9
472,"Default_Loot_Loop",475,9
473,"Default_Loot_End",475,9
475,"Default_Use",0,9
491,"Pistols_Fire",155,0
492,"Pistols_Special01_Action",452,0
523,"2H_Special01_Action",94,0
524,"2H_Special01_Action_End",94,0
