"ID","modelSequenceId","modelSequenceIdSwim","modelSequenceIdHover","modelSequenceIdFly"
41,1665,1749,1709,1884
44,155,1142,615,589
45,1518,1831,1714,1889
46,1661,1835,4019,3944
47,1515,1829,1713,1888
48,1658,1833,4020,3945
49,1516,1830,1712,1887
50,1659,1834,4021,3946
51,1517,1832,1715,1890
52,1660,1836,4022,3947
53,1234,1340,4023,3948
54,1334,4091,4024,3949
55,1893,4092,4025,3950
56,676,1865,1965,1966
57,1892,4093,4026,3951
58,865,2002,1902,2011
59,870,2003,2007,2012
60,875,2004,2008,2013
61,880,2005,2009,2014
62,885,2006,2010,2015
63,866,4094,4027,3952
64,871,4095,4028,3953
65,876,4096,4029,3954
66,881,4097,4030,3955
67,886,4098,4031,3956
68,1574,1866,4037,3962
69,816,1822,1716,1882
70,817,4104,4038,3963
71,867,4110,1901,3969
72,872,4111,4043,3970
73,877,4112,4044,3971
74,882,4113,4045,3972
75,887,4114,4046,3973
76,864,1987,1992,1997
77,869,1988,1993,1998
78,874,1989,1994,1999
79,879,1990,1995,2000
80,884,1991,1996,2001
81,863,1972,1977,1982
82,868,1973,1978,1983
83,873,1974,1979,1984
84,878,1975,1980,1985
85,883,1976,1981,1986
86,165,692,621,1876
87,156,1149,618,590
88,159,1954,1955,1956
89,160,4118,4047,3974
90,266,4119,4048,3975
91,167,4120,4049,3976
92,166,4121,4050,3977
93,473,4122,4051,3978
94,472,4123,4052,3979
95,471,4124,4053,3980
96,1692,1873,1827,3982
97,1693,4126,4055,3983
98,1694,4127,4056,3984
99,1695,4128,4057,3985
100,1696,4129,4058,3986
101,1648,1870,4059,3987
102,1649,4130,4060,3988
103,1650,4131,4061,3989
104,1651,4132,4062,3990
105,1652,4133,4063,3991
106,1653,1871,4064,3992
107,1654,4134,4065,3993
108,1655,4135,4066,3994
109,1656,4136,4067,3995
110,1657,4137,4068,3996
111,1643,1869,4069,3997
112,1644,4138,4070,3998
113,1645,4139,4071,3999
114,1646,4140,4072,4000
115,1647,4141,4073,4001
116,1638,1868,4074,4002
117,1639,4142,4075,4003
