"ID","modelSequenceId","modelSequenceIdNarrow","modelSequenceIdMedium","modelSequenceIdWide","modelSequenceIdBike","modelSequenceIdHoverBoard","modelSequenceIdGlider","modelSequenceIdTank"
1,150,0,0,0,0,5401,0,0
2,152,0,0,0,0,7553,0,0
3,154,0,0,0,0,7556,0,0
4,157,7586,7586,7586,7564,7557,0,7840
5,159,0,0,0,0,7547,0,0
6,160,0,0,0,0,7547,0,0
7,165,0,0,0,0,7558,0,0
8,166,0,0,0,0,7550,0,0
9,167,0,0,0,0,7549,0,0
10,266,0,0,0,0,7548,0,0
11,282,0,0,0,0,7555,0,0
12,556,0,0,0,0,5419,0,0
13,1589,0,0,0,0,7554,0,0
14,5472,0,0,0,0,7546,0,0
15,5614,0,0,0,0,7560,0,0
16,1472,7586,7586,7586,7564,7557,0,7840
17,1473,7586,7586,7586,7564,7557,0,7840
18,1474,7586,7586,7586,7564,7557,0,7840
19,1475,7586,7586,7586,7564,7557,0,7840
20,1283,7586,7586,7586,7564,7557,0,7840
21,153,0,0,0,0,7553,0,0
22,151,0,0,0,0,5401,0,0
23,7670,0,0,0,0,7555,0,0
24,7669,0,0,0,0,7553,0,0
25,7671,0,0,0,0,7553,0,0
26,7672,0,0,0,0,7556,0,0
27,7673,0,0,0,0,7548,0,0
28,156,1572,1572,1572,1894,5400,7708,7837
29,7852,0,0,0,0,7857,0,0
30,7851,0,0,0,0,7554,0,0
