"ID","modelSequenceIdFrom","modelSequenceIdTo","modelSequenceIdTransition"
1,1118,1120,1109
2,1118,1122,1110
3,1120,1118,1112
4,1120,1122,1113
5,1122,1118,1115
6,1122,1120,1116
7,1467,150,1468
8,150,1467,1469
9,1467,625,1470
10,625,1467,1471
11,150,625,626
12,625,150,627
13,1071,1213,1111
14,1118,6670,6667
15,1120,6670,6668
16,1122,6670,6669
17,6670,1118,6672
18,6670,1120,6673
19,6670,1122,6674
20,1118,1213,1111
21,1120,1213,1114
22,1122,1213,1117
23,6670,1213,6675
24,0,1213,165
25,6663,150,5567
