"ID","localizedTextIdName","localizedTextIdSummary","worldId","worldZoneId","pathTypeEnum"
8,108790,108791,426,35,0
9,108823,108824,426,35,3
12,110790,110791,22,483,3
13,110955,110956,22,483,0
14,111023,111024,22,483,1
15,111145,572603,870,622,0
16,111250,111251,22,483,2
17,111373,572604,870,622,3
18,112072,572605,870,622,2
19,112821,270857,870,622,1
20,113470,113471,625,642,1
28,114138,114139,426,35,2
30,114178,694448,783,481,1
31,114453,694447,625,642,3
34,115246,694449,783,481,3
35,117762,572606,22,36,2
36,118868,118869,51,13,1
38,119859,572607,22,36,3
39,120071,124016,51,13,3
40,124015,124017,51,13,0
41,120106,120105,51,13,2
42,120211,572608,22,36,0
43,120217,694450,625,642,2
46,123097,694451,625,642,0
49,129920,131351,51,29,3
50,129995,129996,51,29,2
51,130620,130621,51,29,0
57,133702,133703,51,29,1
64,149338,149343,1068,871,0
70,694453,694454,921,140,1
71,156022,156023,825,580,0
82,164834,164835,426,35,1
120,180149,180150,51,137,3
121,180153,180154,51,137,2
123,181020,181021,51,137,1
124,181268,181269,51,137,0
125,184205,184206,625,262,2
131,191999,192000,1228,228,0
134,192007,192008,1228,228,2
192,212963,212964,22,36,1
195,213789,694455,625,1282,0
226,234865,234866,1387,1304,0
227,223561,234862,1387,1304,2
228,223562,234873,1387,1304,1
229,223696,234875,1387,1304,3
230,228759,694456,625,1333,0
233,244625,244626,990,1414,0
234,244861,244862,990,1414,2
235,246476,246477,990,1414,1
236,246885,246886,990,1414,3
237,247360,572609,1421,936,0
238,247361,572610,1421,936,2
239,247363,572611,1421,936,3
240,432484,247367,1068,871,1
241,247368,432378,1421,936,1
243,247717,360818,1068,871,2
244,248097,572612,22,1402,0
245,248697,372702,1068,871,3
246,248801,572613,22,1402,2
247,700018,572614,22,1402,3
248,249508,249509,1163,1033,2
249,252092,432477,22,1402,1
250,259566,259567,22,37,3
251,259569,572615,22,37,2
252,259570,428398,22,37,1
253,259571,572616,22,37,0
254,432352,263075,51,248,1
255,267195,572617,51,248,2
256,267196,572618,51,248,0
257,267197,572620,51,248,3
263,286337,694457,1454,1479,0
264,286566,694458,1454,1479,1
277,694459,694460,1446,1462,2
278,694461,694462,1446,1462,0
282,353707,353708,1061,2067,1
283,353714,353715,1061,2067,3
284,353716,353717,1061,2067,2
285,353719,353720,1061,2067,0
287,372668,372669,1068,2047,0
288,372697,372695,1068,2047,1
289,372696,372698,1068,2047,2
290,372700,372701,1068,2047,3
291,373118,694464,1447,2190,0
292,373675,373676,22,2191,2
293,700110,373886,22,2191,1
294,377415,377416,22,2191,0
295,378215,378216,22,2191,3
302,385037,385042,1061,2121,2
304,385043,385044,1061,2121,0
305,385300,385304,1061,2121,3
306,385306,385309,1061,2121,1
448,700109,435439,51,122,1
449,466312,466313,1228,228,3
450,469742,469755,1061,2227,1
451,700108,486498,51,122,0
452,700107,487435,51,122,3
453,491729,491730,1061,2227,3
454,491731,491732,1061,2227,2
455,491734,491733,1061,2227,0
456,700106,572622,51,122,2
457,520560,694463,1256,1128,2
458,521136,572623,1061,377,0
459,521139,572624,1061,377,1
460,521140,572625,1061,377,2
461,521141,572626,1061,377,3
462,533959,533960,1061,2228,2
463,541528,541529,1061,2228,0
464,534039,534040,1061,2228,3
465,534115,534117,1061,2228,1
472,615639,626773,3044,4382,1
474,634142,634143,3232,4653,3
476,0,0,3335,4762,0
477,0,0,3335,4762,2
478,0,0,3335,4762,1
479,0,0,3335,4762,3
