"ID","worldZoneIdInsideMicro","targetGroupIdActivate","targetGroupIdKill"
1,1066,0,0
2,1066,0,0
3,1083,0,0
4,1362,0,0
12,1123,0,0
13,1113,0,7776
14,1140,0,5101
15,1187,5110,0
20,1188,0,0
21,1321,0,0
25,1254,0,0
26,1266,0,0
28,1269,0,0
34,1334,0,0
35,1374,0,0
36,1318,0,0
37,1347,0,0
44,1066,0,0
46,1525,7001,0
49,1507,6382,0
51,1507,6382,0
52,2807,0,0
53,1612,0,0
54,312,0,0
56,1754,6326,0
57,1744,6429,0
60,1897,5496,0
66,1934,0,0
72,4241,0,0
73,2139,0,0
74,2132,5001,0
76,2048,0,0
77,2146,0,0
78,2132,5001,0
79,4242,0,0
107,2519,0,0
108,0,0,0
109,4165,0,0
