"ID","pathExplorerDoorTypeEnumSurface","pathExplorerDoorTypeEnumMicro","creature2IdSurface","creature2IdMicro","pathExplorerDoorId","worldLocation2IdSurfaceRevealed"
1,2,0,18889,0,1,13706
2,1,2,18891,18893,2,13709
3,1,1,18892,18894,2,13712
4,1,1,19149,19151,3,13925
5,1,1,19150,19152,3,13926
13,3,0,39889,4294967295,14,15605
14,1,1,21134,21147,12,15620
17,1,1,21165,22186,15,32138
18,1,1,21912,21201,15,32139
22,1,1,23183,58899,20,32391
23,1,1,23182,58875,20,0
24,2,1,23263,23718,21,17470
38,2,1,23715,23264,21,17471
39,2,1,23716,0,21,17472
40,2,1,23717,23720,21,17473
42,1,1,24827,24834,25,18870
43,1,1,24923,24926,26,18683
44,1,1,24927,24928,26,18684
45,1,1,24980,25037,28,33197
47,1,1,25042,25038,28,33196
52,1,1,57037,21149,13,15612
53,1,1,57048,21150,13,15613
54,1,1,26475,26476,34,25803
55,1,1,26599,38678,35,30768
56,3,3,0,0,36,20033
57,1,1,52937,52936,35,38993
58,1,1,26655,26672,37,31587
66,3,0,28395,0,44,0
67,1,1,0,0,4,14532
69,1,1,51430,0,46,22612
72,1,1,29643,4294967295,49,22892
74,1,1,29643,4294967295,51,22912
75,0,0,4294967295,4294967295,52,22963
76,2,1,0,0,53,24187
77,1,1,31744,31745,54,24481
78,2,2,0,0,56,37668
79,1,1,33529,33546,57,29603
82,1,1,35319,35318,60,33697
88,2,2,37637,43369,66,35269
95,3,3,0,0,72,31104
96,1,1,39484,39486,73,31627
97,1,1,39527,39529,74,31707
99,3,3,39600,39602,76,31743
100,2,2,0,0,77,39967
101,1,1,39896,43995,78,32058
102,3,3,0,0,79,32547
132,1,1,47856,45987,107,38269
133,1,1,33208,45998,107,0
134,0,0,0,0,108,0
135,3,1,0,51343,57,0
137,3,3,0,4294967295,109,0
138,3,3,0,4294967295,109,43749
139,3,3,0,4294967295,109,0
