"ID","pathExplorerAreaId","worldLocation2Id","spline2Id","localizedTextIdSettlerButton","questDirectionId","visualEffectId"
1,1,9000,5466,0,0,0
2,1,9001,5467,0,0,0
3,1,9002,5465,0,0,0
4,2,9050,0,0,0,0
5,2,9051,0,0,0,0
6,3,9063,0,0,0,0
7,3,9064,0,0,0,0
12,6,9207,0,0,0,0
13,7,9202,0,0,0,0
17,11,7315,0,0,0,0
18,9,9195,0,0,0,0
36,26,8910,0,0,0,0
48,32,9454,0,0,0,0
54,32,9463,0,0,0,0
60,36,8911,0,0,0,0
61,37,8912,0,0,0,0
62,38,9286,0,0,0,0
63,32,9475,0,0,0,0
64,32,9476,0,0,0,0
65,32,10114,0,0,0,0
66,32,10137,0,0,0,0
67,32,10203,0,0,0,0
68,32,46306,0,0,0,0
71,32,10160,0,0,0,0
72,32,16065,0,0,0,0
73,32,10180,0,0,0,0
74,103,9466,0,0,0,0
75,32,10190,0,0,0,0
76,104,10116,0,0,0,0
77,105,10138,0,0,0,0
78,32,10197,0,0,0,0
81,115,10204,0,0,0,0
82,32,10214,0,0,0,0
83,115,10215,0,0,0,0
103,115,10751,0,0,0,0
104,115,10752,0,0,0,0
105,115,10754,0,0,0,0
106,57,10766,0,0,0,0
108,115,10777,0,0,0,0
150,86,16067,0,0,0,0
153,106,16068,0,0,0,0
163,95,15576,0,0,0,0
164,96,15618,0,0,0,0
165,97,15625,0,0,0,0
166,98,15669,0,0,0,0
168,98,15696,0,0,0,0
169,98,15699,0,0,0,0
173,100,15807,0,0,0,0
174,101,15808,0,0,0,0
175,32,9442,0,0,0,0
176,32,9460,0,0,0,0
177,102,9452,0,0,0,0
181,109,16253,0,0,0,0
182,110,16254,0,0,0,0
183,111,16257,0,0,0,0
184,111,16258,0,0,0,0
185,111,16259,0,0,0,0
186,111,16260,0,0,0,0
187,111,16261,0,0,0,0
188,111,16264,0,0,0,0
193,7,16530,0,0,0,0
196,7,16533,0,0,0,0
200,98,16655,0,0,0,0
201,98,16654,0,0,0,0
202,116,16657,0,0,0,0
203,117,16775,0,0,0,0
222,138,17982,0,0,0,0
225,142,18251,0,0,0,0
226,28,9450,0,0,0,0
233,148,18262,0,0,0,0
234,148,18265,0,0,0,0
235,148,18267,0,0,0,0
236,98,18261,0,0,0,0
237,98,18264,0,0,0,0
238,98,18266,0,0,0,0
266,149,18269,0,0,0,0
267,150,18270,0,0,0,0
268,28,9409,0,0,0,0
269,28,9405,0,0,0,0
273,145,18296,0,0,0,0
275,153,9448,0,0,0,0
295,165,19704,0,0,0,0
296,166,19810,0,0,0,0
297,167,19832,0,0,0,0
298,28,10158,0,0,0,0
299,28,20047,0,0,0,0
300,28,20046,0,0,0,0
301,28,20048,0,0,0,0
302,168,20055,0,0,0,0
303,169,20145,0,0,0,0
320,179,21073,0,0,0,0
328,28,21216,0,0,0,0
329,28,21215,0,0,0,0
330,28,21209,0,0,0,0
331,28,21205,0,0,0,0
332,183,21278,0,0,0,0
339,188,21947,0,0,0,0
340,189,21957,0,0,0,0
341,190,21955,0,0,0,0
343,192,22056,0,0,0,0
344,193,22306,0,0,2015,0
345,193,22307,0,0,2015,0
346,193,22308,0,0,2015,0
347,193,22309,0,0,2015,0
348,193,22315,0,0,2015,0
351,197,45728,0,0,2016,0
352,197,45729,0,0,2016,0
353,197,45730,0,0,2016,0
354,197,45731,0,0,2016,0
355,197,45732,0,0,2016,0
356,198,22625,0,0,0,0
358,7,22704,0,0,0,0
367,7,22707,0,0,0,0
371,201,22744,0,0,0,0
372,202,22745,0,0,0,0
373,203,22757,0,0,0,0
377,196,23061,0,0,0,0
378,206,23066,0,0,0,0
382,28,23414,0,0,0,0
383,28,23415,0,0,0,0
384,28,23416,0,0,0,0
385,28,23417,0,0,0,0
386,209,24038,0,0,0,0
388,211,24395,0,0,0,0
389,208,24414,0,0,0,0
395,213,25394,0,0,0,0
400,217,25718,0,367089,0,0
401,217,25719,0,0,0,0
402,217,25720,0,0,0,0
403,218,25738,0,0,0,0
405,28,26305,0,0,0,0
406,222,26846,0,0,0,0
407,222,26847,0,0,0,0
408,222,26848,0,0,0,0
409,222,26851,0,0,0,0
410,222,26853,0,0,0,0
411,222,26898,0,0,0,0
412,222,26901,0,0,0,0
413,222,26902,0,0,0,0
414,222,26906,0,0,0,0
415,222,26910,0,0,0,0
416,222,26941,0,0,0,0
417,222,26942,0,0,0,0
418,222,26943,0,0,0,0
419,222,26944,0,0,0,0
420,222,26945,0,0,0,0
428,227,27619,0,0,0,0
429,227,27620,0,0,0,0
430,227,27621,0,0,0,0
431,227,27623,0,0,0,0
432,227,27624,0,0,0,0
433,227,27625,0,0,0,0
434,227,27626,0,0,0,0
435,227,27627,0,0,0,0
436,227,27628,0,0,0,0
437,227,27629,0,0,0,0
449,230,27768,0,0,0,0
450,231,27775,0,0,0,0
476,240,29000,0,0,0,0
478,242,29031,0,0,0,0
479,243,29037,0,0,0,0
483,228,27619,0,0,0,0
484,228,27620,0,0,0,0
485,228,27621,0,0,0,0
486,228,27623,0,0,0,0
487,228,27624,0,0,0,0
488,228,27625,0,0,0,0
489,228,27626,0,0,0,0
490,228,27627,0,0,0,0
491,228,27628,0,0,0,0
492,228,27629,0,0,0,0
496,247,29437,0,374479,836,0
513,249,29479,0,374521,837,0
514,249,29483,0,374522,0,0
515,249,29484,0,374523,838,0
516,250,29516,0,374526,0,0
517,250,29517,0,374527,0,0
518,250,29518,0,374529,867,0
519,250,29520,0,374530,0,0
520,250,29521,0,374531,0,0
521,250,29522,0,374532,0,0
522,251,29631,0,374497,0,0
523,251,29632,0,374498,0,0
524,251,29633,0,374499,0,0
525,251,29634,0,374500,0,0
526,251,29635,0,374501,0,0
527,251,29636,0,374502,0,0
