"ID","distanceThreshold","collectQuantity","victoryPauseMS","worldLocation2IdVisual","visualEffectIdInactive","localizedTextIdInfo"
1,64,2,10000,17451,6951,285288
2,64,0,30000,0,0,0
5,32,5,10000,0,0,432541
6,32,5,10000,0,0,432542
8,50,1,10000,38205,8420,431257
9,100,0,10000,18556,16206,640590
15,60,0,10000,0,0,381287
16,60,10,10000,31631,19238,363430
17,100,5,10000,9253,16418,335557
22,100,3,20000,0,0,344385
24,50,5,10000,22547,24502,446898
25,75,7,10000,22738,24424,444785
28,60,0,10000,37802,22099,425858
29,50,3,10000,38127,0,430409
33,40,4,10000,26091,14804,422105
36,60,6,10000,0,0,316156
37,65,4,10000,28034,18519,321537
43,70,6,10000,0,0,341537
47,30,9,10000,0,0,362181
48,35,0,10000,39752,0,363389
49,40,3,10000,31731,14804,363608
50,60,0,10000,0,0,0
51,50,12,10000,0,0,363972
77,60,6,10000,0,0,485886
78,75,8,10000,0,0,494476
79,75,20,10000,43913,0,536922
80,75,18,10000,43913,0,538331
