"ID","localizedTextIdClue","explorerScavengerClueTypeEnum","creature2Id","targetGroupId","activeRadius","worldLocation2IdMiniMap"
1,168243,0,0,1903,0,14208
2,168244,1,0,0,50,13965
3,168245,2,0,0,0,13939
4,169035,0,0,4450,20,14468
5,169041,1,19189,0,160,14467
6,169047,2,0,0,0,14469
12,169469,2,0,0,0,14570
14,170126,0,0,1983,0,14685
15,170256,1,0,0,5,16225
16,170257,2,0,0,0,14698
30,180244,1,0,0,5,17212
31,181605,1,0,0,50,15622
32,181693,2,0,0,0,15623
33,181606,1,21164,0,128,15624
34,181490,0,0,2170,120,15629
35,181842,1,21211,0,5,17202
36,181915,2,0,0,0,17203
37,181936,0,21373,0,60,15705
38,182069,1,0,0,5,17218
39,182111,1,0,0,25,27607
40,184729,0,19414,0,0,15843
41,184730,2,0,0,0,28300
43,184839,0,0,2201,0,17198
44,184740,0,0,2204,0,17199
45,184841,2,0,0,0,17197
46,184742,1,0,0,40,17196
47,187469,0,0,10207,0,17194
48,187483,0,0,10208,0,17195
49,187484,2,0,0,0,16078
50,187485,2,0,0,0,16079
51,187490,1,0,0,30,16080
55,189862,2,0,0,0,16239
56,189863,2,0,0,0,16240
57,189944,0,0,2190,0,17200
63,193631,2,0,0,0,16554
64,193716,0,0,2469,0,22648
65,195206,1,23134,0,10,17225
66,195207,0,22611,0,80,16746
67,195208,2,0,0,80,16745
68,195210,1,0,0,5,17224
69,195211,2,0,0,0,20682
70,195212,0,22553,0,50,20687
71,195213,1,23135,0,10,17222
72,195214,1,23137,0,10,17223
73,195215,0,0,2688,50,16743
100,0,0,0,0,0,0
148,208585,0,0,2639,0,18311
150,213758,2,0,0,0,18405
152,208920,0,0,2660,0,18453
153,208941,2,0,0,0,18460
154,209082,1,24892,0,30,18459
160,211448,0,24093,0,0,33257
161,211452,2,0,0,0,33258
162,269268,2,0,0,0,30470
163,213555,2,0,0,0,30471
164,213744,1,24853,0,30,18400
167,214109,0,0,2570,0,18875
177,229050,2,0,0,0,19774
178,229066,2,0,0,0,19799
179,229258,2,0,0,0,19804
180,229259,2,0,0,0,19805
181,229770,0,26127,0,0,19872
182,229789,2,0,0,0,19894
183,229793,1,26552,0,64,19893
184,230547,0,39023,0,0,20031
185,269269,0,0,2880,0,19994
186,269270,0,0,2880,0,19994
188,230551,2,0,0,0,20106
190,233162,2,0,0,0,20272
191,269271,2,0,0,0,20272
192,233167,2,0,0,0,20273
210,243261,0,0,3119,0,21294
214,243983,1,0,0,30,21315
215,243777,2,0,0,0,21317
222,249277,2,0,0,0,22466
223,269272,2,0,0,0,21152
224,269273,2,0,0,0,21152
226,249292,2,0,0,0,22462
227,249293,2,0,0,0,22459
231,269274,2,0,0,0,22729
232,269275,2,0,0,0,22729
233,269276,2,0,0,0,22729
234,269277,0,27513,0,0,22734
235,269278,2,0,0,0,22729
240,262517,2,0,0,0,23561
241,269279,2,0,0,0,23549
242,262526,2,0,0,0,23549
244,265013,1,30901,0,25,23798
245,265028,0,30895,0,0,23496
246,265049,2,0,0,0,23755
247,265067,2,0,0,0,23756
248,267604,1,31119,0,18,24078
250,269462,0,30330,0,0,24079
253,279168,1,31537,0,30,24388
255,297548,2,0,0,0,25778
256,297549,0,0,3952,0,25779
257,299279,0,0,6348,0,25967
258,299279,2,0,0,0,25967
259,299279,2,0,0,0,25967
260,299320,2,0,0,0,25971
261,299321,0,44716,0,0,25972
263,310565,0,0,10175,0,20274
271,315496,2,0,0,0,27681
272,315499,1,43740,0,20,35784
273,315501,0,34880,0,0,27683
275,315560,1,0,8864,20,27736
276,315561,2,0,0,0,27737
277,315790,2,0,0,0,37547
278,315791,2,0,0,0,37569
279,315793,2,0,0,0,37589
294,340908,2,0,0,0,29117
295,340911,1,0,0,15,29118
300,341313,1,46543,0,15,29186
302,341319,2,0,0,0,29188
304,346159,1,37407,0,5,29495
313,214109,0,0,2570,0,18875
320,359188,2,0,0,0,31029
321,0,2,0,0,0,31029
322,359189,0,0,7050,0,31021
323,359190,1,49700,0,20,31035
324,361371,2,0,0,0,31360
325,361372,1,39269,0,3,31358
326,361373,0,0,4959,0,31361
327,362173,1,39396,0,3,31511
328,362174,2,0,0,0,31513
329,362175,0,0,4987,0,31515
