"ID","creature2IdStart","pathExplorerScavengerClueId00","pathExplorerScavengerClueId01","pathExplorerScavengerClueId02","pathExplorerScavengerClueId03","pathExplorerScavengerClueId04","pathExplorerScavengerClueId05","pathExplorerScavengerClueId06","localizedTextIdStart","spell4IdRelic","assetPathSprite"
1,19157,1,2,3,39,0,0,0,171199,28133,"Icon_ItemMisc_bag_0001"
2,13377,4,5,6,0,0,0,0,174814,0,""
4,19582,12,304,0,0,0,0,0,189654,0,""
5,19684,14,15,16,0,0,0,0,189655,0,""
11,21137,30,34,38,0,0,0,0,181529,0,""
12,21138,31,32,33,0,0,0,0,181589,0,""
14,19927,35,36,37,0,0,0,0,181530,0,""
15,17002,40,41,46,0,0,0,0,184735,0,""
16,21529,43,44,45,0,0,0,0,184736,0,""
17,21917,47,48,49,50,51,0,0,187491,0,""
19,22350,55,56,57,0,0,0,0,189945,0,""
22,22934,63,64,0,0,0,0,0,193617,0,""
24,23147,65,66,67,0,0,0,0,195196,0,""
25,23149,68,69,70,0,0,0,0,195198,0,""
26,23148,71,72,73,0,0,0,0,195199,0,""
30,0,100,0,0,0,0,0,0,0,0,""
37,24800,160,161,0,0,0,0,0,208404,0,""
41,24838,148,150,164,0,0,0,0,208548,0,""
44,24873,152,153,154,0,0,0,0,208896,0,""
47,25363,162,163,167,0,0,0,0,213556,0,""
48,26481,177,178,179,180,0,0,0,229046,24948,""
49,26539,181,182,183,0,0,0,0,229758,0,"Icon_ItemMisc_rune_0001"
50,26625,184,188,0,0,0,0,0,230510,0,""
51,26873,190,192,263,0,0,0,0,233232,0,""
57,28100,210,214,215,0,0,0,0,243750,0,""
61,29022,222,226,227,0,0,0,0,249294,0,""
64,30697,240,242,468,0,0,0,0,262521,33225,""
65,30645,244,245,246,247,0,0,0,262256,0,""
66,31080,248,250,467,0,0,0,0,267567,0,""
67,31156,253,476,477,0,0,0,0,278067,36006,""
68,32976,255,256,0,0,0,0,0,297547,0,""
69,33651,257,260,261,0,0,0,0,299389,0,""
73,35302,271,272,273,0,0,0,0,315497,0,""
74,35311,275,276,0,0,0,0,0,315600,0,""
75,35337,277,278,279,0,0,0,0,315782,0,""
81,36886,294,295,0,0,0,0,0,340897,0,""
83,36940,300,302,0,0,0,0,0,341320,0,""
88,39071,320,322,323,0,0,0,0,359154,0,""
89,39268,324,325,326,0,0,0,0,361410,0,""
90,39397,327,328,329,0,0,0,0,362177,0,""
91,39411,330,331,332,0,0,0,0,362334,0,""
93,39634,336,338,339,0,0,0,0,363756,0,""
94,39635,340,342,479,0,0,0,0,363779,0,""
95,39699,343,344,345,0,0,0,0,364613,0,""
96,39943,350,351,352,0,0,0,0,366893,0,""
97,40733,355,356,357,0,0,0,0,374557,0,""
103,42816,376,377,378,0,0,0,0,394450,0,""
122,44668,452,454,455,0,0,0,0,412067,0,""
126,47308,469,470,471,0,0,0,0,433497,0,""
127,47484,472,473,474,0,0,0,0,435505,0,""
128,50055,486,487,488,489,0,0,0,453292,0,""
129,50240,490,0,0,0,0,0,0,453578,0,""
130,50277,493,494,495,496,0,0,0,453772,0,""
131,51701,519,502,503,0,0,0,0,473692,0,""
132,53174,504,506,510,0,0,0,0,494882,0,""
133,53211,512,513,0,0,0,0,0,495435,0,""
134,53889,514,516,518,0,0,0,0,508506,0,""
135,56435,520,521,0,0,0,0,0,533112,0,""
