"ID","creature2IdUnlock","pathTypeEnum","pathMissionTypeEnum","pathMissionDisplayTypeEnum","objectId","localizedTextIdName","localizedTextIdSummary","pathEpisodeId","worldLocation2Id00","worldLocation2Id01","worldLocation2Id02","worldLocation2Id03","pathMissionFlags","pathMissionFactionEnum","prerequisiteId","localizedTextIdCommunicator","localizedTextIdUnlock","localizedTextIdSoldierOrders","creature2IdContactOverride","questDirectionId"
33,0,0,0,2,12,108795,108796,8,7760,0,0,0,1,1,0,182364,201409,0,0,0
34,0,0,0,5,13,108797,108798,8,9285,0,0,0,1,1,0,182365,201551,0,0,0
35,0,3,15,31,37,108826,108827,9,8912,0,0,0,0,1,0,182366,201410,0,0,0
36,0,3,15,29,38,108828,108829,9,9286,0,0,0,1,1,0,182367,201554,0,0,0
42,0,2,2,14,34,109997,109998,28,9327,0,0,0,1,1,0,182368,201555,0,0,0
43,0,3,3,28,7,110788,110789,12,6643,0,0,0,0,2,0,182371,267062,0,0,0
44,0,3,15,29,11,110794,110795,12,7315,0,0,0,0,2,0,182372,197952,0,0,0
47,0,3,15,29,6,110805,110806,12,7318,0,0,0,0,2,0,182375,197953,0,0,0
49,0,3,15,29,9,110809,110810,12,9195,0,0,0,0,2,0,182377,197954,0,0,0
66,0,2,2,17,7,111256,111257,16,27197,27198,27199,0,0,2,0,182387,198591,0,0,0
67,0,2,2,16,8,111258,111259,16,16751,16752,47318,0,0,2,18,182388,198592,0,0,0
68,0,2,2,16,9,111260,111261,16,7294,0,0,0,0,2,18,182389,198594,0,0,0
70,0,2,2,17,11,111264,111265,16,8589,42841,42842,42843,0,2,18,182391,198595,0,0,0
71,0,2,2,18,12,111266,111267,16,7292,27263,0,0,0,2,18,182392,198596,0,0,246
156,0,0,0,5,2,113818,113819,8,8866,0,0,0,1,1,0,182457,194875,197617,12552,0
158,0,3,15,31,26,114048,114049,9,8981,0,0,0,1,1,0,182458,201411,0,0,0
160,0,2,2,18,130,114143,114144,28,16909,0,0,0,33,1,0,182459,201556,0,0,0
166,0,3,3,0,2,115248,115249,34,9053,0,0,0,0,0,0,182462,0,0,0,0
167,0,2,2,17,35,115519,115520,16,18313,0,0,0,0,2,0,182463,208607,0,0,0
168,0,1,19,11,9,116226,116227,14,27044,27089,27074,27081,0,2,0,182464,201128,0,0,0
173,0,1,19,11,11,116819,116820,14,20596,20625,20634,20645,0,2,0,182469,201129,0,0,0
178,0,1,19,11,12,118113,118114,14,26381,0,0,0,0,2,0,182474,201130,0,0,0
183,0,2,2,16,37,118291,118292,35,9418,0,0,0,0,2,0,182479,207811,0,0,0
184,0,2,2,0,38,118294,118295,134,9411,0,0,0,0,2,0,182480,207816,0,0,0
185,0,2,2,0,39,118296,118297,134,9417,0,0,0,0,2,0,182481,207870,0,0,0
186,0,2,2,0,40,118298,118299,134,9415,0,0,0,0,2,0,182482,356386,0,0,0
187,0,2,2,16,41,118302,118303,35,9416,0,0,0,0,2,0,182483,207882,0,0,0
188,0,2,2,17,42,118304,118305,35,9414,45399,45398,45400,0,2,0,182484,207889,0,0,0
189,0,2,2,15,43,118307,118308,35,9386,0,0,0,0,2,0,182487,207956,0,0,979
190,0,2,2,14,45,118311,118312,35,9411,0,0,0,0,2,0,182488,208060,0,0,979
191,0,1,19,11,13,118884,118885,36,17638,9489,17562,28066,1,1,0,182489,201071,0,0,0
197,0,3,3,28,28,119902,120591,38,9409,0,0,0,8,2,0,182494,208302,0,0,0
200,0,0,7,8,5,123936,123937,40,13892,16931,27003,27004,1,1,0,174813,197666,197667,0,0
201,0,2,2,16,46,120163,120164,41,9456,0,0,0,1,1,0,182499,198574,0,0,0
208,0,0,0,5,38,123943,123944,40,9482,0,0,0,1,1,0,182503,197669,201525,0,0
209,0,0,0,5,41,120220,120603,42,9435,0,0,0,0,2,0,182504,207053,207054,0,0
210,0,0,0,2,43,120221,120607,42,9434,0,0,0,0,2,0,182505,206639,206594,0,0
218,0,2,2,18,59,120250,120251,41,9484,9780,9781,9782,1,1,0,182515,198576,0,0,0
230,23226,0,0,0,1,123098,123099,46,9708,0,0,0,16,0,0,182525,0,0,0,0
231,0,0,0,0,11,123100,123101,46,9709,0,0,0,0,0,0,182526,0,0,0,0
232,0,0,0,0,4,123102,123103,46,9710,0,0,0,0,0,0,182527,0,0,0,0
235,0,2,2,16,66,125437,125438,35,9947,45587,20066,0,0,2,0,182529,358073,0,0,0
236,0,2,2,0,67,125449,125450,134,9949,0,0,0,0,2,0,182530,422854,0,0,0
237,0,2,2,16,68,125451,125452,35,9948,45397,0,0,0,2,0,182531,228984,0,0,0
253,0,2,2,0,73,126633,126634,134,9948,0,0,0,0,2,0,182548,229032,0,0,0
254,0,2,2,0,72,126635,126636,134,10103,0,0,0,0,2,0,182552,0,0,0,0
256,0,0,0,5,26,126857,126858,40,10118,0,0,0,1,1,0,182554,197678,201526,0,0
258,0,2,2,0,74,126909,126910,134,10188,0,0,0,1,1,0,182555,198578,0,0,0
