"ID","scientistCreatureFlags","displayIcon","prerequisiteIdScan","prerequisiteIdRawScan","prerequisiteIdScanCreature","prerequisiteIdRawScanCreature","spell4IdBuff00","spell4IdBuff01","spell4IdBuff02","spell4IdBuff03","checklistCount","scientistCreatureTypeEnum","lootId"
7,128,"Icon_ItemMisc_herb_0001",0,0,0,0,42194,42194,42194,0,0,0,0
8,132,"Icon_ItemMisc_claw_0001",18,0,0,0,54312,54311,54312,0,0,1,0
9,132,"Icon_ItemMisc_claw_0001",18,0,0,0,54346,54345,54341,0,0,1,0
11,128,"Icon_ItemMisc_herb_0001",18,0,0,0,0,0,0,0,0,0,0
12,128,"Icon_ItemMisc_UI_Item_Crystal",0,0,0,0,70524,0,0,0,0,3,18841
33,128,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,20801,0,0,0,0,0,0,0,2,0
34,128,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,5728,0,0,49878,0,0,0,0,2,0
35,132,"Icon_ItemMisc_claw_0001",0,0,0,0,48471,48470,48469,0,0,0,0
37,388,"Icon_ItemMisc_claw_0001",0,0,0,0,31063,0,0,0,0,1,0
38,128,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
39,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
40,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
41,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
42,128,"Icon_ItemMisc_herb_0001",0,0,0,0,31075,0,0,0,0,0,0
43,128,"Icon_ItemMisc_UI_Item_Crystal",0,0,0,0,70868,0,0,0,0,2,0
45,0,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,0,2,0
46,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
56,16,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,4,2,0
57,16,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,6,2,0
58,16,"Icon_ItemMisc_herb_0001",0,0,0,0,0,0,0,0,0,0,0
59,128,"Icon_ItemMisc_UI_Item_Crystal",0,0,0,0,47044,0,0,0,0,3,18270
64,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
66,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
67,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
68,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
72,1,"Icon_ItemMisc_herb_0001",0,0,0,0,0,0,0,0,0,0,0
73,0,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
74,0,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,0,2,0
78,144,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,5,2,0
90,0,"Icon_ItemMisc_herb_0001",0,0,0,0,0,0,0,0,0,0,0
95,8,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,2966,0,0,0,0,0,0,0,2,0
121,4,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
122,4,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
123,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
128,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
130,656,"Icon_ItemMisc_UI_Item_Crystal",0,0,0,0,26247,0,0,0,0,3,0
132,20,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
133,148,"Icon_ItemMisc_claw_0001",0,0,0,0,33618,0,0,0,0,1,0
134,16,"Icon_ItemMisc_UI_Item_Crystal",13288,0,0,0,38891,38890,38888,0,0,3,12899
137,4,"Icon_ItemMisc_claw_0001",0,0,0,0,28027,29383,29385,29387,0,1,0
138,0,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,18422
139,144,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,28006,0,0,0,0,2,0
140,144,"Icon_ItemMisc_herb_0001",0,0,0,0,28032,28032,28032,28032,0,0,0
142,16,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,8,2,0
143,128,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,2966,0,0,27884,0,0,0,0,2,0
144,4,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
145,156,"Icon_ItemMisc_herb_0001",0,0,0,0,27890,0,0,0,0,0,0
146,17,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,0,2,0
147,0,"Icon_ItemMisc_claw_0001",0,0,21,0,28779,28779,28779,28779,0,1,0
148,20,"Icon_ItemMisc_herb_0001",0,0,0,0,0,0,0,0,0,0,0
149,0,"Icon_ItemMisc_UI_Item_Crystal",0,0,0,0,0,0,0,0,6,3,0
150,128,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,0,2,0
151,16,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,0,2,0
153,16,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,1,2,0
166,132,"Icon_ItemMisc_claw_0001",19,0,0,0,39017,39016,39007,0,0,1,0
167,132,"Icon_ItemMisc_claw_0001",19,0,0,0,0,0,0,0,0,1,0
168,132,"Icon_ItemMisc_claw_0001",19,0,0,0,39023,39022,39019,0,0,1,0
169,132,"Icon_ItemMisc_claw_0001",18,0,0,0,0,0,0,0,0,1,0
170,132,"Icon_ItemMisc_claw_0001",19,0,0,0,39021,39020,39006,0,0,1,0
171,0,"Icon_ItemMisc_claw_0001",19,0,0,0,28762,0,0,0,0,1,0
173,144,"Icon_ItemMisc_herb_0001",0,0,0,6865,30556,0,0,0,0,0,16424
175,20,"Icon_ItemMisc_claw_0001",0,0,0,0,31306,0,0,0,0,1,0
176,0,"Icon_ItemMisc_claw_0001",19,0,0,0,0,0,0,0,2,6,0
177,20,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
179,132,"Icon_ItemMisc_claw_0001",0,0,0,0,0,0,0,0,0,1,0
181,132,"Icon_ItemMisc_claw_0001",19,0,0,0,0,0,0,0,0,1,0
182,4,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,0,0,0,0,0,0,0,0,2,0
189,128,"Icon_ItemMisc_UI_Item_Crafting_PowerCore_Green",0,2966,0,0,42429,0,0,0,0,3,0
190,132,"Icon_ItemMisc_claw_0001",18,0,0,0,0,0,0,0,0,1,0
191,132,"Icon_ItemMisc_claw_0001",18,0,0,0,0,0,0,0,0,1,0
236,0,"Icon_ItemMisc_claw_0001",18,0,0,0,0,0,0,0,0,1,0
