"ID","localizedTextIdName","localizedTextIdDescription","pathMissionId","pathScientistExperimentationId","iconAssetPath"
22,292802,292803,1692,8,"Icon_ItemMisc_egg_0003"
23,292804,292805,1748,8,"Icon_ItemMisc_tooth_0002"
24,292806,292807,1806,8,"Icon_ItemMisc_UI_Item_Leaf"
26,296130,296131,1847,9,"ClientSprites:Icon_ItemMisc_potion_0002"
27,296140,296141,1840,9,"ClientSprites:Icon_ItemMisc_potion_0001"
28,296142,296143,1725,9,"ClientSprites:Icon_ItemMisc_potion_0004"
29,302225,302226,1693,8,"Icon_ItemMisc_UI_Item_Gears"
30,310322,310323,66,10,"Icon_ItemMisc_herb_0002"
31,310330,310331,70,10,"Icon_ItemMisc_herb_0001"
32,310343,310344,167,10,"Icon_ItemMisc_herb_0003"
33,310347,310348,1298,10,"Icon_ItemMisc_herb_0004"
34,315998,315999,1937,11,"IconSprites:Icon_ItemMisc_Generic_isolinear_chip"
35,316004,316005,1953,11,"Icon_ItemMisc_UI_Item_Gears"
37,316011,316012,1950,11,"Icon_ItemArmorFace_UI_Item_Battle_Face"
38,316030,316031,1952,11,"Icon_ItemMisc_UI_Item_Bomb"
40,341463,341464,2065,13,"Icon_ItemMisc_tooth_0002"
41,341466,341467,2088,13,"Icon_SkillNature_UI_srcr_dstdvl"
42,341470,341471,2067,13,"Icon_ItemArmorFace_UI_Item_Battle_Face"
43,341473,341474,2068,13,"Icon_SkillIce_UI_srcr_iceshrds"
44,362256,362257,2246,14,"Icon_SkillShadow_UI_SM_rip"
45,362258,362259,2254,14,"Icon_SkillPhysical_UI_wr_wrlwnd"
46,362260,362261,2262,14,"Icon_SkillPhysical_Clobber"
48,362660,362661,2216,14,"Icon_SkillFire_UI_srcr_frblt"
49,362712,362713,2246,15,"Icon_SkillShadow_UI_SM_rip"
50,362714,362715,2255,15,"Icon_SkillPhysical_UI_wr_wrlwnd"
51,362716,362717,2262,15,"Icon_SkillPhysical_Clobber"
52,362718,362719,2216,15,"Icon_SkillFire_UI_srcr_frblt"
53,365196,365197,2249,16,"Icon_SkillShadow_UI_SM_envelop"
54,365199,365200,2340,16,"Icon_SkillNature_UI_srcr_dstdvl"
55,365202,365203,2289,16,"Icon_ItemArmorFace_UI_Item_Battle_Face"
56,365206,365207,2247,16,"Icon_SkillPhysical_UI_wr_rcklsswngs"
57,384231,384232,2590,17,"ClientSprites:Icon_Guild_UI_Guild_Steak"
58,384250,384251,3122,17,"ClientSprites:Icon_SkillShadow_UI_SM_eye"
61,384326,384327,2590,18,"ClientSprites:Icon_Guild_UI_Guild_Steak"
62,384333,384334,3122,18,"ClientSprites:Icon_SkillShadow_UI_SM_eye"
63,384339,384340,2404,18,"Icon_ItemMisc_UI_Item_Blueprints"
64,384347,384348,3137,18,"ClientSprites:Icon_Windows_UI_CRB_Scientist"
65,384976,384977,3137,17,"ClientSprites:Icon_Windows_UI_CRB_Scientist"
66,384978,384979,2212,17,"Icon_ItemMisc_UI_Item_Blueprints"
139,456497,456498,2138,36,"ClientSprites:Icon_ItemMisc_UI_Item_Potion_001"
140,456546,456547,1978,36,"ClientSprites:Icon_ItemArmorHead_goggles_0004"
141,456548,456549,701,36,"ClientSprites:Icon_ItemArmorWaist_UI_Item_Arcane_Buckle"
142,456551,456552,2139,36,"ClientSprites:Icon_ItemMisc_gadget_0004"
143,457144,457145,1251,37,"ClientSprites:Icon_ItemWeapon_Eldan_Explosive"
163,507264,507265,1845,9,"ClientSprites:Icon_ItemMisc_potion_0003"
164,507444,507445,183,42,"ClientSprites:Icon_ItemMisc_potion_0001"
165,507450,507451,1750,42,"ClientSprites:Icon_ItemMisc_potion_0002"
166,507452,507453,301,42,"ClientSprites:Icon_ItemMisc_potion_0004"
167,507455,507456,1752,42,"ClientSprites:Icon_ItemMisc_potion_0003"
168,545714,545715,427,37,"ClientSprites:Icon_Modifier_elemental_air_001"
169,545720,545721,426,37,"ClientSprites:Icon_ItemMisc_AirEnergyBall"
170,545722,545723,3159,37,"ClientSprites:Icon_ItemMisc_FalkrinTablet"
