"ID","creature2Id","targetGroupId","pathScientistFieldStudyFlags","localizedTextIdChecklist00","localizedTextIdChecklist01","localizedTextIdChecklist02","localizedTextIdChecklist03","localizedTextIdChecklist04","localizedTextIdChecklist05","localizedTextIdChecklist06","localizedTextIdChecklist07","worldLocation2IdIndicator00","worldLocation2IdIndicator01","worldLocation2IdIndicator02","worldLocation2IdIndicator03","worldLocation2IdIndicator04","worldLocation2IdIndicator05","worldLocation2IdIndicator06","worldLocation2IdIndicator07","behaviorType00","behaviorType01","behaviorType02","behaviorType03","behaviorType04","behaviorType05","behaviorType06","behaviorType07"
1,23755,0,0,203277,203278,203279,430742,430743,430744,430745,430746,22676,22677,0,0,0,0,0,0,2,9,0,1,3,4,5,6
12,7285,0,0,249517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,3362,2,255332,255356,414230,414231,0,0,0,0,23062,23063,36866,0,0,0,0,0,2,5,13,4,0,0,0,0
16,0,4313,0,316309,316310,316311,366228,366229,366230,366231,366305,19939,19939,19939,19939,19416,19438,19416,0,13,6,10,12,3,6,3,0
20,0,5129,0,368950,368951,368953,368955,368956,368957,368987,368988,23263,32173,32173,32173,32173,29623,29623,0,12,2,7,1,3,3,13,0
21,0,6716,0,383986,383987,383988,383989,383990,439965,0,0,41124,41122,41122,41122,0,0,0,0,12,3,3,11,0,0,0,0
22,0,6741,0,383992,383993,383994,383995,383996,0,0,0,41119,41121,41121,41121,0,0,0,0,12,3,3,11,0,0,0,0
46,23755,0,0,430747,430748,430749,430750,430751,430752,430753,430754,22676,22677,0,0,0,0,0,0,7,8,10,11,12,13,0,0
47,0,8035,0,494317,494318,494319,494320,494321,0,0,0,41736,41737,41738,41739,41740,0,0,0,13,13,13,13,13,0,0,0
48,53668,0,0,504547,504548,504549,504550,504551,504552,504553,504554,42189,0,0,0,0,0,0,0,2,9,0,1,3,4,5,6
49,0,0,2,520819,0,0,0,0,0,0,0,42991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
