"ID","localizedTextIdObjective00","localizedTextIdObjective01","localizedTextIdObjective02","localizedTextIdObjective03","localizedTextIdObjective04","localizedTextIdObjective05","localizedTextIdObjective06","localizedTextIdObjective07","localizedTextIdObjective08","localizedTextIdObjective09","worldLocation2Id00","worldLocation2Id01","worldLocation2Id02","worldLocation2Id03","worldLocation2Id04","worldLocation2Id05","worldLocation2Id06","worldLocation2Id07","worldLocation2Id08","worldLocation2Id09","specimenSurveyFlags00","specimenSurveyFlags01","specimenSurveyFlags02","specimenSurveyFlags03","specimenSurveyFlags04","specimenSurveyFlags05","specimenSurveyFlags06","specimenSurveyFlags07","specimenSurveyFlags08","specimenSurveyFlags09","questDirectionId00","questDirectionId01","questDirectionId02","questDirectionId03","questDirectionId04","questDirectionId05","questDirectionId06","questDirectionId07","questDirectionId08","questDirectionId09"
1,267552,267553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,315903,315904,315905,315906,0,0,0,0,0,0,33160,33158,33161,33159,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,341811,341812,341815,341929,341930,341932,0,0,0,0,28172,28173,28823,41914,28182,41917,0,0,0,0,14,14,14,12,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,347874,347875,347876,0,0,0,0,0,0,0,17273,14403,14458,0,0,0,0,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,360926,360928,360929,360943,360944,360945,519916,519917,0,0,31219,31220,31221,31219,31220,31221,0,0,0,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,360966,360967,360968,360969,360970,360971,519920,519921,0,0,31222,31223,31224,31222,31223,31224,0,0,0,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,361963,361964,361965,361966,361967,0,0,0,0,0,31407,31408,31407,31408,31551,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,365086,365087,365088,365089,365090,365091,452729,452730,452731,452732,30354,30398,30401,29630,32274,31194,43366,43365,0,0,12,12,12,12,12,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0
40,438078,438079,438080,438081,438082,438083,438084,0,0,0,38621,38621,38621,38621,38622,38622,0,0,0,0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,464001,464002,464003,464004,571735,0,0,0,0,0,40490,40491,41038,41039,32120,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,463930,463931,463937,463938,571734,0,0,0,0,0,40485,41035,41036,41037,38475,0,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,495144,495145,495147,495151,495154,495158,0,0,0,0,41257,41258,41260,41261,41262,41263,0,0,0,0,2,2,2,2,2,2,0,0,0,0,848,849,850,851,852,853,0,0,0,0
44,504208,504209,504210,504211,504212,504213,504214,504258,504259,504260,42198,42190,42187,42188,42185,42187,30178,0,0,0,10,10,10,10,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0
45,504534,504535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,504590,504591,504592,504593,504594,504595,530228,0,0,0,42197,42190,42196,42195,42194,42196,30161,0,0,0,10,10,10,10,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0
47,535370,535371,535372,535373,535374,535375,0,0,0,0,44788,44789,44792,44793,44791,44790,0,0,0,0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,627317,627318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,137,0,0,0,0,0,0,0,0
