"ID","countResource00","countResource01","countResource02","countRecontributionResource00","countRecontributionResource01","countRecontributionResource02","spell4IdDisplay"
2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,24941
4,2,3,0,0,0,0,41221
5,0,2,0,0,0,0,41224
6,0,4,0,0,0,0,41225
7,1,2,0,0,0,0,41222
8,1,0,0,0,0,0,24941
9,1,4,4,0,0,0,41224
10,2,6,4,0,0,0,41225
11,3,3,0,0,0,0,41222
12,3,4,5,0,0,0,41223
13,0,0,0,0,0,0,0
14,6,4,2,0,0,0,0
15,0,0,0,0,0,0,0
133,12,4,0,12,4,0,40761
135,12,4,0,12,4,0,40761
148,5,1,0,5,1,0,40752
158,9,3,0,9,3,0,40762
211,10,0,0,10,0,0,0
212,10,0,0,10,0,0,0
213,10,0,0,10,0,0,0
214,10,0,0,0,10,0,0
215,0,0,0,0,0,0,0
218,10,0,0,10,0,0,0
219,10,0,0,10,0,0,0
220,10,0,0,10,0,0,0
223,8,2,0,8,2,0,40753
229,8,2,0,8,2,0,40753
261,1,0,0,0,0,0,41223
262,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0
376,9,2,0,9,2,0,40751
377,9,2,0,9,2,0,40751
380,14,5,0,14,5,0,31308
381,12,2,0,12,2,0,31322
382,12,2,0,12,2,0,31456
384,11,2,0,11,2,0,34707
385,9,2,0,9,2,0,24948
401,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0
414,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0
417,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0
442,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0
450,5,0,0,5,0,0,40068
451,5,0,0,5,0,0,31503
452,5,0,0,5,0,0,72139
453,5,0,0,5,0,0,31497
454,8,0,0,8,0,0,40760
455,5,0,0,5,0,0,24948
456,5,0,0,5,0,0,31507
463,16,3,0,16,3,0,31500
464,14,2,0,14,2,0,40746
465,12,4,0,12,4,0,24948
466,8,1,0,8,1,0,40752
467,10,5,0,10,5,0,28883
468,12,6,0,12,6,0,27362
472,18,5,0,18,5,0,40755
483,14,2,0,14,2,0,40746
487,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0
508,20,5,0,20,5,0,0
510,0,0,0,0,0,0,0
511,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0
517,8,0,0,8,0,0,40033
552,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0
563,12,0,0,12,0,0,0
565,8,2,0,8,2,0,40753
566,8,2,0,8,2,0,40753
574,1,0,0,0,0,0,0
575,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0
581,10,4,0,10,4,0,31308
582,10,4,0,10,4,0,31308
583,10,4,0,10,4,0,31308
584,10,4,0,10,4,0,31308
585,10,4,0,10,4,0,31308
586,11,5,1,11,5,1,31507
587,11,5,1,11,5,1,31507
588,11,5,1,11,5,1,31507
