"ID","pathSettlerHubId00","pathSettlerHubId01","localizedTextIdObjective","missionCount","worldZoneId","count","maxTime","creature2IdDepot","creature2IdResource00","creature2IdResource01","creature2IdResource02","spell4IdResource00","spell4IdResource01","spell4IdResource02","maxStackCountResource00","maxStackCountResource01","maxStackCountResource02"
1,4,0,213078,9,262,10,30000,17199,35829,35830,35831,39526,39527,39528,4,3,2
2,108,0,220610,25,1228,100,3600000,25752,0,0,0,31386,0,0,5,1,1
13,133,0,234874,5,697,20,3600000,27044,27037,0,0,32317,0,0,1,1,1
19,62,0,252793,10,1345,40,3600000,29620,0,0,0,37722,0,0,10,1,1
25,162,0,255974,15,1302,65,3600000,29807,0,0,0,33943,0,0,5,1,1
27,174,0,273400,5,1557,20,3600000,31412,31411,0,0,35095,0,0,1,1,1
28,67,0,279285,15,141,50,3600000,31549,0,0,0,37723,0,0,5,1,1
29,177,0,363870,5,1303,20,3600000,32267,32259,0,0,0,0,0,1,1,1
34,186,0,299167,10,1580,20,3600000,33662,0,0,0,36895,0,0,1,1,1
36,190,0,306263,9,1675,36,3600000,33945,0,0,0,38027,0,0,3,1,1
37,12,0,306537,25,619,100,3600000,34289,0,0,0,38243,0,0,5,1,1
38,21,0,307122,15,993,50,3600000,34420,0,0,0,38395,0,0,5,1,1
39,22,0,309027,15,1011,50,3600000,34559,0,0,0,38523,0,0,5,1,1
40,23,0,309159,15,126,65,3600000,34568,0,0,0,38543,0,0,5,1,1
41,103,196,311484,15,143,50,3600000,34885,0,0,0,38814,0,0,5,1,1
42,9,0,311806,5,1215,20,3600000,34954,34953,0,0,38837,0,0,1,1,1
43,197,0,312254,15,121,60,3600000,34994,0,0,0,38877,0,0,5,1,1
44,11,0,314268,10,583,40,3600000,35165,35167,0,0,38983,0,0,2,1,1
45,132,142,314931,15,203,50,3600000,35222,0,0,0,39046,0,0,5,1,1
48,176,0,319774,20,78,80,3600000,35572,0,0,0,39346,0,0,5,1,1
49,187,0,321720,20,75,80,3600000,35662,0,0,0,39424,0,0,5,1,1
50,13,0,322800,10,459,30,3600000,35818,35819,0,0,39524,0,0,1,1,1
51,18,0,324938,10,455,30,3600000,36085,36087,0,0,39626,0,0,1,1,1
53,57,0,328843,10,463,30,3600000,36259,0,0,0,39790,0,0,1,1,1
66,232,0,362952,20,2026,80,3600000,39505,39523,0,0,41489,0,0,5,1,1
67,222,0,370273,15,2067,75,3600000,39984,40247,0,0,46647,0,0,3,1,1
68,237,0,373915,15,2191,50,3600000,40650,0,0,0,42131,0,0,5,1,1
69,240,0,374205,15,2047,50,3600000,39574,0,0,0,41507,0,0,5,1,1
70,163,164,374678,25,1412,100,3600000,40747,40748,0,0,42204,0,0,5,1,1
73,201,0,387800,10,1890,40,3600000,42178,42204,0,0,42811,0,0,2,1,1
75,202,0,387927,10,1890,40,3600000,42179,42243,0,0,42716,0,0,2,1,1
82,213,214,399792,10,1928,40,3600000,43203,43229,0,0,43154,0,0,2,1,1
100,289,0,441702,15,2067,75,3600000,48541,40247,0,0,51862,0,0,3,1,1
101,168,0,447884,15,1405,60,3600000,49615,0,0,0,47605,0,0,2,1,1
102,288,0,447891,15,1405,60,3600000,49614,0,0,0,47605,0,0,2,1,1
103,234,291,453613,10,1406,40,3600000,50274,50265,0,0,48416,0,0,2,1,1
104,178,0,465666,9,79,36,3600000,51092,51084,0,0,51330,0,0,3,1,1
105,293,294,467873,10,2121,50,3600000,54191,51331,0,0,51645,0,0,1,1,1
107,287,0,489118,15,122,50,3600000,52703,0,0,0,55427,0,0,5,1,1
108,295,0,518656,15,2227,55,3600000,54362,54370,0,0,60734,0,0,3,1,1
110,297,0,518900,15,2227,55,3600000,54363,54370,0,0,60740,0,0,3,1,1
111,303,0,537477,10,2228,40,3600000,56605,56805,0,0,63313,0,0,2,1,1
112,304,0,537486,10,2228,40,3600000,56606,56805,0,0,63313,0,0,2,1,1
