"ID","localizedTextId00","localizedTextId01","localizedTextId02","localizedTextId03","localizedTextId04","localizedTextId05","localizedTextId06","localizedTextId07","worldLocation2Id00","worldLocation2Id01","worldLocation2Id02","worldLocation2Id03","worldLocation2Id04","worldLocation2Id05","worldLocation2Id06","worldLocation2Id07","questDirectionId00","questDirectionId01","questDirectionId02","questDirectionId03","questDirectionId04","questDirectionId05","questDirectionId06","questDirectionId07","characterTitleIdReward"
1,438677,438678,0,0,0,0,0,0,8813,8821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
5,455501,455502,455503,455504,455505,455506,0,0,17638,9489,17556,17563,17562,28066,0,0,0,0,0,0,0,0,0,0,116
6,455650,455651,455652,455653,455654,455655,559140,0,17635,28188,17636,17637,28189,28193,44925,0,0,0,0,0,0,0,0,0,117
7,455857,455858,455859,0,0,0,0,0,28479,17640,17639,0,0,0,0,0,0,0,0,0,0,0,0,0,118
8,456532,456533,456534,456535,456536,456537,0,0,25954,25952,25953,17601,25957,26342,0,0,0,0,0,0,0,0,0,0,122
9,457020,457021,457022,457023,457024,457025,0,0,26877,26881,26886,26891,26895,26903,0,0,0,0,0,0,0,0,0,0,123
10,457222,457223,457224,457225,457226,457227,0,0,26849,26858,26861,26868,26873,29771,0,0,0,0,0,0,0,0,0,0,124
11,458107,458108,458109,458110,458111,458112,0,0,26854,26855,26856,26857,26863,26867,0,0,0,0,0,0,0,0,0,0,125
12,461200,461201,461226,461227,461228,0,0,0,31369,31370,31373,31377,31575,0,0,0,0,0,0,0,0,0,0,0,141
14,454980,454981,454982,454983,454984,0,0,0,27044,27074,27081,27089,27096,0,0,0,0,0,0,0,0,0,0,0,110
15,455119,455120,455121,455122,455123,455173,455174,0,20596,20634,20625,20661,20645,27351,20638,0,0,0,0,0,0,0,0,0,111
17,455367,455368,455369,455370,455371,455372,0,0,26381,26379,26380,26382,26383,26384,0,0,0,0,0,0,0,0,0,0,112
18,458359,458360,458389,458390,458431,458434,0,0,18703,18709,18711,18731,18730,19000,0,0,0,0,0,0,0,0,0,0,130
19,459410,459411,459412,459413,459414,459415,0,0,30870,19942,30878,20675,19945,40218,0,0,0,0,0,0,0,0,0,0,131
20,459860,459861,459862,459863,459864,459865,0,0,22329,31243,22330,31418,22331,22332,0,0,0,0,0,0,0,0,0,0,136
21,460204,460205,460206,460207,460208,460209,0,0,24545,31673,24548,24549,24550,24551,0,0,0,0,0,0,0,0,0,0,137
22,460262,460263,460264,460265,460280,460281,460282,460283,18629,18630,18631,18632,18633,18634,18635,18636,0,0,0,0,0,0,0,0,138
23,460452,460453,460454,460455,460456,460457,0,0,18637,18638,18639,18640,18641,18642,0,0,0,0,0,0,0,0,0,0,138
24,441374,441375,441359,441357,441376,441356,0,0,27105,27106,27107,27108,27109,27110,0,0,0,0,0,0,0,0,0,0,104
25,441301,441306,441307,441308,441309,441310,0,0,18623,18624,18625,18626,18627,18628,0,0,0,0,0,0,0,0,0,0,104
26,460764,460766,460767,460781,460773,460782,460783,460784,19839,19840,19841,19842,19843,19844,19845,19846,0,0,0,0,0,0,0,0,140
28,463388,463389,463390,463391,463392,463393,463394,463395,27779,27780,27781,27782,27783,27784,27785,27786,0,0,0,0,0,0,0,0,151
34,463430,463431,463432,463433,463434,463435,0,0,29262,29277,29289,29302,29314,29325,0,0,0,0,0,0,0,0,0,0,152
45,462130,462131,462132,462133,462134,462135,462136,0,22412,22419,22425,22446,22452,22458,0,0,0,0,0,0,0,0,0,0,150
48,440485,440486,440488,440489,440490,440491,0,0,23581,23582,24238,38754,23583,24245,0,0,0,0,0,0,0,0,0,0,98
49,440525,440526,440527,440528,0,0,0,0,25554,25555,25557,25556,0,0,0,0,0,0,0,0,0,0,0,0,99
50,440598,440599,440600,440609,440610,440611,440612,0,26729,26728,26146,26742,26741,26743,26744,0,0,0,0,0,0,0,0,0,100
51,430814,430829,430832,430833,430842,0,0,0,24251,24254,24260,24264,24268,0,0,0,0,0,0,0,0,0,0,0,93
52,436675,436676,436677,436715,436718,0,0,0,25583,25587,25591,25595,25599,0,0,0,0,0,0,0,0,0,0,0,96
53,437890,437891,437892,437893,437894,0,0,0,24849,24855,24858,24869,24873,0,0,0,0,0,0,0,0,0,0,0,97
54,447177,447178,447181,447182,447185,0,0,0,23027,38627,23143,38668,38687,0,0,0,0,0,0,0,0,0,0,0,105
55,447221,447222,447223,447224,447225,0,0,0,38637,39169,38655,38674,38692,0,0,0,0,0,0,0,0,0,0,0,105
56,453882,453883,453909,453910,453911,453912,453915,453916,31716,39674,31764,31739,39685,31750,39963,39964,0,0,0,0,0,0,0,0,109
57,453927,453928,453929,453930,453931,453932,453933,453934,31722,39680,31770,31745,39691,31761,39965,39966,0,0,0,0,0,0,0,0,108
59,460832,460833,460834,460835,460836,460837,460838,460839,19854,19855,19856,19857,19858,19859,19860,19861,0,0,0,0,0,0,0,0,140
60,461251,461252,461253,461254,461255,0,0,0,31379,31382,31385,31387,31389,0,0,0,0,0,0,0,0,0,0,0,141
61,463072,463073,463074,463075,463076,463077,463078,0,22481,22488,22494,22500,22511,22517,0,0,0,0,0,0,0,0,0,0,150
62,463406,463407,463408,463409,463410,463411,463412,463413,27788,27789,27790,27791,27792,27793,27794,27795,0,0,0,0,0,0,0,0,151
63,463440,463441,463442,463443,463444,463445,0,0,29255,29270,29282,29297,29307,29320,0,0,0,0,0,0,0,0,0,0,152
64,509950,509951,509952,509953,509954,509955,509956,509957,42147,30568,30556,42311,30571,30574,30580,38664,0,0,0,0,0,0,0,0,222
65,510085,510088,510089,510090,510092,510129,510131,510132,42152,38778,38777,42315,38779,38781,38780,38931,0,0,0,0,0,0,0,0,222
