"ID","creature2Id","targetGroupId","count","soldierActivateModeEnum"
1,18252,0,3,0
2,18336,0,4,1
3,0,1773,3,0
4,18272,0,3,1
5,18274,0,3,2
6,0,1840,4,1
7,18875,0,3,2
8,19544,0,6,1
9,19161,0,4,1
10,19164,0,6,1
11,19039,0,1,0
12,0,4559,3,1
14,19555,0,4,1
15,19708,0,6,0
16,19790,0,1,1
17,19789,0,3,1
21,21155,0,4,1
22,21380,0,4,2
26,23124,0,4,1
37,35249,0,4,1
45,24701,0,5,1
50,24855,0,8,0
52,0,2644,6,1
53,24855,0,8,0
54,24989,0,4,0
55,24989,0,4,0
65,26449,0,5,1
66,26477,0,4,1
67,26522,0,6,0
77,27667,0,5,2
83,28729,0,6,2
86,28868,0,8,1
88,28966,0,7,2
89,28729,0,6,2
92,0,3317,4,1
93,0,3318,4,1
94,28868,0,8,1
97,30529,0,5,0
98,30881,0,10,0
99,31045,0,8,1
100,31125,0,5,1
101,0,3603,15,0
102,31218,0,6,1
105,33397,0,4,1
106,33418,0,9,1
107,0,3950,6,1
108,33541,0,5,0
109,33885,0,4,1
111,34548,0,8,1
112,35044,0,10,0
116,35125,0,5,2
119,31045,0,3,0
140,0,6780,4,0
141,39371,0,15,1
142,39437,0,10,1
143,39580,0,5,1
144,39581,0,8,1
145,0,5023,6,0
146,0,5025,8,0
147,0,6739,8,0
148,39580,0,5,1
150,39371,0,15,1
153,61370,0,6,1
156,0,6815,4,0
207,49558,0,4,0
208,50585,0,4,1
209,50700,0,8,1
210,50585,0,4,1
211,50700,0,8,1
212,52579,0,5,1
213,53204,0,1,0
214,53204,0,1,0
215,53242,0,5,1
216,56613,0,4,1
217,13677,0,6,1
218,20263,0,1,1
