"ID","pathSoldierEventId","waveIndex","soundZoneKitId"
1,1,0,0
2,1,1,0
3,2,0,161
4,2,1,162
5,2,2,163
6,2,3,164
10,1,0,161
11,1,1,162
15,4,0,161
16,4,1,162
17,4,0,161
18,4,1,162
37,11,0,161
38,11,0,161
39,11,0,161
40,11,0,161
41,12,0,161
42,12,1,162
43,12,2,163
44,12,3,164
49,12,3,164
51,13,0,161
52,13,1,162
53,13,2,163
54,13,3,164
85,22,0,161
86,22,1,162
87,22,2,163
89,23,0,161
90,23,1,162
91,23,2,163
92,23,3,164
93,24,0,161
94,24,1,162
95,24,2,163
96,24,3,164
99,26,0,161
100,26,1,162
101,26,2,163
102,26,3,164
107,28,0,161
108,28,1,162
109,28,2,163
110,28,3,164
142,38,0,161
143,38,1,162
144,38,2,163
145,38,3,164
146,39,0,161
147,39,1,162
148,39,2,163
149,39,3,164
154,4,0,161
155,4,1,162
156,4,0,161
157,4,1,162
158,4,0,161
159,4,1,162
160,4,0,161
161,4,1,162
162,41,0,161
163,41,1,162
164,41,2,163
165,41,3,164
170,43,0,161
171,43,1,162
172,43,2,163
173,43,3,164
226,39,0,161
227,1,0,0
228,1,1,0
229,1,0,0
230,1,1,0
231,39,1,162
232,39,2,163
233,39,3,164
306,72,0,161
307,72,1,162
308,72,2,163
309,72,3,164
317,74,0,161
318,74,1,162
320,74,2,163
321,75,0,161
325,13,4,164
329,82,0,161
330,82,1,162
331,82,2,163
332,82,3,164
333,83,0,161
334,83,1,162
335,83,2,163
336,83,3,164
337,78,0,161
338,78,1,162
339,78,2,163
340,79,0,161
343,79,1,162
345,79,2,163
347,80,0,161
348,80,1,162
349,80,3,164
350,80,2,163
352,84,0,0
353,84,1,0
355,85,0,161
356,85,1,162
357,85,2,163
366,90,0,161
369,90,1,162
370,90,2,163
371,92,1,161
372,92,2,162
373,92,3,163
374,93,0,161
377,92,1,161
378,92,2,162
379,92,3,163
380,92,1,161
381,92,2,162
382,92,3,163
392,97,0,162
394,97,1,164
396,98,0,162
398,98,1,164
399,99,0,161
400,99,1,162
403,100,0,161
404,100,1,162
405,100,2,163
412,103,0,161
413,103,1,162
414,103,2,163
416,104,0,161
417,104,1,162
418,104,2,163
419,104,3,164
420,105,0,161
421,105,1,162
422,105,3,164
423,105,2,163
424,106,0,161
425,106,1,162
426,106,2,163
427,73,0,161
428,73,1,163
429,73,2,164
430,107,0,161
431,107,1,162
432,107,2,163
438,107,3,164
439,111,0,161
440,111,1,162
441,111,2,163
442,111,3,164
451,115,0,161
452,116,0,161
453,116,1,162
454,116,2,163
458,118,0,161
459,118,1,162
460,118,2,163
461,119,0,161
462,119,1,162
463,119,2,163
466,120,0,161
467,120,1,162
468,120,2,163
485,136,0,161
506,139,0,161
510,140,0,161
512,140,1,162
518,140,2,163
519,140,3,164
544,147,0,161
545,147,1,162
546,147,3,164
547,147,2,163
548,148,0,161
549,148,1,162
550,148,2,163
551,119,3,164
564,153,0,161
566,155,0,161
571,156,0,161
572,156,1,162
573,156,2,163
574,156,3,164
575,157,0,161
576,157,1,162
577,157,2,163
579,153,1,162
580,153,2,163
583,158,0,161
584,159,0,161
587,159,1,162
588,159,2,163
589,159,3,164
590,162,0,161
591,163,0,161
592,164,0,161
593,165,0,161
608,169,0,161
609,169,1,162
610,169,3,164
618,155,1,162
619,162,1,162
620,163,1,162
621,164,1,162
622,165,1,162
623,172,0,161
624,173,0,161
625,173,1,162
626,174,0,161
627,176,0,161
628,176,1,162
629,176,2,163
630,176,3,164
631,175,0,161
632,175,1,161
633,175,2,162
634,175,3,163
635,175,4,164
639,177,0,161
646,177,1,162
647,177,2,163
651,157,3,164
652,157,3,164
657,181,0,161
658,181,1,162
659,181,2,163
660,183,0,161
661,183,1,162
662,183,3,164
663,183,2,163
664,182,0,161
667,182,1,162
668,182,2,163
669,184,0,161
671,185,0,161
672,185,1,162
673,185,2,163
674,186,0,161
678,187,0,161
679,187,1,162
680,187,2,163
682,186,1,162
683,186,0,161
693,194,0,161
694,194,1,162
696,186,2,163
697,195,0,161
698,195,1,162
699,195,2,163
700,196,0,161
701,196,1,162
702,196,2,163
703,197,0,161
704,194,2,163
705,197,1,161
706,197,2,162
707,197,3,163
708,197,4,164
710,198,1,162
711,198,4,164
715,207,0,161
716,207,1,162
717,207,2,163
718,207,3,164
720,208,0,161
721,208,1,162
722,208,2,163
723,208,0,161
724,208,1,162
725,208,2,163
726,209,0,161
727,209,1,162
728,209,2,163
729,210,0,161
730,210,1,162
731,210,2,163
758,198,2,163
763,198,3,164
784,224,0,161
785,224,1,162
786,224,2,163
787,224,3,164
791,226,0,161
792,226,1,162
793,226,2,163
814,234,0,161
815,234,1,162
816,234,2,163
817,234,3,164
818,236,0,161
819,228,0,161
820,228,0,161
821,228,1,162
823,228,1,162
826,228,2,163
828,228,2,163
829,235,1,162
830,237,0,161
831,237,1,162
832,237,2,163
833,237,3,164
835,235,0,161
836,238,1,162
837,238,0,161
838,239,1,162
839,239,0,161
840,240,1,162
841,240,0,161
842,241,0,161
843,241,1,162
845,243,1,162
847,245,0,161
848,245,1,162
849,245,3,164
850,245,2,163
851,246,0,161
852,247,0,161
853,247,3,164
856,248,0,161
857,248,1,162
858,248,3,164
859,248,2,163
860,249,0,161
861,249,1,161
862,249,2,162
863,250,0,161
864,250,1,162
865,250,2,163
866,250,3,164
867,246,2,163
868,248,0,161
869,248,1,162
870,248,2,163
871,249,3,162
872,249,4,163
873,251,0,161
876,251,1,162
877,251,2,163
878,251,3,164
879,248,3,164
885,254,0,161
886,254,1,162
887,254,2,163
888,254,3,164
889,255,1,162
890,255,0,161
891,256,1,162
892,256,0,161
893,257,1,162
894,257,0,161
895,258,1,162
896,258,0,161
902,252,1,161
903,252,1,161
905,252,2,162
906,252,2,162
908,252,3,163
909,252,3,163
911,252,4,164
912,252,4,164
917,261,0,161
918,261,1,162
919,261,2,163
921,262,0,161
922,262,1,161
923,262,2,162
924,262,2,162
925,262,3,163
926,262,3,163
927,262,4,164
928,262,4,164
929,263,0,161
930,263,1,161
931,263,2,162
932,263,3,163
933,263,4,164
934,264,0,161
935,264,1,161
936,264,2,162
937,264,3,163
938,264,4,164
946,267,1,161
947,267,1,161
949,267,2,162
950,267,2,162
952,267,3,163
953,267,3,163
955,267,4,164
956,267,4,164
958,269,0,161
959,269,1,161
960,269,2,162
961,269,2,162
962,269,3,163
963,269,3,163
964,269,4,164
965,269,4,164
971,270,0,161
972,270,0,161
973,270,1,162
974,270,1,162
975,270,2,163
977,270,2,163
978,115,1,162
979,271,0,161
980,271,1,161
981,271,2,162
982,271,3,163
983,271,4,164
984,115,2,162
985,115,3,163
986,115,4,164
987,115,0,161
988,115,1,161
989,115,2,162
990,115,3,163
991,115,4,164
995,274,0,161
996,274,1,162
997,274,3,163
998,273,1,162
999,273,2,163
1000,273,0,161
1001,275,0,161
1002,275,1,162
1003,275,2,163
1014,272,0,161
1015,272,1,162
1016,272,2,163
1017,272,3,164
1030,246,1,161
1032,265,0,161
1033,265,2,163
1034,265,1,162
1035,265,3,164
1036,261,0,161
1037,261,1,162
1039,261,3,164
1042,22,3,164
1043,99,2,164
1057,208,3,164
1058,208,3,164
1059,283,0,161
1060,283,1,162
1061,283,2,163
1062,283,3,164
1063,103,3,164
1064,285,0,161
1065,285,1,162
1066,285,2,163
1067,285,3,164
1075,289,0,161
1076,289,1,162
1077,289,2,163
1078,290,0,161
1080,290,2,163
1081,291,0,161
1082,291,2,163
1084,292,0,161
1086,292,2,163
1087,293,0,161
1088,293,1,162
1089,293,2,163
1090,293,4,164
1091,294,0,161
1092,295,0,161
1093,295,1,162
1094,295,2,163
1096,296,1,161
1097,296,2,162
1098,296,3,163
1099,297,0,161
1100,297,1,162
1101,297,2,163
1106,268,0,161
1107,268,0,161
1108,268,1,161
1109,268,1,161
1110,268,2,162
1111,268,2,162
1112,268,3,163
1113,268,3,163
1114,268,3,163
1115,268,4,164
1116,298,1,161
1119,299,0,161
1120,299,1,162
1122,300,0,161
1123,300,1,162
1124,300,2,163
1125,301,0,161
1126,301,1,162
1127,301,2,163
1128,301,3,164
1132,303,0,161
1133,303,0,161
1135,303,1,162
1136,303,1,162
1137,303,2,163
1138,303,2,163
1139,304,0,161
1140,304,0,161
1142,304,0,161
1143,304,0,161
1144,304,0,162
1147,304,0,162
1148,305,0,161
1149,305,2,163
1150,305,1,162
1151,306,0,161
1152,306,1,162
1153,306,2,163
1155,304,2,164
1156,304,2,164
1159,304,1,162
1160,304,1,162
1162,304,1,163
1163,304,1,163
1164,304,1,163
1165,304,1,163
1166,308,0,161
1167,308,1,162
1168,308,2,163
1169,309,0,161
1170,309,1,162
1171,309,2,163
1172,310,0,161
1173,310,1,162
1174,310,2,163
1175,311,0,161
1176,311,1,162
1177,312,0,161
1178,312,1,162
1179,312,2,163
1180,312,3,164
1181,313,0,161
1182,313,1,162
1183,313,2,163
1184,314,0,161
1185,314,1,162
1186,314,2,163
1187,315,0,161
1188,315,1,162
1189,315,2,163
1190,316,0,161
1191,316,1,162
1192,317,0,0
1197,320,0,161
1198,320,1,162
1199,320,2,0
1200,319,0,161
1201,319,1,162
1202,319,2,163
1209,322,0,161
1210,322,1,161
1211,322,2,162
1212,322,3,162
1213,322,4,163
1214,322,5,164
1215,323,0,161
1216,323,1,161
1217,323,2,162
1218,323,3,162
1219,323,4,163
1220,323,5,164
1221,324,0,161
1222,324,1,161
1223,324,2,162
1224,324,3,162
1225,324,4,163
1226,324,5,164
1227,325,0,161
1228,325,1,162
1229,325,2,163
1231,326,1,162
1232,327,0,161
1233,328,0,161
1234,329,0,161
1235,330,0,161
1236,330,1,162
1237,330,2,162
1238,330,3,163
1239,330,4,164
1240,331,0,161
1241,331,1,162
1242,331,2,163
1243,331,3,164
1244,332,0,161
1245,332,1,162
1246,332,2,163
1247,332,3,164
1248,319,3,164
1249,333,0,161
1250,333,1,162
1251,333,2,163
1252,334,0,161
1253,334,1,162
1254,334,2,163
1255,335,0,161
1256,335,1,161
1257,335,2,161
1258,335,3,162
1259,335,4,162
1260,335,5,163
1261,335,6,163
1262,335,7,164
1263,336,0,161
1264,336,1,162
1267,337,0,162
1268,337,1,163
1270,338,0,162
1271,338,1,163
1272,251,4,164
1273,339,0,161
1274,339,1,162
1275,339,2,163
1276,339,3,164
1277,340,0,161
1278,340,1,162
1279,340,2,163
1280,340,3,164
1281,341,0,161
1282,341,1,162
1283,341,2,163
1284,341,3,164
1285,343,0,161
1286,343,1,162
1287,343,2,163
1288,343,3,164
1289,344,0,161
1290,344,1,162
1291,344,2,163
1292,344,3,164
1320,343,4,164
1321,344,5,164
1326,93,1,162
1327,93,2,163
1328,347,0,161
1329,347,1,161
1330,347,2,161
1331,347,3,162
1332,347,4,162
1333,347,5,162
1334,347,6,163
1335,347,7,163
1336,347,8,164
1337,348,1,161
1338,348,2,162
1339,348,3,163
1340,348,4,164
1341,349,0,161
1342,349,1,162
1343,349,3,164
1344,350,0,161
1345,350,1,162
1346,350,2,163
1347,350,3,164
1348,351,0,161
1349,351,1,161
1350,351,2,162
1351,351,3,162
1352,351,4,163
1353,351,5,164
1364,355,0,161
1365,355,1,161
1366,355,2,162
1367,355,3,163
1368,355,4,164
1372,357,0,161
1373,357,1,162
1374,357,2,163
1375,357,3,164
1383,360,0,161
1384,360,1,162
1385,360,2,163
1386,139,1,162
1387,139,2,163
1391,105,0,161
1392,105,1,162
1393,105,2,163
1394,105,3,164
1406,365,1,162
1407,365,2,163
1408,365,0,161
1409,365,3,163
1410,365,4,164
1411,366,0,161
1412,366,1,162
1413,366,2,163
1414,366,3,164
1415,367,0,161
1416,367,1,161
1417,367,2,162
1418,367,3,163
1419,367,4,164
1423,369,0,161
1424,369,1,161
1425,369,2,162
1426,369,3,163
1427,369,4,164
1428,370,0,161
1429,370,1,161
1430,370,2,162
1431,370,3,163
1432,370,4,164
1436,370,0,161
1437,370,1,161
1438,370,4,164
1439,370,2,162
1440,370,3,163
1445,373,0,161
1446,373,1,162
1447,373,2,163
1448,373,3,164
1449,374,1,162
1450,374,0,161
1451,374,2,163
1452,374,3,164
1466,293,3,164
1487,381,0,161
1488,381,1,162
1489,381,2,163
1490,381,3,164
1504,387,0,161
1505,387,1,162
1506,387,2,163
1507,387,3,164
1508,388,0,161
1509,388,0,161
1510,388,1,162
1511,388,2,163
1515,386,0,161
1516,386,1,162
1517,386,2,163
1519,391,0,161
1520,391,1,162
1521,391,2,163
1522,391,3,164
1539,397,0,161
1540,397,1,162
1541,397,2,163
1545,399,0,161
1546,399,1,161
1547,399,2,162
1548,399,3,163
1549,399,4,164
1559,407,0,161
1560,407,1,162
1561,407,2,163
1562,402,0,161
1563,402,1,162
1564,402,2,163
1565,402,3,164
1566,403,1,161
1567,403,2,162
1568,403,3,163
1569,403,4,164
1570,408,1,161
1571,408,2,162
1572,408,3,163
1573,404,0,161
1574,404,1,162
1575,404,2,163
1576,404,3,164
1577,405,0,161
1578,405,1,162
1579,405,2,163
1580,405,3,164
1581,406,0,161
1582,406,1,162
1583,406,2,163
1584,406,3,164
1585,409,0,161
1586,409,1,162
1587,409,2,163
1588,409,3,164
1589,169,2,0
1593,411,0,161
1594,411,1,162
1595,411,2,163
1596,411,3,164
1597,412,1,162
1598,412,0,161
1599,412,2,163
1600,412,3,164
1601,268,1,161
1602,268,2,163
1603,268,4,164
1611,416,0,161
1612,416,1,162
1613,416,2,163
1614,417,0,161
1615,417,1,162
1616,417,2,163
1620,419,0,161
1621,419,2,162
1622,419,3,163
1631,420,0,161
1632,420,1,161
1633,420,2,162
1634,420,3,162
1635,420,4,163
1636,420,5,164
1644,422,0,162
1646,422,1,164
1647,422,2,164
1648,421,0,161
1649,421,1,161
1650,421,2,162
1651,421,3,163
1652,421,4,164
1658,423,1,161
1659,423,2,161
1660,423,3,162
1661,423,4,163
1662,423,5,164
1663,424,0,161
1664,424,1,162
1665,424,2,163
1666,425,0,161
1667,425,1,162
1668,425,2,163
1669,426,0,161
1670,426,1,162
1671,426,2,163
1672,426,3,164
1673,429,0,161
1674,429,0,161
1675,429,1,162
1676,429,1,162
1677,429,2,163
1678,429,2,163
1679,429,3,164
1680,430,0,161
1681,430,0,161
1682,430,1,162
1683,430,1,162
1684,430,2,163
1685,430,2,163
1686,430,3,164
1687,427,0,161
1689,427,1,162
1690,427,2,163
1691,427,3,164
1692,428,0,161
1693,428,1,162
1694,428,2,163
1695,431,0,161
1696,431,1,162
1697,431,2,163
1698,431,3,164
1699,432,0,161
1700,432,1,162
1701,432,2,163
1702,432,3,164
1706,434,0,161
1707,434,1,161
1708,434,2,162
1709,434,3,163
1710,434,4,164
1711,435,0,161
1712,435,1,162
1713,435,2,163
1714,437,0,161
1715,437,1,162
1716,437,2,163
1717,436,0,161
1718,436,1,162
1719,436,2,163
1720,436,3,164
1721,438,0,161
1722,438,1,162
1723,438,2,163
1724,438,3,164
1725,247,2,162
1726,247,1,161
1727,439,0,161
1728,439,1,162
1729,439,2,163
1730,439,3,164
1731,440,0,161
1732,440,1,162
1733,440,2,163
1734,440,3,164
1735,441,0,161
1736,441,1,162
1737,441,2,163
1738,441,3,164
1739,442,0,161
1740,442,1,162
1741,442,2,163
1742,442,3,164
1743,443,0,161
1744,443,1,162
1745,443,2,163
1746,443,3,164
1754,445,1,162
1755,445,0,161
1756,445,2,163
1765,448,4,162
1766,448,5,163
1767,448,6,163
1768,448,7,164
1769,449,1,161
1770,449,2,161
1771,449,3,162
1772,449,4,162
1773,450,0,161
1775,451,0,161
1777,451,1,163
1778,451,2,164
1779,452,0,161
1780,452,1,162
1781,452,2,163
1807,349,2,162
1808,349,2,162
1809,350,1,161
1810,350,2,162
1811,350,3,163
1848,528,0,161
1849,473,0,161
1853,473,2,162
1854,473,2,162
1855,473,1,161
1856,473,3,163
1860,475,0,161
1861,475,1,162
1862,475,2,163
1863,475,3,164
1864,476,0,161
1865,476,1,162
1866,476,2,163
1867,476,3,164
1871,478,0,161
1872,478,1,161
1873,478,2,162
1874,478,3,163
1875,478,4,164
1893,483,0,161
1894,483,1,162
1895,483,2,163
1896,483,3,164
1897,381,4,164
1899,484,0,161
1900,484,1,162
1901,484,2,163
1902,484,3,164
1903,387,0,161
1904,387,1,162
1905,387,2,163
1906,387,3,164
1907,386,3,164
1908,485,0,162
1911,487,0,161
1915,488,1,163
1928,490,0,161
1929,490,1,162
1930,490,2,163
1945,488,0,162
1949,489,0,162
1950,489,1,163
1984,507,0,161
1985,508,0,161
2059,325,3,163
2060,528,1,161
2061,528,2,161
2062,528,3,162
2063,528,4,162
2064,528,5,163
2065,528,6,163
2066,528,7,164
2067,236,1,161
2068,236,2,162
2069,236,3,163
2070,529,0,161
2071,529,1,162
2072,529,2,163
2073,274,2,163
2074,537,0,161
2075,537,1,162
2076,537,2,163
2077,274,4,164
2078,535,0,161
2079,535,1,162
2080,535,2,163
2081,538,0,161
2082,538,1,162
2083,538,2,163
2084,539,0,161
2085,539,1,162
2086,539,2,163
2087,530,0,161
2088,530,1,162
2089,530,2,163
2090,531,0,161
2091,531,1,162
2092,531,2,163
2093,532,0,161
2094,532,1,162
2095,532,2,163
2096,533,0,161
2097,533,1,162
2098,533,2,163
2099,534,0,161
2100,534,1,162
2101,534,2,163
2102,536,0,161
2103,536,1,162
2104,536,2,163
2105,540,0,161
2106,540,1,162
2107,540,2,163
2108,541,0,161
2109,541,1,162
2110,541,2,163
2111,542,0,161
2112,542,1,162
2113,542,2,163
2114,543,0,161
2115,543,1,162
2116,543,2,163
2117,544,0,161
2118,544,1,162
2119,544,2,163
2120,409,4,164
2121,306,0,161
2122,306,1,162
2123,306,2,163
2125,530,3,164
2126,529,3,164
2127,531,3,164
2128,532,3,164
2129,533,3,164
2130,534,3,164
2131,535,3,164
2132,536,3,164
2133,538,3,164
2134,537,3,164
2135,539,3,164
2136,540,3,164
2137,541,3,164
2138,542,3,164
2139,543,3,164
2140,544,3,164
2141,545,0,161
2142,545,1,162
2143,545,2,163
2144,545,3,164
2145,546,0,161
2146,546,1,162
2147,546,2,163
2148,546,3,164
2149,419,1,162
2150,547,0,161
2151,547,1,161
2152,547,2,162
2153,547,3,163
2154,547,4,163
2156,547,5,164
2157,265,0,161
2158,265,1,162
2159,548,0,161
2160,548,1,162
2161,548,2,163
2162,549,0,161
2163,549,1,162
2164,549,2,163
2165,549,3,164
2166,550,0,161
2167,550,1,162
2168,550,2,163
2169,550,3,164
2170,551,0,161
2171,551,1,162
2172,551,2,163
2173,551,3,164
2174,552,0,161
2175,552,1,161
2176,552,2,162
2177,552,3,163
2178,552,4,164
2179,553,1,161
2180,554,1,161
2181,554,2,162
2182,554,3,163
2183,553,2,163
2184,553,0,161
2185,428,3,164
2186,555,0,161
2187,555,1,162
2188,555,2,164
2190,556,1,163
2191,556,0,162
2193,556,2,164
2200,553,0,161
2201,553,0,161
2202,553,1,162
2203,553,2,163
2204,553,2,163
2205,553,1,162
2207,557,0,162
2208,557,1,163
2209,557,2,164
2210,558,1,161
2211,558,2,162
2212,558,3,163
2214,558,1,161
2215,558,2,162
2216,558,3,163
2217,558,3,163
2230,561,0,161
2232,562,0,161
2235,563,1,162
2236,563,2,163
2238,564,1,162
2239,564,2,163
2240,490,3,164
2241,565,0,161
2242,565,1,162
2243,565,2,163
2244,565,3,164
2245,566,0,161
2246,566,1,162
2247,566,2,163
2248,567,0,161
2249,567,1,162
2250,567,2,163
2262,569,0,161
2263,569,1,162
2264,569,2,163
2265,569,3,164
2266,570,0,161
2267,570,1,162
2268,570,2,163
2269,571,0,161
2270,571,1,162
2271,571,2,163
2272,572,0,161
2273,572,1,162
2274,572,2,163
2275,572,3,164
2276,573,0,161
2277,573,1,162
2278,573,2,163
2279,574,0,161
2280,574,1,162
2281,574,2,163
2282,575,0,161
2283,575,1,162
2284,575,2,163
2285,576,0,161
2286,576,1,162
2287,576,2,163
2288,577,0,161
2289,577,1,162
2290,577,2,163
2291,578,0,161
2292,578,1,162
2293,578,2,163
2294,579,0,161
2295,579,1,162
2296,579,2,163
2298,580,0,161
2299,580,2,163
2300,580,1,162
2301,580,3,164
2302,579,3,164
2303,581,0,161
2304,581,1,162
2305,581,2,163
2306,582,0,161
2307,582,1,162
2308,582,2,163
2309,583,0,161
2310,583,1,162
2311,583,2,163
2312,583,3,164
2314,584,0,161
2315,584,1,162
2316,584,2,163
2317,584,3,164
2318,585,0,161
2319,585,1,162
2320,585,2,163
2321,585,3,164
2322,586,0,161
2323,586,1,162
2324,586,2,163
2325,586,3,164
2326,588,1,161
2327,587,0,161
2328,587,1,162
2329,587,2,162
2330,588,2,162
2331,588,3,163
2332,588,4,164
2333,589,0,161
2334,589,1,162
2335,589,2,163
2337,593,1,161
2340,594,1,161
2343,595,1,161
2347,593,1,161
2349,593,2,162
2350,593,2,162
2351,593,3,163
2352,593,3,163
2354,593,3,163
2355,594,1,161
2356,594,1,161
2357,594,2,162
2358,594,2,162
2359,594,2,162
2360,594,3,163
2361,594,3,163
2362,594,3,163
2363,594,3,163
2364,594,3,163
2366,595,1,161
2368,595,1,161
2369,595,1,161
2371,595,2,162
