"ID","creature2Id","targetGroupId","count","virtualItemIdDisplay"
1,0,1786,5,3
2,0,1787,4,0
3,0,2270,4,369
4,0,2738,4,376
5,0,2121,5,43
7,0,1894,8,208
8,0,5210,5,384
9,0,2279,8,209
11,0,1984,5,207
12,5006,0,3,0
17,0,2168,10,277
18,0,2172,5,0
20,0,2247,8,0
22,0,2423,8,42
23,0,2407,12,0
27,0,2103,8,360
30,0,2612,90,493
31,0,6655,15,822
33,0,6655,15,346
35,0,2633,10,318
38,0,8504,8,41
45,0,10594,5,40
46,0,2966,10,0
47,0,11029,5,40
48,0,2933,70,54
56,0,7905,8,395
60,0,8387,8,737
62,0,6936,10,110
64,0,6936,10,110
65,0,3562,6,155
66,0,4639,12,164
67,0,3481,20,157
68,0,3639,8,0
69,0,3880,9,408
70,0,3935,12,241
71,0,4224,15,590
78,0,4521,15,1165
80,0,4529,15,646
81,0,4553,15,652
87,0,10323,8,509
88,0,7105,15,512
89,0,5007,4,513
90,0,5010,12,514
91,0,10329,10,508
92,0,5038,12,507
93,41146,0,5,933
109,43112,0,1,0
125,0,7016,15,863
126,0,7972,15,877
127,0,7972,15,877
129,0,7964,6,932
130,0,8027,15,937
131,0,8175,9,954
132,0,8192,5,963
133,0,0,10,1015
