"ID","periodicQuestSetId","periodicQuestsOffered","maxPeriodicQuestsAllowed","weight","contractTypeEnum","contractQualityEnum"
1,1,4294967295,4294967295,1,0,0
2,2,2,1,3,0,0
3,2,1,1,1,0,0
4,3,1,1,1,0,0
5,3,1,1,1,0,0
6,4,1,1,1,0,0
7,5,4294967295,1,1,0,0
8,6,4294967295,1,1,0,0
9,6,4294967295,1,1,0,0
10,6,4294967295,1,1,0,0
12,8,4294967295,1,1,0,0
13,9,4294967295,4294967295,1,0,0
14,10,1,1,1,0,0
15,11,1,1,1,0,0
16,12,1,1,1,0,0
17,12,1,1,1,0,0
18,12,2,2,1,0,0
19,12,3,3,1,0,0
20,14,1,1,1,0,0
21,14,1,1,1,0,0
22,14,1,1,1,0,0
24,16,4,2,1,0,0
25,16,3,2,1,0,0
26,17,5,3,1,0,0
27,18,10,1,1,0,0
28,19,10,1,1,0,0
29,20,4294967295,1,1,0,0
30,21,4294967295,2,1,0,0
31,22,4294967295,1,1,0,0
32,23,4294967295,1,1,0,0
33,24,1,1,1,0,0
34,24,2,2,1,0,0
35,25,1,1,1,0,0
36,25,2,2,1,0,0
37,26,4294967295,1,1,0,0
40,27,4294967295,4294967295,1,0,0
41,28,4294967295,4294967295,1,0,0
42,29,4294967295,4294967295,1,0,0
43,30,4294967295,4294967295,1,0,0
44,31,4294967295,4294967295,1,0,0
45,32,4294967295,4294967295,1,0,0
46,33,4294967295,4294967295,1,0,0
47,34,4294967295,4294967295,1,0,0
48,35,4294967295,4294967295,1,0,0
49,36,4294967295,4294967295,1,1,1
50,36,3,4294967295,1,1,2
51,36,1,4294967295,1,1,3
52,37,4294967295,4294967295,1,2,1
53,37,3,4294967295,1,2,2
54,37,1,4294967295,1,2,3
55,38,1,1,1,0,0
56,39,1,1,1,0,0
57,40,1,1,1,0,0
58,41,1,1,1,0,0
59,42,1,1,1,0,0
60,43,1,1,1,0,0
61,44,1,1,1,0,0
62,45,1,1,1,0,0
63,46,4294967295,1,1,0,0
64,47,4294967295,1,1,0,0
65,48,4294967295,1,1,0,0
66,49,4294967295,1,1,0,0
67,50,4294967295,1,1,0,0
68,51,4294967295,4294967295,1,0,0
69,52,4294967295,4294967295,1,0,0
70,53,4294967295,4294967295,1,0,0
71,54,4294967295,4294967295,1,0,0
72,55,4294967295,4294967295,1,0,0
73,56,4294967295,4294967295,1,0,0
74,57,4294967295,4294967295,1,0,0
77,60,4294967295,4294967295,1,0,0
78,61,1,6,1,0,0
79,62,1,6,1,0,0
80,63,1,2,1,0,0
81,64,1,2,1,0,0
82,65,1,5,1,0,0
83,66,1,5,1,0,0
84,67,1,1,1,0,0
85,68,1,1,1,0,0
86,69,1,3,1,0,0
87,70,1,3,1,0,0
88,71,1,1,1,0,0
89,71,2,2,1,0,0
90,72,1,1,1,0,0
91,72,2,2,1,0,0
