"ID","periodicQuestSetCategoryId","periodicGroupsOffered","weight"
1,1,4294967295,1
2,2,1,4
3,2,1,1
4,2,1,1
5,3,4294967295,1
6,4,1,1
8,5,1,1
9,6,4294967295,1
10,7,1,1
11,8,1,1
12,9,4,1
14,10,3,1
16,15,2,1
17,15,1,1
18,16,1,1
19,17,1,1
20,18,4294967295,1
21,19,4294967295,1
22,20,4294967295,1
23,21,1,1
24,22,2,1
25,23,2,1
26,24,4294967295,1
27,6,4294967295,1
28,6,4294967295,1
29,6,4294967295,1
30,6,4294967295,1
31,6,4294967295,1
32,6,4294967295,1
33,6,4294967295,1
34,6,4294967295,1
35,6,4294967295,1
36,25,4294967295,1
37,25,4294967295,1
38,26,1,1
39,27,1,1
40,28,1,1
41,29,1,1
42,30,1,1
43,31,1,1
44,32,1,1
45,33,1,1
46,34,1,1
47,35,1,1
48,36,1,1
49,37,1,1
50,38,1,1
51,39,4294967295,1
52,39,4294967295,1
53,39,4294967295,1
54,39,4294967295,1
55,39,4294967295,1
56,39,4294967295,1
57,39,4294967295,1
60,39,4294967295,1
61,40,1,1
62,41,1,1
63,42,1,1
64,43,1,1
65,44,1,1
66,45,1,1
67,46,1,1
68,47,1,1
69,48,1,1
70,49,1,1
71,50,2,1
72,51,2,1
