"ID","unlockBitIndex00","unlockBitIndex01","type","spell4Id","localizedTextIdTooltip","itemDisplayId00","itemDisplayId01","prerequisiteId"
1,127,0,2,63551,541574,6992,0,0
2,126,0,3,63552,541575,6993,0,0
3,125,0,0,44008,483711,0,0,0
4,124,0,0,44010,483712,0,0,0
5,123,0,0,44011,483713,0,0,0
6,122,0,0,44012,507295,0,0,0
7,121,0,0,46215,507296,0,0,0
8,120,0,0,46216,507297,0,0,0
9,119,0,0,46217,507298,0,0,0
10,118,117,4,72272,589674,7813,7814,0
11,116,0,1,46911,483590,6997,0,0
12,115,0,1,46912,483591,6998,0,0
13,114,0,1,46913,483592,6999,0,0
14,113,0,1,46914,483593,7000,0,0
15,112,0,1,46915,483594,7001,0,0
16,111,0,1,46916,483595,7002,0,0
17,110,0,1,46917,483596,7003,0,0
18,109,0,1,46918,483597,7009,0,0
19,108,0,1,46919,483598,7004,0,0
20,107,0,1,46964,483599,7005,0,0
21,106,0,1,47352,483600,7006,0,0
22,105,0,5,63668,542982,7047,0,0
23,104,0,6,63669,542983,7048,0,0
24,103,0,7,63670,542984,7049,0,0
25,102,0,1,49905,483601,7007,0,0
26,101,0,1,49909,483604,7008,0,0
27,100,0,2,63709,543207,6992,0,0
28,99,0,3,63711,543209,6993,0,0
29,98,97,4,63712,543210,6994,6995,0
30,96,0,2,63714,543341,7013,0,0
31,95,0,3,63715,543342,7014,0,0
32,94,93,4,63716,543343,7012,7015,0
33,92,0,2,63717,543345,7043,0,0
34,91,0,3,63718,543346,7044,0,0
35,90,89,4,63719,543347,7045,7046,0
36,88,0,2,63720,543352,7051,0,0
37,87,0,3,63721,543351,7053,0,0
38,86,85,4,63722,543353,7050,7052,0
39,84,0,2,63723,543364,7055,0,0
40,83,0,3,63725,543366,7057,0,0
41,82,81,4,63727,543368,7054,7056,0
42,80,0,2,63728,543371,7059,0,0
43,79,0,3,63729,543374,7061,0,0
44,78,77,4,63730,543375,7058,7060,0
45,76,0,2,63731,543378,7063,0,0
46,75,0,3,63732,543377,7065,0,0
47,74,73,4,63733,543381,7062,7064,0
48,72,0,2,63734,543384,7067,0,0
49,71,0,3,63735,543389,7069,0,0
50,70,69,4,63736,543390,7066,7068,0
51,68,0,2,63737,543391,7071,0,0
52,67,0,3,63738,543393,7073,0,0
53,66,65,4,63739,543396,7070,7072,0
54,64,0,2,63740,543398,7075,0,0
55,63,0,3,63741,543399,7077,0,0
56,62,61,4,63742,543400,7074,7076,0
57,60,0,2,63743,543412,7079,0,0
58,59,0,3,63744,543413,7081,0,0
59,58,57,4,63745,543414,7078,7080,0
60,56,0,2,63746,543415,7083,0,0
61,55,0,3,63749,543417,7085,0,0
62,54,53,4,63750,543418,7082,7084,0
63,52,0,2,63751,543420,7087,0,0
64,51,0,3,63752,543422,7089,0,0
65,50,49,4,63753,543423,7086,7088,0
66,48,0,2,63754,543425,7091,0,0
67,47,0,3,63755,543427,7093,0,0
68,46,45,4,63756,543432,7090,7092,0
69,44,0,2,63757,543437,7095,0,0
70,43,0,3,63758,543438,7097,0,0
71,42,41,4,63759,543439,7094,7096,0
72,40,0,2,63760,543455,7099,0,0
73,39,0,3,63762,543459,7101,0,0
74,38,37,4,63763,543460,7098,7100,0
75,36,0,5,63764,543526,7047,0,0
76,35,0,6,63765,543527,7048,0,0
77,34,0,7,63766,543528,7049,0,0
78,33,0,5,63767,543574,7102,0,0
79,32,0,6,63768,543576,7103,0,0
80,31,0,7,63769,543578,7104,0,0
81,30,0,5,63770,543583,7105,0,0
82,29,0,6,63771,543584,7106,0,0
83,28,0,7,63772,543585,7107,0,0
84,27,0,5,63773,543592,7108,0,0
85,26,0,6,63774,543594,7109,0,0
86,25,0,7,63775,543595,7110,0,0
87,24,0,5,63776,543596,7111,0,0
88,23,0,6,63777,543597,7112,0,0
89,22,0,7,63778,543598,7113,0,0
90,21,0,5,63779,543599,7114,0,0
91,20,0,6,63780,543600,7115,0,0
92,19,0,7,63781,543602,7116,0,0
