"ID","angleCenter","angleRange","flags"
1,0,90,0
2,180,90,0
3,0,90,0
4,210,300,0
5,150,300,0
6,0,300,0
8,90,36,1
9,270,36,1
10,126,36,1
11,306,36,1
12,162,36,1
13,342,36,1
14,198,36,1
15,18,36,1
16,234,36,1
17,54,36,1
18,180,90,1
19,0,300,1
20,0,60,1
23,180,30,0
24,270,90,0
25,225,90,0
26,180,90,0
27,135,90,0
28,90,90,0
29,0,180,0
30,90,180,0
31,180,180,0
32,270,180,0
33,0,45,1
34,180,45,1
35,90,45,1
36,270,45,1
37,67,45,1
38,247,45,1
39,157,45,1
40,337,45,1
41,30,60,1
42,90,60,1
43,150,60,1
44,210,60,1
45,270,60,1
46,330,60,1
47,0,90,0
48,180,90,1
49,360,15,0
50,180,90,0
51,0,90,1
52,180,120,0
53,180,140,0
54,280,29,0
55,80,29,0
