"ID","positionX","positionY","primalMatrixNodeTypeEnum","flags","maxAllocations","costRedEssence","costBlueEssence","costGreenEssence","costPurpleEssence","primalMatrixRewardIdWarrior","primalMatrixRewardIdEngineer","primalMatrixRewardIdEsper","primalMatrixRewardIdMedic","primalMatrixRewardIdStalker","primalMatrixRewardIdSpellslinger"
1,0,0,0,1,1,5000,0,0,0,65,65,65,65,65,65
2,1,0,0,0,1,0,0,5000,0,67,67,67,67,67,67
3,1,1,0,0,1,0,5000,0,0,68,68,68,68,68,68
4,0,2,0,0,1,5000,0,0,0,70,70,70,70,70,70
5,4294967295,2,0,0,1,0,0,5000,0,76,76,76,76,76,76
6,4294967295,1,0,0,1,0,5000,0,0,73,73,73,73,73,73
7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
8,4294967294,1,2,0,1,0,0,0,5000,51,51,51,51,51,51
9,2,4294967295,2,0,1,0,0,0,5000,51,51,51,51,51,51
10,0,3,2,0,1,0,0,0,5000,52,52,52,52,52,52
11,4294967292,0,0,0,3,0,7500,0,0,56,56,56,56,56,56
12,4294967293,0,0,0,3,0,0,7500,0,55,55,55,55,55,55
13,4294967293,1,0,0,3,7500,0,0,0,53,53,53,53,53,53
14,4294967292,2,0,0,3,0,7500,0,0,61,61,61,61,61,61
15,4294967291,2,0,0,3,0,0,7500,0,64,64,64,64,64,64
16,4294967291,1,0,0,3,7500,0,0,0,58,58,58,58,58,58
17,4294967292,1,1,0,1,0,0,0,0,0,0,0,0,0,0
18,4294967292,4294967295,2,0,1,0,0,0,7500,2,8,20,26,14,32
19,4294967290,1,2,0,1,0,0,0,7500,51,51,51,51,51,51
20,4294967290,3,2,0,1,0,0,0,7500,5,11,23,29,17,35
21,4,4294967292,0,0,3,0,0,7500,0,55,55,55,55,55,55
22,5,4294967292,0,0,3,7500,0,0,0,58,58,58,58,58,58
23,5,4294967293,0,0,3,0,7500,0,0,61,61,61,61,61,61
24,4,4294967294,0,0,3,0,0,7500,0,64,64,64,64,64,64
25,3,4294967294,0,0,3,7500,0,0,0,53,53,53,53,53,53
26,3,4294967293,0,0,3,0,7500,0,0,56,56,56,56,56,56
27,4,4294967293,1,0,1,0,0,0,0,0,0,0,0,0,0
28,4,4294967291,2,0,1,0,0,0,7500,3,9,21,27,15,33
29,6,4294967291,2,0,1,0,0,0,7500,51,51,51,51,51,51
30,6,4294967293,2,0,1,0,0,0,7500,6,12,24,30,18,36
