"ID","publicEventTypeEnum","publicEventId","statIndex","localizedTextIdStatName","iconPath"
1,3,0,0,293290,""
2,3,0,1,293291,""
3,4,0,0,293292,""
4,5,0,0,293293,""
5,5,0,1,293294,""
6,6,0,0,293295,""
7,6,0,1,293296,""
8,7,0,0,318058,""
11,0,0,0,0,""
12,7,0,1,321595,""
13,7,0,2,321653,""
14,7,0,3,321668,""
15,7,0,4,321669,""
16,9,0,0,344930,""
17,9,0,1,344931,""
18,9,0,2,344937,""
19,9,0,3,345008,""
21,2,0,0,393485,""
22,2,0,1,552918,""
23,2,0,2,552920,""
24,21,733,0,685138,"IconSprites:Icon_ItemMisc_Icon_WfestSnow_NotHit"
25,21,733,1,685139,"IconSprites:Icon_ItemMisc_Icon_WfestSnow_Hit"
28,21,776,0,739006,"IconSprites:Icon_ItemMisc_Icon_WfestSnow_NotHit"
29,21,776,1,739007,"IconSprites:Icon_ItemMisc_Icon_WfestSnow_Hit"
