"ID","localizedTextIdTitle","localizedTextIdDescription","localizedTextIdOption00","localizedTextIdOption01","localizedTextIdOption02","localizedTextIdOption03","localizedTextIdOption04","localizedTextIdLabel00","localizedTextIdLabel01","localizedTextIdLabel02","localizedTextIdLabel03","localizedTextIdLabel04","durationMS","assetPathSprite"
1,262715,262716,262717,262718,314502,262719,314503,312422,312423,312424,314504,314505,30000,""
2,286853,286854,286855,286856,286857,286858,0,314084,314085,314086,314087,0,90000,""
3,286879,286880,286881,286882,0,0,0,314089,314090,0,0,0,50000,""
4,286884,286885,286886,286887,0,0,0,314091,314092,0,0,0,50000,""
5,286889,286890,286891,286892,0,0,0,314093,314094,0,0,0,50000,""
6,286893,286894,286895,286896,0,0,0,314095,314096,0,0,0,50000,""
7,286899,286900,286901,286902,0,0,0,314097,314098,0,0,0,50000,""
8,286904,286905,286906,286907,0,0,0,314099,314100,0,0,0,50000,""
9,286910,286911,286912,286913,286914,0,0,314101,314102,314103,0,0,70000,""
10,286917,286918,286919,286920,286921,0,0,314104,314105,314106,0,0,70000,""
11,286923,286924,286925,286926,286927,0,0,314107,314108,314109,0,0,70000,""
12,286939,286940,286941,286942,286943,0,0,314110,314111,314112,0,0,70000,""
13,286973,286974,286975,286976,286977,0,0,314113,314114,314115,0,0,70000,""
14,286979,286980,286981,286982,286983,0,0,314116,314117,314118,0,0,70000,""
15,286984,286985,286986,286987,286988,0,0,314119,314120,314121,0,0,70000,""
16,286989,286990,286991,286992,0,0,0,314122,314123,0,0,0,70000,""
17,286995,286996,286997,286998,0,0,0,314124,314125,0,0,0,70000,""
18,287000,287001,287002,287003,0,0,0,314126,314127,0,0,0,70000,""
19,287004,287005,287006,287007,0,0,0,314128,314129,0,0,0,70000,""
20,287008,287009,287010,287011,0,0,0,528868,528869,0,0,0,50000,""
21,287012,287013,287014,287015,0,0,0,528864,528865,0,0,0,50000,""
22,287232,287233,287234,287235,287236,0,0,314131,314132,314133,0,0,70000,""
23,287279,287280,287281,287282,0,0,0,314134,314135,0,0,0,50000,""
24,348147,348148,348149,348150,348151,0,0,348152,348153,348154,0,0,90000,""
28,349026,349027,349028,349029,0,0,0,349030,349031,0,0,0,60000,""
29,349032,349033,349034,349035,0,0,0,349036,349037,0,0,0,60000,""
30,349038,349039,349040,349041,0,0,0,349042,349043,0,0,0,60000,""
31,349044,349045,349046,349047,0,0,0,349048,349049,0,0,0,60000,""
32,349050,349051,349052,349053,0,0,0,349054,349055,0,0,0,60000,""
33,349060,349061,349062,349063,0,0,0,349064,349065,0,0,0,60000,""
34,349087,349088,349089,349090,349091,0,0,349092,349093,349094,0,0,60000,""
35,349096,349097,349098,349099,0,0,0,349100,349101,0,0,0,60000,""
36,349102,349103,349104,349105,0,0,0,349106,349107,0,0,0,60000,""
37,349108,349109,349110,349111,0,0,0,349112,349113,0,0,0,60000,""
38,357418,357419,357420,357421,0,0,0,357422,357423,0,0,0,90000,""
39,428016,428017,428018,428019,428020,0,0,428024,428021,428022,428023,0,60000,""
40,428046,428047,428048,428049,428050,0,0,428051,428052,428053,0,0,60000,""
41,428164,428165,428166,428167,428168,0,0,428169,428170,428171,0,0,60000,""
42,432846,432847,432848,432849,432850,0,0,432851,432852,432853,0,0,45000,""
43,432854,432855,432856,432857,432858,0,0,432859,432860,432861,0,0,45000,""
44,432862,432863,432864,432865,432867,0,0,432869,432870,432871,0,0,45000,""
45,432873,432874,432875,432876,432877,0,0,432878,432879,432880,0,0,45000,""
46,432882,432883,432884,432885,432886,0,0,432887,432888,432889,0,0,45000,""
47,432891,432892,432893,432894,432895,0,0,432896,432897,432898,0,0,45000,""
48,432899,432900,432901,432902,0,0,0,432903,432904,0,0,0,45000,""
49,432905,432906,432907,432908,0,0,0,432909,432910,0,0,0,45000,""
50,441447,441448,441449,441450,441451,0,0,441452,441453,441454,0,0,45000,""
51,441455,441456,441457,441458,441459,0,0,441460,441461,441462,0,0,45000,""
52,516304,516305,516306,516307,0,0,0,516308,516309,0,0,0,30000,""
53,521805,521806,521807,521808,0,0,0,521809,521810,0,0,0,60000,""
54,567936,567937,567938,567939,0,0,0,567940,567941,0,0,0,45000,""
55,589817,589818,589819,589820,0,0,0,589821,589822,0,0,0,70000,""
56,590193,590194,590195,590196,0,0,0,590197,590198,0,0,0,60000,""
57,590199,590200,590201,590202,0,0,0,590203,590204,0,0,0,60000,""
58,596528,596529,596530,596531,0,0,0,596532,596533,0,0,0,60000,""
59,614221,614222,614223,614224,614225,614226,0,614227,614228,614229,614230,0,60000,""
60,616063,616064,616065,616092,0,0,0,616066,616067,0,0,0,60000,""
61,616068,616069,616070,616093,0,0,0,616071,616072,0,0,0,60000,""
62,616073,616074,616075,616094,0,0,0,616076,616077,0,0,0,60000,""
63,616078,616079,616080,616095,0,0,0,616081,616082,0,0,0,60000,""
64,622499,622500,622501,622502,0,0,0,622503,622504,0,0,0,60000,""
65,627462,627468,627469,627470,0,0,0,627471,627472,0,0,0,60000,""
66,627477,627478,627479,627480,0,0,0,627481,627482,0,0,0,60000,""
68,681719,681720,681721,681722,0,0,0,681723,681724,0,0,0,120000,""
