"ID","localizedTextIdTitle","localizedTextIdText","flags","conLevel","type","preq_level","preq_flags","preq_quest0","preq_quest01","preq_quest02","preq_race","preq_item","questPlayerFactionEnum","worldZoneId","localizedTextIdCompletionOverride","reward_xpOverride","reward_cashOverride","pushed_itemId0","pushed_itemId01","pushed_itemId02","pushed_itemId03","pushed_itemId04","pushed_itemId05","pushed_itemCount0","pushed_itemCount01","pushed_itemCount02","pushed_itemCount03","pushed_itemCount04","pushed_itemCount05","objective0","objective01","objective02","objective03","objective04","objective05","localizedTextIdGiverTextUnknown","localizedTextIdGiverTextAccepted","localizedTextIdReceiverTextAccepted","localizedTextIdReceiverTextAchieved","localizedTextIdGiverSayAccepted","localizedTextIdReceiverSayCompleted","preq_class","groupId","factionIdPreq0","factionIdPreq01","factionIdPreq02","factionLevelPreq0","factionLevelPreq01","factionLevelPreq02","factionLevelCompPreq0","factionLevelCompPreq01","factionLevelCompPreq02","questIdExclusionPreq0","questIdExclusionPreq1","questIdExclusionPreq2","localizedTextIdAcceptResponse","localizedTextIdCompleteResponse","WorldLocation2IdReceiver","worldLocation2IdAltReceiver00","worldLocation2IdAltReceiver01","worldLocation2IdAltReceiver02","prerequisiteIdAltReceiver00","prerequisiteIdAltReceiver01","prerequisiteIdAltReceiver02","questDirectionIdAltReceiver00","questDirectionIdAltReceiver01","questDirectionIdAltReceiver02","localizedTextIdCompletedSummary","localizedTextIdGiverIncompleteResponse","localizedTextIdReceiverIncompleteResponse","quest2DifficultyId","maxTimeAllowedMS","prerequisiteId","questShareEnum","subMissionPathType","localizedTextIdCompletedObjectiveShort","quest2SubTypeId","localizedTextIdMoreInfoSay00","localizedTextIdMoreInfoSay01","localizedTextIdMoreInfoSay02","localizedTextIdMoreInfoSay03","localizedTextIdMoreInfoSay04","localizedTextIdMoreInfoText00","localizedTextIdMoreInfoText01","localizedTextIdMoreInfoText02","localizedTextIdMoreInfoText03","localizedTextIdMoreInfoText04","virtualItemIdPushed00","virtualItemIdPushed01","virtualItemIdPushed02","virtualItemIdPushed03","virtualItemPushedCount00","virtualItemPushedCount01","virtualItemPushedCount02","virtualItemPushedCount03","virtualItemPushedObjectiveFlagsEnum00","virtualItemPushedObjectiveFlagsEnum01","virtualItemPushedObjectiveFlagsEnum02","virtualItemPushedObjectiveFlagsEnum03","questDirectionIdCompletion","faction2IdRewardReputation00","faction2IdRewardReputation01","rewardReputationOverride00","rewardReputationOverride01","questCategoryId","localizedTextIdGiverSayDecline","periodicQuestGroupId","periodicQuestWeight","questRepeatPeriodEnum","questContentFinderTypeEnum","groupSize"
1177,27344,27350,0,6,6,3,8,0,0,0,0,0,0,1480,27351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191905,268104,15718,27354,218924,268800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27348,27349,0,0,0,0,0,0,0,0,0,0,27352,268111,27347,1,0,0,1,4294967295,218326,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,52,218925,0,1,0,0,0
1804,45365,45367,16772,49,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1889,0,0,0,0,0,45369,0,45371,45372,45370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45376,45377,0,0,0,0,0,0,0,0,0,0,45368,0,0,3,0,0,1,4294967295,0,0,192849,192851,0,0,0,192850,192852,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,919,905,0,0,0,0,0,1,0,0,0
1805,45379,45381,163840,1,0,1,0,0,0,0,0,0,2,262,45394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,6807,0,0,0,0,45383,0,45385,45386,45384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45390,45391,0,0,0,0,0,0,0,0,0,0,45382,0,0,1,0,0,0,4294967295,0,0,192853,307494,307496,307498,0,192854,307495,307497,307499,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1806,45398,45405,0,1,0,1,0,0,0,0,0,0,2,262,45403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891,0,0,0,0,0,45768,0,45770,45771,45769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45735,45755,0,0,0,0,0,0,0,0,0,0,45406,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1807,45409,45410,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,0,0,0,0,0,45772,0,45774,45775,45773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45738,45757,0,0,0,0,0,0,0,0,0,0,45411,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1808,45412,45413,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893,0,0,0,0,0,45776,0,45777,45779,45778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45749,45759,0,0,0,0,0,0,0,0,0,0,45414,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1809,45415,45797,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1913,0,0,0,0,0,45780,0,45782,45783,45781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45750,45761,0,0,0,0,0,0,0,0,0,0,45798,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1812,45419,45799,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,0,0,0,0,0,45784,0,45786,45787,45785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45751,45763,0,0,0,0,0,0,0,0,0,0,45800,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1822,45723,45801,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,0,0,0,0,0,45788,0,45790,45791,45789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45752,45765,0,0,0,0,0,0,0,0,0,0,45802,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1823,45726,45803,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,0,0,0,0,0,45792,0,45794,45795,45793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45753,45767,0,0,0,0,0,0,0,0,0,0,45804,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1854,46153,0,0,1,0,0,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1855,46154,0,0,1,0,0,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1856,46158,0,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1857,46159,0,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,1,0,0
