"ID","quest2Id","questVOTextType","randomTextLineId"
1116,2026,0,2160
1120,2026,1,2163
1121,2026,2,845
1122,2026,3,1939
1123,2026,5,1503
2411,3549,0,1508
2412,3549,3,1582
2413,3549,1,1540
2498,3764,0,2155
2499,3764,3,1895
2500,3764,4,2443
2501,3764,5,1886
2647,3914,0,774
2648,3914,3,815
2649,3914,4,780
2650,3914,5,1893
2668,3919,4,1169
2669,3919,5,1204
2704,3928,0,2363
2705,3928,2,776
2706,3928,3,877
2707,3928,4,2056
2708,3928,5,2072
2744,4004,5,2088
2753,4018,5,1079
2793,4044,5,1893
2831,4075,0,1925
2832,4075,3,787
2833,4075,4,2443
2834,4075,5,1890
3175,3752,0,2359
3176,3752,1,1862
3177,3752,3,1901
3178,3752,4,777
3179,3752,5,907
3185,3756,0,1921
3186,3756,1,782
3187,3756,3,1897
3188,3756,4,1906
3189,3756,5,817
3194,3761,2,1904
3204,3787,0,1923
3205,3787,1,785
3206,3787,2,776
3207,3787,3,877
3208,3787,5,2725
3212,3790,4,779
3213,3790,5,1885
3214,3795,4,1904
3215,3795,5,894
3236,3819,4,1904
3237,3819,5,1879
3243,3828,0,806
3244,3828,1,1858
3245,3828,3,788
3246,3828,4,1903
3247,3828,5,1880
3248,3834,0,887
3249,3834,1,1872
3250,3834,3,1895
3251,3834,4,1902
3252,3834,5,894
3255,3835,0,1919
3256,3835,1,1861
3257,3835,3,1901
3258,3835,4,1903
3259,3835,5,904
3260,3836,0,774
3261,3836,1,1855
3262,3836,3,814
3263,3836,4,776
3264,3842,0,887
3265,3842,1,1857
3266,3842,3,878
3267,3842,4,779
3268,3842,5,1879
3269,3843,0,775
3270,3843,1,1856
3271,3843,3,876
3272,3843,4,1902
3273,3843,5,1893
3274,3844,0,772
3275,3844,1,1870
3276,3844,3,1897
3277,3844,4,2307
3278,3844,5,791
3289,3867,0,1924
3290,3867,1,828
3291,3867,3,1897
3292,3867,4,1903
3293,3867,5,1886
3366,3906,0,1918
3367,3906,1,1874
3368,3906,3,876
3369,3906,4,776
3370,3906,5,1892
3381,3943,0,1919
3382,3943,1,1866
3383,3943,3,1901
3384,3943,4,1904
3385,3943,5,1879
3386,3943,2,1902
3387,3944,0,2036
3388,3944,1,2002
3389,3944,3,2192
3390,3944,4,1524
3391,3944,5,1997
3397,3955,0,2288
3398,3955,1,2032
3399,3955,3,2026
3400,3955,4,1572
3401,3955,5,2136
3415,3976,4,2001
3416,3976,5,1525
3422,3978,4,1985
3423,3978,5,2013
3429,3989,4,1524
3430,3989,5,2133
3436,4000,0,2739
3437,4000,1,2019
3438,4000,3,1560
3439,4000,4,2197
3440,4000,5,1996
3441,4013,4,885
3442,4013,5,1882
3445,4024,0,2737
3446,4024,1,2244
3447,4024,3,1567
3448,4024,4,1524
3449,4024,5,1999
3450,4025,0,2287
3451,4025,1,2246
3452,4025,3,1991
3453,4025,4,1984
3454,4025,5,2135
3455,4026,0,2736
3456,4026,1,1989
3457,4026,3,2026
3458,4026,4,2197
3459,4026,5,2133
3460,4032,0,1925
3461,4032,1,1853
3462,4032,3,813
3463,4032,4,1904
3464,4032,5,1886
3465,4033,0,774
3466,4033,1,1866
3467,4033,3,814
3468,4033,4,1903
3469,4033,5,1879
3470,4034,0,1924
3471,4034,1,798
3472,4034,3,876
3473,4034,4,776
3474,4034,5,903
3475,4041,0,2036
3476,4041,1,2002
3477,4041,2,1984
3478,4041,3,2026
3479,4041,4,2001
3480,4041,5,1996
3496,4058,5,1880
3497,4059,0,1928
3498,4059,1,828
3499,4059,3,1901
3500,4059,4,2443
3501,4059,5,1882
3502,4060,0,887
3503,4060,1,1856
3504,4060,3,1896
3505,4060,4,1902
3506,4060,5,1879
3507,4061,0,1916
3508,4061,1,1463
3509,4061,3,813
3510,4061,4,1905
3511,4061,5,1881
3512,4062,0,1918
3513,4062,1,1866
3514,4062,3,1897
3515,4062,4,1902
3516,4062,5,1889
3517,4064,0,1920
3518,4064,1,1463
3519,4064,3,1895
3520,4064,4,1905
3521,4064,5,1882
3522,4066,0,1924
3523,4066,1,1857
3524,4066,3,1900
3525,4066,4,776
3526,4066,5,1889
3527,4068,0,1926
3528,4068,1,1866
3529,4068,3,1895
3530,4068,4,1906
3531,4068,5,1887
3532,4070,0,1931
3533,4070,1,828
3534,4070,3,813
3535,4070,4,776
3536,4070,5,1882
3537,4071,4,1903
3538,4071,5,791
3539,4071,0,1919
3540,4071,1,1857
3541,4071,3,1901
3542,4072,0,774
3543,4072,1,1857
3544,4072,3,1900
3545,4072,4,777
3546,4072,5,1879
3547,4074,0,1919
3548,4074,1,828
3549,4074,3,814
3550,4074,4,1905
3551,4074,5,1882
3557,4096,0,774
3558,4096,1,1866
3559,4096,3,814
3560,4096,4,777
3561,4096,5,1889
3562,4113,0,1919
3563,4113,1,1867
3564,4113,3,1897
3565,4113,4,780
3566,4113,5,1882
3567,4116,0,1918
3568,4116,1,1851
3569,4116,2,1905
3570,4116,3,814
3571,4116,5,893
3572,4123,4,1904
3573,4123,5,895
3574,4167,0,774
3575,4167,1,1851
3576,4167,2,1903
3577,4167,3,876
3578,4167,5,1876
3579,4185,0,2759
3580,4185,1,2755
3581,4185,3,2725
3582,4185,4,2757
3583,4185,5,2756
3584,4186,4,885
3585,4186,5,1879
3586,4210,0,2364
3587,4210,1,901
3588,4210,3,2156
3589,4210,4,1905
3590,4210,5,893
3591,4213,0,1916
3592,4213,1,1859
3593,4213,3,877
3594,4213,4,776
3595,4213,5,791
3596,4216,0,1058
3597,4216,1,1068
3598,4216,3,1080
3599,4216,4,1085
3600,4216,5,1038
3601,4217,0,1088
3602,4217,1,1067
3603,4217,3,1053
3604,4217,4,1084
3605,4217,5,1049
3606,4224,0,1917
3607,4224,1,1867
3608,4224,3,876
3609,4224,4,1904
3610,4224,5,1891
3611,4225,0,886
3612,4225,1,782
3613,4225,2,1320
3614,4225,3,1895
3615,4225,4,1903
3616,4225,5,893
3617,4230,4,1902
3618,4230,5,1880
3619,4236,0,2360
3620,4236,1,1854
3621,4236,3,812
3622,4236,4,779
3623,4236,5,1889
3624,4237,0,1919
3625,4237,1,1870
3626,4237,3,1896
3627,4237,4,2307
3628,4237,5,1880
3629,4239,0,913
3630,4239,1,782
3631,4239,3,1898
3632,4239,4,1905
3633,4239,5,893
3634,4270,0,2261
3635,4270,1,799
3636,4270,2,776
3637,4270,3,812
3638,4270,5,897
3639,4285,4,1320
3640,4285,5,1877
3641,4286,4,779
3642,4286,5,1889
3643,4290,0,913
3644,4290,1,1864
3645,4290,3,815
3646,4290,4,1904
3647,4290,5,1882
3648,4291,0,806
3649,4291,1,1873
3650,4291,3,877
3651,4291,4,779
3652,4291,5,1879
3653,4299,0,887
3654,4299,1,1855
3655,4299,3,1894
3656,4299,4,1904
3657,4299,5,1882
3658,4301,0,1923
3659,4301,1,1858
3660,4301,3,1894
3661,4301,4,1903
3662,4301,5,1881
3663,4302,0,2364
3664,4302,1,782
3665,4302,3,2156
3666,4302,4,2443
3667,4302,5,893
3668,4303,0,1926
3669,4303,1,1858
3670,4303,3,1895
3671,4303,4,1903
3672,4303,5,791
3673,4313,0,773
3674,4313,1,1866
3675,4313,3,878
3676,4313,4,2443
3677,4313,5,1885
3700,3953,0,2957
3701,3953,1,2958
3702,3953,3,2959
3703,3953,4,2960
3704,3953,5,2961
3719,3895,5,2851
3725,3739,5,2979
4139,5601,5,4321
4177,5595,0,3050
4179,5595,1,3051
4191,5697,5,4354
4203,5595,2,3086
4205,5595,3,3090
4294,5737,1,3059
4303,5736,1,3011
4304,5736,3,3087
4305,5736,6,3117
4306,5734,6,5502
4312,5736,4,3082
4588,3506,0,4019
4590,3506,1,4141
4591,3506,3,4258
4613,5766,5,4321
4617,5752,4,4114
4621,5752,5,4318
4650,5698,0,3965
4653,5698,3,4258
4824,5568,0,1917
4825,5568,0,803
4826,5568,0,1916
4827,5568,0,2930
4828,5568,0,1329
4829,5568,0,2927
4830,5568,1,782
4831,5568,1,1875
4832,5568,1,783
4833,5568,1,1893
4834,5568,4,1463
4835,5568,4,780
4836,5568,4,1933
4837,5568,5,1867
4838,5568,5,895
4839,5568,5,1889
4840,5568,5,1914
4841,5568,5,893
4842,5568,5,785
4879,5789,0,1926
4880,5789,0,2155
4881,5789,0,1933
4882,5789,1,1463
4883,5789,3,1899
4884,5789,5,896
5274,5937,5,7000
5360,5886,0,4017
5367,5886,1,4142
5379,5888,0,4014
5385,5888,1,4193
5389,5888,3,4262
5391,5888,4,4250
5392,5888,4,8253
5419,5888,6,4202
5433,5890,0,4082
5434,5890,0,3981
5435,5890,1,4130
5436,5890,1,4118
5437,5890,1,4115
5438,5890,1,4112
5439,5890,1,4109
5440,5890,1,4103
5450,5890,4,4217
5451,5890,3,4253
5453,5886,3,4259
5466,5890,6,4271
5484,5892,1,4157
5874,3295,5,4869
5893,3320,0,4675
5928,5444,0,3975
5929,5444,1,4163
5930,5444,4,4226
5944,5504,5,3113
5945,5505,5,3109
5946,5506,5,3114
5947,5507,5,3119
6365,6150,5,9482
6368,6151,0,9228
6369,6151,6,9360
6373,6153,0,9218
6374,6153,1,9335
6474,6154,5,9518
6475,6154,6,9458
6511,3166,6,4911
6519,3300,0,4883
6520,3301,0,4889
6538,6159,0,9128
6539,6159,1,9287
6542,6159,5,9865
6547,6158,1,9329
6580,6150,1,9356
6610,6455,0,4078
6622,6457,0,6757
6623,6457,5,6758
