"ID","quest2Id","quest2RewardTypeId","objectId","objectAmount","flags"
158,1,2,177,100,1
159,1,1,1,1,1
1038,2042,1,4469,1,0
1039,2043,1,4471,1,0
1040,2044,1,4470,1,0
1041,2045,1,4467,1,0
1042,2046,1,4469,1,0
1043,2047,1,4471,1,0
1044,2050,1,4474,1,0
1045,2051,1,4475,1,0
1046,2052,1,4476,1,0
1047,2050,1,4083,100,0
1048,2051,1,4473,100,0
1049,2052,1,4084,100,0
1070,2073,1,4507,1,0
1071,2058,1,4508,1,0
1072,2059,1,4508,1,0
1073,2074,1,4509,1,0
1074,2075,1,4510,1,0
1075,2076,1,4512,1,0
1076,2077,1,4513,1,0
1077,2078,1,4512,1,0
1078,2079,1,4514,1,0
1079,2080,1,4518,1,0
1080,2081,1,4518,1,0
1081,2082,1,4519,1,0
1082,2083,1,4605,1,0
1083,2084,1,4606,1,0
1084,2085,1,4606,1,0
1087,2137,1,4481,1,0
1088,2137,1,4464,2,0
1089,2137,1,4466,1,0
1090,2137,1,4507,1,0
1091,2138,1,4484,1,0
1092,2138,1,4465,3,0
1093,2138,1,4508,1,0
1094,2139,1,4482,1,0
1095,2139,1,4485,1,0
1096,2139,1,4483,1,0
1097,2139,1,4463,7,0
1098,2139,1,4464,2,0
1099,2139,1,4507,3,0
1100,2140,1,4489,1,0
1101,2140,1,4495,1,0
1102,2140,1,4501,1,0
1103,2140,1,4465,12,0
1104,2140,1,4514,1,0
1105,2140,1,4509,1,0
1106,2140,1,4519,1,0
1107,2140,1,4507,1,0
1108,2141,1,4491,1,0
1109,2141,1,4497,1,0
1110,2141,1,4503,1,0
1112,2203,1,4659,1,0
1113,2206,1,4659,1,0
1134,2369,1,4969,1,0
1364,2520,1,5484,1,0
1371,2531,1,3876,5,0
1372,2531,1,3878,5,0
1373,2531,1,3877,5,0
1427,2388,2,533,975,0
1479,2812,1,5806,2,0
1480,2817,1,5805,5,0
1520,3123,1,6003,1,0
1521,3145,1,6017,1,0
1523,3150,1,6193,1,0
1524,3258,1,6017,1,0
1558,3158,2,609,225,0
1575,3297,1,6377,3,0
1576,3780,1,27898,1,1
1608,3524,1,6484,1,0
1621,3489,1,1375,1,1
1623,3489,1,1377,1,1
1652,3696,1,6296,1,1
1653,3696,1,6297,1,1
1654,3696,1,6298,1,1
1655,3696,1,6299,1,1
1656,3696,2,609,225,0
1657,3697,1,6296,1,1
1658,3697,1,6297,1,1
1659,3697,1,6298,1,1
1660,3697,1,6299,1,1
1661,3697,2,609,225,0
1666,3724,1,6267,1,1
1667,3724,1,6268,1,1
1668,3724,1,6269,1,1
1669,3725,1,6267,1,1
1670,3725,1,6268,1,1
1671,3725,1,6269,1,1
1676,3480,1,30459,1,1
1677,3480,1,30460,1,1
1678,3480,1,30461,1,1
1679,7011,1,8535,1,0
1680,7008,1,8525,1,1
1681,7008,1,8529,1,1
1706,3486,1,13329,1,1
1707,3486,1,1377,1,1
1712,3741,1,81917,3,0
1713,7008,1,8532,1,1
1715,3895,1,7006,1,1
1716,3895,1,7028,1,1
1719,4046,2,703,100,0
1736,3925,1,13482,1,1
1795,4784,1,13453,1,1
1797,4784,1,28016,1,1
1798,5021,1,28020,1,1
1820,4109,1,28041,1,3
1821,3925,1,17951,1,1
1843,3939,1,12696,1,1
1844,3913,1,12729,1,1
1845,5465,1,28077,1,1
1846,5465,1,12732,1,1
1888,3914,2,260,200,0
1893,3919,2,260,400,0
1902,3928,2,260,600,0
1921,4075,2,260,200,0
1935,4004,2,260,800,0
1941,4018,2,260,800,0
1943,4043,2,260,800,0
1944,4044,2,260,800,0
1996,4350,2,733,175,0
1997,4351,2,733,175,0
2001,5260,1,14041,1,1
2008,4353,2,733,175,0
2013,4354,2,733,175,0
2014,4355,2,733,175,0
2020,4357,2,733,250,0
2029,4467,2,733,150,0
2030,4468,2,733,500,0
2031,4360,2,733,50,0
2032,4361,2,733,175,0
2037,4362,2,733,175,0
2038,4363,2,733,75,0
2039,4364,2,733,75,0
2045,4366,2,733,175,0
2046,4367,2,733,175,0
2047,4368,2,733,75,0
2053,4463,2,733,150,0
2055,4465,2,733,500,0
2056,4359,2,733,175,0
2062,4372,2,733,175,0
2068,4461,2,733,150,0
2069,4462,2,733,150,0
2070,4469,2,733,150,0
2072,4477,2,733,500,0
2145,4529,2,733,175,0
2147,3486,1,14102,1,1
2159,4545,2,733,175,0
2161,4652,1,12424,1,0
2177,4891,1,8568,1,1
2184,7019,1,8468,1,1
2187,3673,1,12654,1,1
2188,3673,1,12655,1,1
2189,3673,1,12656,1,1
2190,3668,1,81334,1,1
2191,3668,1,81331,1,1
2192,3886,1,27868,1,1
2195,4825,1,28078,1,1
2196,5261,1,28069,1,1
2199,5021,1,28036,1,1
2200,4109,1,13464,1,3
2202,3939,1,12700,1,1
2204,3939,1,28045,1,1
2206,3939,1,28035,1,1
2207,3780,1,27899,1,1
2208,3780,1,27900,1,1
2209,5318,1,28076,1,1
2210,4828,1,28054,1,1
2211,4828,1,28055,1,1
2213,5261,1,12748,1,1
2216,4713,1,81918,3,0
2219,3925,1,13484,1,1
2221,3925,1,13483,1,1
