"ID","description","localizedTextIdTitle","questCategoryTypeEnum"
1,"General",321040,0
28,"Zone - Exile Arkship - The Gambler's Ruin",327534,0
29,"Zone - Dominion Arkship - The Destiny",327535,0
30,"Zone - Northern Wilds",327536,0
31,"Zone - Everstar Grove",327537,0
32,"Zone - Crimson Isle",327538,0
33,"Zone - Levian Bay",327539,0
34,"Zone - Algoroc",327540,0
35,"Zone - Celestion",327541,0
36,"Zone - Deradune",327542,0
37,"Zone - Ellevar",327543,0
38,"Zone - Galeras",327546,0
39,"Zone - Auroria",327547,0
40,"Zone - Whitevale",327548,0
41,"Zone - Dreadmoor",327550,0
42,"Zone - Farside",327551,0
43,"Zone - Coralus",327552,0
44,"Zone - Murkmire",327553,0
45,"Zone - Wilderrun",327554,0
46,"Zone - Malgrave",327555,0
47,"Zone - Halon Ring 1 - Borellian Cluster",327556,0
48,"Zone - Grimvault",327557,0
49,"Dungeon",327558,0
50,"Adventure",327559,0
51,"Zone - Eternity Islands - Public Event Island",327560,0
52,"Housing",327586,0
53,"Tradeskills",327608,0
54,"Zone - Northern Malgrave",327613,0
55,"Zone - Halon Ring 2 - Apex-9",327618,0
56,"Pocket Cap - Crimson Badlands",327885,0
57,"Pocket Cap - Northern Wastes",328246,0
58,"Shiphand Missions",328252,0
60,"World Story",458361,0
61,"Protostar Extravaganza",512117,0
62,"Item Imbuements",535919,0
63,"Daily Quests",543473,0
64,"Capital City - Thayd",571099,0
65,"Capital City - Illium",571100,0
66,"Malgrave PCP - Containment R-12",581095,0
67,"Pocket Cap - Star-Comm Basin",591792,0
68,"Live Events - Holiday - Shade's Eve",623022,0
69,"Live Events - Holiday - Protostar Winterfest",623023,0
70,"Live Events - Holiday - Party Gras",623024,0
71,"Live Events - Holiday - Starfall",623025,0
72,"Elder Gem Weekly Quests",627178,0
73,"Zone - Blighthaven (Grimvault Tract 3)",640600,0
74,"Zone - The Defile (Grimvault Tract 4)",640604,0
75,"Weekly Quests",676467,0
76,"Raid",680839,0
77,"Zone - Arcterra",685099,0
78,"Live Events - HA15 - Hoverboard Appreciation 2015",703121,6
79,"PvP",755556,0
80,"Live Events - HE17Q3 - Residence Renovation",770895,6
