"ID","worldLocation2Id","worldLocation2IdInactive","worldZoneId","questDirectionEntryFlags","questDirectionFactionEnum"
2,20560,0,1309,1,0
3,19383,0,1310,1,0
4,19961,0,1310,0,0
5,19384,0,1310,0,0
6,19386,0,1310,0,0
7,19323,0,1310,0,0
8,19614,0,1309,0,0
9,19611,0,1310,0,0
10,19932,0,1309,1,0
11,19986,0,1346,0,0
12,20018,0,1346,0,0
13,20018,0,1346,0,0
14,20585,0,1309,1,0
15,19336,0,1311,1,0
16,21292,0,1426,0,0
17,26340,0,1398,0,0
18,21355,0,1427,0,0
19,21487,0,2445,0,0
25,19449,0,1354,0,0
30,20152,0,2878,0,0
32,19452,0,1478,0,0
33,19452,0,1352,0,0
35,19532,0,1352,0,0
36,19532,0,1478,0,0
39,21564,0,871,0,0
41,22243,0,1464,0,0
42,22245,0,1466,0,0
43,21371,0,1465,0,0
44,21382,0,1465,0,0
45,21752,0,0,0,0
47,7012,0,2851,0,0
48,16418,0,2851,1,0
49,22404,0,1477,0,0
50,22768,0,784,0,0
51,22769,0,784,0,0
53,22926,0,4412,1,0
64,37464,0,0,1,0
65,23163,0,1536,0,0
67,23164,0,2410,0,0
68,37465,0,2410,0,0
69,21185,0,2410,1,0
70,21187,0,2408,1,0
71,21534,0,4394,1,0
72,22007,0,1537,1,0
73,22666,0,1430,0,0
74,22667,0,1430,0,0
75,22668,0,1430,0,0
76,22669,0,1430,0,0
77,21150,0,1430,0,0
78,21036,0,0,0,0
79,23206,0,1504,0,0
80,17938,0,1283,0,0
81,17938,0,1283,0,0
82,17770,0,0,0,0
84,18545,0,4322,1,0
85,23710,0,1293,0,0
87,23712,0,1586,0,0
89,23714,0,1294,0,0
91,23716,0,1587,0,0
92,23717,0,1295,0,0
93,18401,0,1294,1,0
94,18761,0,1294,1,0
95,18757,0,1294,1,0
96,18423,0,1294,1,0
97,18465,0,1294,1,0
98,18466,0,1587,1,0
99,18467,0,1295,1,0
100,18479,0,1295,1,0
101,18488,0,1295,1,0
102,18823,0,1294,1,0
104,23790,0,1588,0,0
105,27984,0,1606,0,0
106,23895,0,2399,1,0
108,17877,0,1283,0,0
109,18178,0,0,0,0
110,27987,0,0,0,0
111,17849,0,1617,0,0
114,23708,0,1599,1,0
115,16819,0,1136,0,0
116,16016,0,2774,1,0
117,13433,0,19,1,0
118,24575,0,19,0,0
120,16147,0,2773,1,0
121,13474,0,2773,1,0
122,13419,0,19,1,0
123,13337,0,19,1,0
124,13338,0,19,1,0
125,13262,0,0,1,0
126,13419,0,19,1,0
128,24593,0,1772,0,0
132,23810,0,0,0,0
133,24392,0,1641,0,0
134,23811,0,0,0,0
135,24393,0,1640,0,0
136,23879,0,1639,0,0
137,23812,0,0,0,0
138,23878,0,1639,0,0
139,23810,0,0,0,0
140,23705,0,1641,0,0
141,23811,0,0,0,0
142,23706,0,1640,0,0
143,23812,0,0,0,0
144,23707,0,1639,0,0
145,17207,0,1649,0,0
146,17208,0,1648,0,0
147,24922,0,1647,0,0
148,24923,0,1646,0,0
149,24924,0,1645,0,0
150,16590,0,1178,0,0
151,16850,0,1178,0,0
152,24950,0,1652,0,0
153,14888,0,1655,0,0
154,24951,0,1655,0,0
155,24952,0,1652,0,0
156,14889,0,1654,0,0
157,14890,0,1654,0,0
158,20632,0,0,0,0
159,19614,0,1309,0,0
160,12395,0,948,0,0
161,25264,0,1690,0,0
162,25265,0,1688,0,0
