"ID","type","flags","data","count","localizedTextIdFull","worldLocationsIdIndicator00","worldLocationsIdIndicator01","worldLocationsIdIndicator02","worldLocationsIdIndicator03","maxTimeAllowedMS","localizedTextIdShort","targetGroupIdRewardPane","questDirectionId"
767,2,0,1,10,0,0,0,0,0,0,0,0,0
823,2,0,1,1,0,0,0,0,0,0,0,0,0
824,2,0,1,1,0,0,0,0,0,0,0,0,0
825,2,0,1,1,0,0,0,0,0,0,0,0,0
1014,16,0,180,5,20726,0,0,0,0,0,0,0,0
1277,4,0,2919,1,0,0,0,0,0,0,0,0,0
1278,4,0,2920,1,0,0,0,0,0,0,0,0,0
1279,4,0,2921,1,0,0,0,0,0,0,0,0,0
1280,4,0,2922,1,0,0,0,0,0,0,0,0,0
1518,15,0,3917,1,0,0,0,0,0,0,0,0,0
1889,2,0,5006,3,45378,15370,0,0,0,0,0,0,0
1890,15,0,4976,2,88943,15370,0,0,0,0,224067,0,0
1891,8,0,307,4,45404,15370,0,0,0,0,0,0,0
1892,16,0,307,2,88944,15370,0,0,0,0,0,0,0
1893,12,0,5010,1,45719,15374,0,0,0,0,0,0,0
1912,5,0,0,1,45718,15373,0,0,0,0,0,0,0
1913,11,0,30485,1,45720,15373,0,0,0,0,198029,0,0
1914,5,0,0,1,0,15374,0,0,0,0,0,0,0
1915,14,132,310,3,45728,15374,0,0,0,0,0,0,0
1957,4,0,3995,3,0,15373,0,0,0,0,0,0,0
1959,4,0,3993,3,224055,15373,0,0,0,0,224056,0,0
1960,4,0,3997,3,0,15373,0,0,0,0,0,0,0
1961,2,0,5006,1,0,15370,0,0,0,0,0,0,0
1962,5,0,0,1,46384,0,0,0,0,0,0,0,0
1963,2,3,5012,1,46385,0,0,0,0,0,0,0,0
1965,17,0,263,1,222752,8046,0,0,0,0,222753,0,0
1973,21,0,5140,3,81104,0,0,0,0,0,0,0,0
1974,11,0,1316,1,46323,0,0,0,0,0,313665,0,0
1978,5,0,0,1,46394,0,0,0,0,0,0,0,0
2072,9,32,5268,1,48859,0,0,0,0,0,0,0,0
2073,2,0,5006,12,0,0,0,0,0,0,0,0,0
2168,5,0,3055,1,49958,0,0,0,0,0,0,0,0
2188,20,1,107,3,50364,0,0,0,0,0,0,0,0
2220,20,1,108,2,51277,0,0,0,0,0,0,0,0
2221,20,1,111,2,51278,0,0,0,0,0,0,0,0
2222,20,1,114,2,51279,0,0,0,0,0,0,0,0
2263,4,0,4084,100,51815,0,0,0,0,0,0,0,0
2264,12,0,5408,1,51816,0,0,0,0,0,0,0,0
2265,4,0,4084,100,51825,0,0,0,0,0,0,0,0
