"ID","localizedTextId","randomTextLineSetId"
4,56437,0
5,56458,0
8,56672,5
9,56673,0
10,56674,0
13,56685,0
14,56688,0
15,56689,0
18,56712,0
19,56713,0
20,56714,0
21,56715,0
22,56716,0
24,56718,0
25,56719,0
26,56720,0
27,56721,0
31,56725,0
33,56727,0
34,56728,0
36,56730,0
45,56739,0
46,56740,0
48,56742,0
49,56743,0
50,56744,0
51,56745,0
54,56750,0
55,56751,0
771,57539,0
772,57540,0
773,57541,0
774,57542,0
775,57543,0
776,57544,0
777,57545,0
779,57547,0
780,57548,0
782,57550,0
783,57551,0
785,57553,0
786,57554,0
787,57555,0
788,57556,0
789,57557,0
790,57558,0
791,57559,0
792,57560,0
794,57562,0
795,57563,0
796,57564,0
797,57565,0
798,57566,0
799,57567,0
801,57569,0
802,57570,0
803,57571,0
804,57572,0
805,57573,0
806,57574,0
807,57575,0
808,57576,0
809,57577,0
810,57578,0
811,57579,0
812,57580,0
813,57581,0
814,57582,0
815,57583,0
817,57585,0
824,57592,0
826,57594,0
828,57596,0
830,57598,0
831,57599,0
834,57602,0
835,57603,0
836,57604,0
837,57605,0
838,57606,0
839,57607,0
840,57608,0
841,57609,0
842,57610,0
843,57611,0
844,57612,0
845,57613,0
846,57614,0
847,57615,0
850,57618,0
851,57619,0
852,57620,0
853,57621,0
854,57622,0
857,57625,0
858,57626,0
859,57627,0
860,57628,0
861,57629,0
862,57630,0
863,57631,0
864,57632,0
865,57633,0
866,57634,0
867,57635,0
868,57636,0
869,57637,0
870,57638,0
871,57639,0
872,57640,0
873,57641,0
874,57642,0
875,57643,0
876,57644,0
877,57645,0
878,57646,0
879,57647,0
881,57649,0
885,57653,0
886,57654,0
887,57655,0
888,57656,0
891,57659,0
893,57661,0
894,57662,0
895,57663,0
896,57664,0
897,57665,0
899,57667,0
901,57669,0
903,57671,0
904,57672,0
906,57674,0
907,57675,0
908,57676,0
913,57681,0
915,57683,0
919,57687,0
920,57688,0
921,57689,0
925,57693,0
927,57695,0
928,57696,0
929,57697,0
930,57698,0
931,57699,0
934,57702,0
936,57704,0
943,57711,0
944,57712,0
945,57713,0
946,57714,0
947,57715,0
948,57716,0
949,57717,0
950,57718,0
951,57719,0
952,57720,0
953,57721,0
954,57722,0
955,57723,0
956,57724,0
957,57725,0
958,57726,0
959,57727,0
960,57728,0
961,57729,0
962,57730,0
963,57731,0
964,57732,0
965,57733,0
966,57734,0
967,57735,0
968,57736,0
969,57737,0
970,57738,0
971,57739,0
972,57740,0
973,57741,0
975,57743,0
976,57744,0
977,57745,0
978,57746,0
981,57749,0
982,57750,0
983,57751,0
987,57755,0
989,57757,0
990,57758,0
991,57759,0
992,57760,0
993,57761,0
994,57762,0
995,57763,0
996,57764,0
997,57765,0
998,57766,0
999,57767,0
1033,57801,0
1034,57802,0
1035,57803,0
1036,57804,0
1037,57805,0
1038,57806,0
1039,57807,0
1040,57808,0
1041,57809,0
1042,57810,0
1043,57811,0
1044,57812,0
1045,57813,0
1046,57814,0
1047,57815,0
1048,57816,0
1049,57817,0
1050,57818,0
1051,57819,0
1052,57820,0
1053,57821,0
1054,57822,0
1055,57823,0
1056,57824,0
1057,57825,0
1058,57826,0
1059,57827,0
1060,57828,0
1061,57829,0
1062,57830,0
1063,57831,0
1064,57832,0
1065,57833,0
1066,57834,0
1067,57835,0
1068,57836,0
1069,57837,0
1071,57839,0
1072,57840,0
1073,57841,0
1074,57842,0
1075,57843,0
1077,57845,0
1079,57847,0
1080,57848,0
1081,57849,0
1082,57850,0
1083,57851,0
1084,57852,0
1085,57853,0
1086,57854,0
1087,57855,0
1088,57856,0
1112,57880,0
1165,57933,0
1166,57934,0
1167,57935,0
1168,57936,0
1169,57937,0
1170,57938,0
1171,57939,0
1172,57940,0
1173,57941,0
1175,57943,0
1176,57944,0
1177,57945,0
1178,57946,0
1179,57947,0
1180,57948,0
1181,57949,0
1182,57950,0
1183,57951,0
1184,57952,0
1185,57953,0
1186,57954,0
1187,57955,0
1188,57956,0
1189,57957,0
1190,57958,0
1191,57959,0
1193,57961,0
1194,57962,0
1195,57963,0
1196,57964,0
1197,57965,0
1198,57966,0
1199,57967,0
1200,57968,0
1201,57969,0
1202,57970,0
1203,57971,0
1204,57972,0
1205,57973,0
1206,57974,0
1207,57975,0
1208,57976,0
1213,57981,0
1214,57982,0
1215,57983,0
1216,57984,0
1217,57985,0
1218,57986,0
1219,57987,0
1220,57988,0
1221,57989,0
1222,57990,0
1225,57993,0
1226,57994,0
1232,58000,0
1235,58003,0
1236,58004,0
1238,58006,0
1239,58007,0
1240,58008,0
1241,58009,0
1242,58010,0
1244,58012,0
1245,58013,0
1247,58015,0
1250,58018,0
1251,58019,0
1252,58020,0
1254,58022,0
1255,58023,0
1256,58024,0
1257,58025,0
1264,58032,0
1265,58033,0
1320,58088,0
1321,58089,0
1322,58090,0
1325,58093,0
1326,58094,0
1327,58095,0
1328,58096,0
1329,58097,0
1330,58098,0
1332,58100,0
1333,58101,0
1334,58102,0
1336,58104,0
1338,58106,0
1340,58108,0
1342,58110,0
1343,58111,0
1344,58112,0
1346,58114,0
1347,58115,0
1348,58116,0
1349,58117,0
1350,58118,0
1351,58119,0
1356,58124,0
1358,58126,0
1359,58127,0
1360,58128,0
1361,58129,6
1362,58130,0
1363,58131,0
1364,58132,0
1365,58133,0
1366,58134,0
1367,58135,0
1368,58136,0
1369,58137,0
1370,58138,0
1371,58139,0
1372,58140,0
1373,58141,0
1374,58142,0
1375,58143,0
1376,58144,0
1377,58145,0
1378,58146,0
1379,58147,0
1380,58148,0
1381,58149,0
1382,58150,0
1383,58151,0
1384,58152,0
1385,58153,0
1386,58154,0
1387,58155,0
1388,58156,0
1389,58157,0
1390,58158,0
1391,58159,0
1392,58160,0
1393,58161,0
1394,58162,0
1395,58163,0
1396,58164,0
1397,58165,0
1398,58166,0
1402,58170,7
1403,58171,0
1404,58172,0
1405,58173,0
1406,58174,0
1407,58175,0
1408,58176,0
1409,58177,0
1410,58178,0
1411,58179,0
1412,58180,0
1413,58181,0
1414,58182,0
1415,58183,0
1418,58186,0
1419,58187,0
1420,58188,0
1421,58189,0
1422,58190,0
1423,58191,0
1424,58192,0
1425,58193,0
1426,58194,0
1427,58195,0
1428,58196,0
1429,58197,0
1430,58198,0
1431,58199,0
1432,58200,0
1433,58201,0
1434,58202,0
1435,58203,0
1436,58204,0
1437,58205,0
1438,58206,0
1439,58207,0
1440,58208,0
1441,58209,0
1442,58210,0
1443,58211,0
1444,58212,0
1445,58213,0
1446,58214,0
1447,58215,0
1448,58216,0
1449,58217,0
1453,58221,0
1454,58222,0
1455,58223,0
1456,58224,0
1457,58225,0
1458,58226,0
1459,58227,0
1460,58228,0
1461,58229,0
1462,58230,0
1463,58231,0
1464,58232,0
1465,58233,0
1466,58234,0
1467,58235,0
1468,58236,0
1469,58237,0
1470,58238,0
1471,58239,0
1472,58240,0
1473,58241,0
1474,58242,0
1475,58243,0
1476,58244,0
1477,58245,0
1478,58246,0
1479,58247,0
1480,58248,0
1481,58249,0
1482,58250,0
1483,58251,0
1484,58252,0
1485,58253,0
1501,60120,0
1502,60142,0
1503,60175,0
1504,60196,0
1505,60199,0
1506,60200,0
1508,60230,0
1509,60231,0
1510,60234,0
1511,60252,0
1512,60328,0
1513,60330,0
1514,60332,0
1515,60338,0
1516,60339,0
1517,60340,0
1518,60342,0
1519,60344,0
1520,60348,0
1521,60350,0
1522,60351,0
1523,60352,0
1524,60353,0
1525,60354,0
1526,60358,0
1527,60363,0
1528,60364,0
1529,60365,0
1538,60374,0
1539,60380,0
1540,60381,0
1541,60382,0
1542,60383,0
1543,60389,0
1544,60396,0
1545,60397,0
1546,60398,0
1547,60400,0
1548,60401,0
1549,60409,0
1550,60410,0
1551,60421,0
1552,60422,0
1553,60423,0
1554,60424,0
1555,60425,0
