"ID","type","flags","op","blend","shaderNum00","shaderNum01","numLayers","colorIndex01","colorIndex00","colorIndex02","colorIndex03","normalIndex00","normalIndex01","normalIndex02","normalIndex03","heightSource00","heightSource01","heightSource02","heightSource03","opacitySource00","opacitySource01","opacitySource02","opacitySource03","glossSource00","glossSource01","glossSource02","glossSource03","glowSource00","glowSource01","glowSource02","glowSource03","shaderSource00","shaderSource01","shaderSource02","shaderSource03","heightValue00","heightValue01","heightValue02","heightValue03","opacityValue00","opacityValue01","opacityValue02","opacityValue03","glossValue00","glossValue01","glossValue02","glossValue03","glowValue00","glowValue01","glowValue02","glowValue03","shaderValue00","shaderValue01","shaderValue02","shaderValue03","heightScale00","heightScale01","heightScale02","heightScale03","heightOffset00","heightOffset01","heightOffset02","heightOffset03","parallaxScale00","parallaxScale01","parallaxScale02","parallaxScale03","parallaxOffset00","parallaxOffset01","parallaxOffset02","parallaxOffset03","textureTiles00","textureTiles01","textureTiles02","textureTiles03","colorModX00","colorModX01","colorModX02","colorModX03","colorModY00","colorModY01","colorModY02","colorModY03","colorModZ00","colorModZ01","colorModZ02","colorModZ03","materialTypeId00","materialTypeId01","materialTypeId02","materialTypeId03","colorTexture00","colorTexture01","colorTexture02","colorTexture03","normalTexture00","normalTexture01","normalTexture02","normalTexture03"
1,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,"Art\Structure\Texture\Housing\Interior\Wall\PH_Housing_InteriorWallpaper_Aurin_Owls_Color.tex","","","","Art\Structure\Texture\Housing\Interior\Wall\PH_Housing_InteriorWallpaper_Aurin_Owls_Normal.tex","","",""
2,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,"Art\Structure\Texture\Housing\Interior\Wall\PH_Housing_InteriorWallpaper_Chua_GearTiles_000_Color.tex","","","","","","",""
3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,"Art\Structure\Texture\Housing\Interior\Floor\PH_Housing_InteriorFloor_Wood_000_Color.tex","","","","Art\Structure\Texture\Housing\Interior\Floor\PH_Housing_InteriorFloor_Wood_000_Normal.tex","","",""
4,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,"Art\Structure\Texture\Granok\STR_Building_GranokLargeHouse_StoneFloor_000_Color.tex","","","","","","",""
5,0,0,0,0,19,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,"Art\Structure\Texture\Granok\STR_Building_GranokInn_Roof_000_Color.tex","","","","Art\Structure\Texture\Granok\STR_Building_GranokInn_Roof_000_Normal.tex","","",""
6,0,0,0,0,19,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,"Art\Structure\Texture\Granok\STR_Building_GranokInn_StoneBlend_000_Color.tex","","","","Art\Structure\Texture\Granok\STR_Building_GranokInn_StoneBlend_000_Normal.tex","","",""
7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,"Art\Structure\Texture\Housing\Interior\Trim\ph_housing_interiortrim_wood_001_color.tex","","","","Art\Structure\Texture\Housing\Interior\Trim\ph_housing_interiortrim_wood_001_normal.tex","","",""
8,0,0,0,0,19,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,"Art\Structure\Texture\Granok\STR_Building_GranokShop_WoodTrim_000_Color.tex","","","","Art\Structure\Texture\Granok\STR_Building_GranokShop_WoodTrim_000_Normal.tex","","",""
9,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,"Art\Structure\Texture\Housing\Interior\Wall\PH_Housing_InteriorWallpaper_LoppTile_000_Color.tex","","","","Art\Structure\Texture\Housing\Interior\Wall\PH_Housing_InteriorWallpaper_LoppTile_000_Normal.tex","","",""
10,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,"Art\Structure\Texture\Housing\Interior\Wall\PH_Housing_InteriorWallpaper_Protostar_Circular_000_Color.tex","","","","Art\Structure\Texture\Housing\Interior\Wall\PH_Housing_InteriorWallpaper_Protostar_Circular_000_Normal.tex","","",""
