"ID","resourceConversionTypeEnum","sourceId","sourceCount","targetId","targetCount","surchargeId","surchargeCount","flags"
1,0,12542,1,7077,5,0,0,0
2,0,7077,5,12542,1,0,0,0
3,0,7077,20,8647,1,0,0,0
4,1,7077,5,260,250,0,0,0
5,1,6998,1,260,20,0,0,0
6,0,6894,5,6895,1,0,0,0
7,0,6895,1,6907,5,0,0,0
8,1,81821,5,817,20,0,0,0
12,1,12770,5,817,30,0,0,0
13,0,13099,5,12588,1,0,0,0
14,0,13099,5,12592,1,0,0,0
15,0,13099,5,13262,1,0,0,0
16,0,13099,8,13940,1,0,0,0
17,1,12761,1,480,20,0,0,0
18,1,6998,1,260,20,0,0,0
19,1,13288,1,838,75,0,0,0
20,1,13289,1,838,75,0,0,0
21,1,12779,1,838,75,0,0,0
22,1,13287,1,838,75,0,0,0
23,1,14069,1,863,75,0,0,0
24,1,14070,1,863,75,0,0,0
25,1,14071,1,863,75,0,0,0
26,1,14072,1,863,75,0,0,0
27,2,7810,1,838,1,0,0,0
28,0,16136,3,16083,1,0,0,0
29,1,27347,1,904,20,0,0,0
30,1,27347,1,917,20,0,0,0
31,1,27373,1,905,10,0,0,0
32,1,27373,1,919,10,0,0,0
33,0,28080,5,28081,1,0,0,0
34,1,30398,1,913,20,0,0,0
35,1,30398,1,925,20,0,0,0
36,1,36233,1,913,20,0,0,0
37,1,36233,1,925,20,0,0,0
38,1,36468,1,913,5,0,0,0
39,1,36468,1,925,5,0,0,0
40,1,40098,1,913,20,0,0,0
41,1,40098,1,925,20,0,0,0
43,0,6998,1,49295,1,0,0,0
44,0,42569,30,50719,1,0,0,0
45,0,42569,30,50720,1,0,0,0
46,3,14,1,1323,50,0,0,0
47,3,14,1,913,50,0,0,0
48,3,14,1,1283,50,0,0,0
49,3,14,1,1280,50,0,0,0
50,3,14,1,1284,50,0,0,0
51,3,14,1,1281,50,0,0,0
52,3,14,1,1285,50,0,0,0
53,3,14,1,1282,50,0,0,0
54,3,14,1,1342,50,0,0,0
55,3,14,1,1341,50,0,0,0
56,3,14,1,1290,50,0,0,0
57,3,14,1,1348,50,0,0,0
58,3,14,1,914,50,0,0,0
59,3,14,1,903,50,0,0,0
60,0,81325,1,81325,4294967295,0,0,0
61,0,28276,5,81886,1,0,0,0
62,0,28276,20,81887,1,0,0,0
63,0,28276,80,81888,1,0,0,0
64,0,86010,3,86011,1,0,0,0
65,0,86272,3,86273,1,0,0,0
66,0,86872,3,86873,1,0,0,0
68,0,90011,3,90012,1,0,0,0
69,3,14,1,533,50,0,0,0
70,3,14,1,260,50,0,0,0
71,3,14,1,609,50,0,0,0
72,3,14,1,915,50,0,0,0
73,3,14,1,905,50,0,0,0
74,3,14,1,919,50,0,0,0
75,3,14,1,904,50,0,0,0
76,3,14,1,917,50,0,0,0
77,3,14,1,907,50,0,0,0
78,3,14,1,920,50,0,0,0
79,3,14,1,909,50,0,0,0
80,3,14,1,922,50,0,0,0
81,3,14,1,261,50,0,0,0
82,3,14,1,916,50,0,0,0
83,3,14,1,925,50,0,0,0
85,4,11,200,13,200,9,5,1
86,4,11,200,12,200,9,5,1
87,4,11,200,14,10,9,5,1
88,4,13,200,11,200,9,5,1
89,4,13,200,12,200,9,5,1
90,4,13,200,14,10,9,5,1
91,4,12,200,11,200,9,5,1
92,4,12,200,13,200,9,5,1
93,4,12,200,14,10,9,5,1
94,4,14,10,11,200,9,5,1
95,4,14,10,13,200,9,5,1
96,4,14,10,12,200,9,5,1
