"ID","premiumSystemEnum","tier","rewardPropertyId","rewardPropertyData","modifierValueInt","modifierValueFloat","entitlementIdModifierCount","flags"
1,1,0,9,0,0,1,0,0
2,1,1,9,0,0,0.5,0,0
3,2,0,9,0,0,1,0,0
4,2,1,9,0,0,0.666667,0,0
5,2,2,9,0,0,0.666667,0,0
6,2,3,9,0,0,0.666667,0,0
7,1,0,10,0,0,0.5,0,0
8,1,1,10,0,0,1,0,0
9,2,0,10,0,0,0.2,0,0
10,2,1,10,0,0,0.3,0,0
11,2,2,10,0,0,0.3,0,0
12,2,3,10,0,0,0.3,0,0
13,1,1,7,7,0,0.5,0,0
14,1,1,7,1,0,0.25,0,0
15,1,1,2,1,0,0.25,0,0
16,1,1,2,2,0,0.25,0,0
17,1,1,2,4,0,0.25,0,0
18,1,1,2,5,0,0.25,0,0
19,1,1,2,6,0,0.25,0,0
20,1,1,2,7,0,0.25,0,0
21,1,0,11,0,4,0,0,1
22,1,0,11,0,0,1,3,1
23,2,0,11,0,12,0,0,1
24,1,0,12,0,1,1,0,1
30,1,0,13,0,2,0,0,0
31,1,1,13,0,2,0,0,0
32,2,0,13,0,3,0,0,0
33,2,1,13,0,7,0,0,0
34,2,2,13,0,8,0,0,0
35,2,3,13,0,9,0,0,0
41,1,0,15,0,3,0,0,0
42,1,0,15,0,0,0,25,1
43,1,0,15,0,0,0,42,1
44,1,1,15,0,30,0,0,0
45,2,0,15,0,15,0,0,1
46,1,0,16,0,3,0,0,0
47,1,0,16,0,0,0,23,1
48,1,0,16,0,0,0,43,1
49,1,1,16,0,30,0,0,0
50,1,0,17,0,3,0,0,0
51,1,0,17,0,0,0,23,1
52,1,0,17,0,0,0,43,1
53,1,1,17,0,30,0,0,0
54,1,0,18,0,1,0,0,1
55,2,1,18,0,1,0,0,1
56,2,0,16,0,15,0,0,1
57,2,0,17,0,15,0,0,1
58,1,0,19,0,1,0,0,1
59,2,1,19,0,1,0,0,1
60,1,0,14,0,1,1,0,1
63,2,1,14,0,1,1,0,1
66,2,0,20,0,10000000,10000000,0,0
67,1,0,13,0,0,0,27,1
68,1,0,21,0,0,0,38,1
69,1,1,21,0,1,0,0,0
76,1,0,23,0,0,0,16,1
78,2,1,1,0,0,0.03,0,0
79,2,2,1,0,0,0.06,0,0
80,1,1,23,0,1,0,0,0
81,2,0,23,0,1,0,0,1
85,1,0,25,0,250,0,0,1
86,2,0,25,0,50,0,0,0
87,2,1,25,0,80,0,0,0
88,2,2,25,0,100,0,0,0
89,2,3,25,0,120,0,0,0
90,2,3,1,0,0,0.09,0,0
91,2,1,7,1,0,0.03,0,0
92,2,1,7,2,0,0.03,0,0
93,2,1,7,4,0,0.03,0,0
94,2,1,7,5,0,0.03,0,0
95,2,1,7,6,0,0.03,0,0
96,2,1,7,7,0,0.03,0,0
97,2,2,7,1,0,0.06,0,0
98,2,2,7,2,0,0.06,0,0
99,2,2,7,4,0,0.06,0,0
100,2,2,7,5,0,0.06,0,0
101,2,2,7,6,0,0.06,0,0
102,2,2,7,7,0,0.06,0,0
103,2,3,7,1,0,0.09,0,0
104,2,3,7,2,0,0.09,0,0
105,2,3,7,4,0,0.09,0,0
106,2,3,7,5,0,0.09,0,0
107,2,3,7,6,0,0.09,0,0
108,2,3,7,7,0,0.09,0,0
109,1,0,26,0,4,0,0,1
110,2,0,26,0,2,0,0,0
111,2,1,26,0,4,0,0,1
112,2,1,27,0,0,0.5,0,0
113,2,2,27,0,0,0.5,0,0
114,2,3,27,0,0,0.5,0,0
115,1,0,28,0,1,0,0,1
116,2,1,28,0,1,0,0,1
117,1,0,29,0,2,0,0,1
118,1,0,29,0,0,0,12,1
119,2,0,29,0,3,0,0,1
120,1,1,27,0,0,0.5,0,0
122,2,1,21,0,1,0,0,1
123,2,1,20,0,15000000,15000000,0,1
124,2,1,30,0,10,0,0,0
125,2,2,30,0,11,0,0,0
126,2,3,30,0,12,0,0,0
127,2,4,30,0,13,0,0,0
128,2,5,30,0,14,0,0,0
129,2,6,30,0,15,0,0,0
130,2,7,30,0,16,0,0,0
131,2,8,30,0,17,0,0,0
132,2,9,30,0,18,0,0,0
133,2,10,30,0,19,0,0,0
134,2,0,21,2,1,0,0,0
135,1,1,2,9,0,0.25,0,0
136,1,0,31,0,0,0,26,1
217,1,1,33,0,0,2,0,0
218,1,1,5,0,0,2,0,0
219,1,0,34,0,0,0.0005,0,1
220,2,0,34,0,0,0.0005,0,1
221,1,0,35,0,5,0,0,1
222,2,0,35,0,5,0,0,1
223,1,1,4,3,0,0.25,0,0
224,1,0,25,0,0,0,71,1
225,1,0,37,0,3,1,0,0
226,1,1,37,0,4,1,0,0
227,1,1,39,15,0,0.5,0,0
228,1,1,39,16,0,0.5,0,0
229,1,1,39,17,0,0.5,0,0
230,1,1,39,18,0,0.5,0,0
